all_cv_count,all_ev_count,balanced_count,battery_kwh,category,cv_heavy_count,ev_heavy_count,expected_winner_rows,main_candidate_eligible,mean_ev_customer_share,mean_ev_demand_share,mean_ev_distance_share,mean_ev_route_share,missing_or_infeasible_winner_rows,phase,route_share_in_practical_band,secondary_only,size,source_ids,winner_count
0,0,1,60.0,multidepot,0,0,1,True,0.4,0.4505378240169282,0.22442757542513536,0.5,0,stage_a,True,False,10,IsuzuNRREV;Qiu2024,1
0,0,1,60.0,multidepot,0,0,1,True,0.5333333333333333,0.5762570993212356,0.2940691887463339,0.6,0,stage_a,True,False,15,IsuzuNRREV;Qiu2024,1
0,0,1,60.0,multidepot,0,0,1,True,0.35,0.40055543687246314,0.23528955721520667,0.42857142857142855,0,stage_a,True,False,20,IsuzuNRREV;Qiu2024,1
0,0,1,60.0,multidepot,0,0,1,True,0.4,0.5584539223153084,0.3241484238247157,0.5714285714285714,0,stage_a,True,False,25,IsuzuNRREV;Qiu2024,1
0,0,1,60.0,multidepot,0,0,1,True,0.48,0.5514572342817607,0.4088081301642107,0.5882352941176471,0,stage_a,True,False,50,IsuzuNRREV;Qiu2024,1
0,0,1,60.0,multidepot,0,0,1,True,0.44,0.4318044989327349,0.3436685111998459,0.46153846153846156,0,stage_a,True,False,75,IsuzuNRREV;Qiu2024,1
0,0,1,60.0,multidepot,0,0,1,True,0.48,0.49149076657649793,0.29295103874618367,0.5151515151515151,0,stage_a,True,False,100,IsuzuNRREV;Qiu2024,1
1,0,0,60.0,multidepot,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,150,IsuzuNRREV;Qiu2024,1
0,0,1,60.0,multidepot,0,0,1,True,0.66,0.6785655467720685,0.49278968874913837,0.6956521739130435,0,stage_a,True,False,200,IsuzuNRREV;Qiu2024,1
1,0,0,60.0,threeshift,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,50,IsuzuNRREV;Qiu2024,1
1,0,0,60.0,threeshift,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,75,IsuzuNRREV;Qiu2024,1
0,0,1,60.0,threeshift,0,0,1,True,0.31,0.31445435703343244,0.1883582046901162,0.3548387096774194,0,stage_a,True,False,100,IsuzuNRREV;Qiu2024,1
0,0,1,60.0,threeshift,0,0,1,True,0.22,0.2655891098177924,0.19243215282007542,0.28,0,stage_a,True,False,150,IsuzuNRREV;Qiu2024,1
0,0,1,60.0,threeshift,0,0,1,True,0.42,0.48277596178023635,0.34627523304564495,0.5147058823529411,0,stage_a,True,False,200,IsuzuNRREV;Qiu2024,1
0,0,1,60.0,vanilla,0,0,1,True,0.2,0.2616822429906542,0.1351389555837525,0.25,0,stage_a,True,False,10,IsuzuNRREV;Qiu2024,1
1,0,0,60.0,vanilla,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,15,IsuzuNRREV;Qiu2024,1
1,0,0,60.0,vanilla,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,20,IsuzuNRREV;Qiu2024,1
0,0,0,60.0,vanilla,1,0,1,True,0.08,0.11776466108149276,0.05150449072095509,0.14285714285714285,0,stage_a,False,False,25,IsuzuNRREV;Qiu2024,1
1,0,0,60.0,vanilla,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,50,IsuzuNRREV;Qiu2024,1
1,0,0,60.0,vanilla,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,75,IsuzuNRREV;Qiu2024,1
1,0,0,60.0,vanilla,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,100,IsuzuNRREV;Qiu2024,1
1,0,0,60.0,vanilla,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,150,IsuzuNRREV;Qiu2024,1
1,0,0,60.0,vanilla,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,200,IsuzuNRREV;Qiu2024,1
0,0,1,81.0,multidepot,0,0,1,True,0.7,0.7268559336977606,0.6814339662848842,0.75,0,stage_a,True,False,10,MercedesESprinter,1
0,0,1,81.0,multidepot,0,0,1,True,0.3333333333333333,0.4326083945144757,0.2821609552112844,0.4,0,stage_a,True,False,15,MercedesESprinter,1
1,0,0,81.0,multidepot,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,20,MercedesESprinter,1
0,0,1,81.0,multidepot,0,0,1,True,0.64,0.7038271134805788,0.45590232053719665,0.75,0,stage_a,True,False,25,MercedesESprinter,1
0,0,1,81.0,multidepot,0,0,1,True,0.72,0.7395139669635907,0.6109833360043153,0.75,0,stage_a,True,False,50,MercedesESprinter,1
0,0,1,81.0,multidepot,0,0,1,True,0.7066666666666667,0.7275737507525587,0.6035261425878692,0.7407407407407407,0,stage_a,True,False,75,MercedesESprinter,1
0,0,1,81.0,multidepot,0,0,1,True,0.72,0.7266182453300389,0.5425003068887134,0.7272727272727273,0,stage_a,True,False,100,MercedesESprinter,1
0,0,1,81.0,multidepot,0,0,1,True,0.6866666666666666,0.7333644740753323,0.5835558645778726,0.75,0,stage_a,True,False,150,MercedesESprinter,1
1,0,0,81.0,multidepot,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,200,MercedesESprinter,1
0,0,1,81.0,threeshift,0,0,1,True,0.62,0.6975437970846521,0.5771887244708666,0.7058823529411765,0,stage_a,True,False,50,MercedesESprinter,1
1,0,0,81.0,threeshift,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,75,MercedesESprinter,1
0,0,1,81.0,threeshift,0,0,1,True,0.66,0.6661710372172659,0.5225201285063067,0.696969696969697,0,stage_a,True,False,100,MercedesESprinter,1
