battery_kwh,category,cv_shell_composition,cv_shell_cost,cv_shell_ev_customer_share,cv_shell_ev_demand_share,cv_shell_ev_distance_share,cv_shell_ev_route_share,ev_shell_composition,ev_shell_cost,ev_shell_ev_customer_share,ev_shell_ev_demand_share,ev_shell_ev_distance_share,ev_shell_ev_route_share,free_mixed_composition,free_mixed_cost,free_mixed_ev_customer_share,free_mixed_ev_demand_share,free_mixed_ev_distance_share,free_mixed_ev_route_share,instance,phase,seed,size,winner_composition,winner_cv_route_count,winner_ev_customer_share,winner_ev_demand_share,winner_ev_distance_share,winner_ev_route_count,winner_ev_route_share,winner_route_count,winner_status,winner_total_cost,winner_total_customer_count,winner_total_demand,winner_total_distance_m,winner_variant
60.0,vanilla,all_cv,725.5299337929874,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,710.5876196728672,0.2,0.2616822429906542,0.1351389555837525,0.25,e2-vanilla-10c-01,stage_a,1,10,balanced_mixed,3,0.2,0.2616822429906542,0.1351389555837525,1,0.25,4,OK,710.5876196728672,10.0,5671.0,631302.9144218597,free_mixed
60.0,vanilla,all_cv,7592.641707650496,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,7846.384997022458,0.4066666666666667,0.4381219301598086,0.24744340819139263,0.4716981132075472,e2-vanilla-150c-01,stage_a,1,150,all_cv,50,0.0,0.0,0.0,0,0.0,50,OK,7592.641707650496,150.0,70647.0,5580784.75366075,cv_shell
60.0,vanilla,all_cv,1050.287293367975,0.0,0.0,0.0,0.0,,,,,,,all_cv,1050.287293367975,0.0,0.0,0.0,0.0,e2-vanilla-15c-01,stage_a,1,15,all_cv,5,0.0,0.0,0.0,0,0.0,5,OK,1050.287293367975,15.0,7219.0,1009898.8528128364,free_mixed
60.0,vanilla,all_cv,11164.214856565932,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,11183.897526644694,0.305,0.32842350131752307,0.190273053012171,0.34782608695652173,e2-vanilla-200c-01,stage_a,1,200,all_cv,67,0.0,0.0,0.0,0,0.0,67,OK,11164.214856565932,200.0,97152.0,9012332.491091257,cv_shell
60.0,vanilla,all_cv,1301.9615626919804,0.0,0.0,0.0,0.0,,,,,,,cv_heavy_mixed,1330.411645735785,0.05,0.07007049775688956,0.05809812734534948,0.14285714285714285,e2-vanilla-20c-01,stage_a,1,20,all_cv,7,0.0,0.0,0.0,0,0.0,7,OK,1301.9615626919804,20.0,9362.0,1153423.3062737728,cv_shell
60.0,vanilla,all_cv,1213.2666144034245,0.0,0.0,0.0,0.0,,,,,,,cv_heavy_mixed,1208.1057677410342,0.08,0.11776466108149276,0.05150449072095509,0.14285714285714285,e2-vanilla-25c-01,stage_a,1,25,cv_heavy_mixed,6,0.08,0.11776466108149276,0.05150449072095509,1,0.14285714285714285,7,OK,1208.1057677410342,25.0,10504.0,1019476.3597753753,free_mixed
60.0,vanilla,all_cv,2752.305491322416,0.0,0.0,0.0,0.0,,,,,,,cv_heavy_mixed,2759.5181709556246,0.18,0.18697569834817954,0.11685628140260142,0.1875,e2-vanilla-50c-01,stage_a,1,50,all_cv,15,0.0,0.0,0.0,0,0.0,15,OK,2752.305491322416,50.0,23126.0,2410564.1514137876,cv_shell
60.0,vanilla,all_cv,4668.631771653173,0.0,0.0,0.0,0.0,,,,,,,cv_heavy_mixed,4839.466936254731,0.06666666666666667,0.08412237972743693,0.05060841870312995,0.11538461538461539,e2-vanilla-75c-01,stage_a,1,75,all_cv,25,0.0,0.0,0.0,0,0.0,25,OK,4668.631771653173,75.0,36542.0,4142091.793144206,cv_shell
81.0,multidepot,all_cv,5059.385878752753,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,4839.008215141178,0.72,0.7266182453300389,0.5425003068887134,0.7272727272727273,e2-multidepot-100c-01,stage_a,1,100,balanced_mixed,9,0.72,0.7266182453300389,0.5425003068887134,24,0.7272727272727273,33,OK,4839.008215141178,100.0,46949.0,3916036.7662452683,free_mixed
81.0,multidepot,all_cv,629.1244202104523,0.0,0.0,0.0,0.0,all_ev,585.3439824113559,1.0,1.0,1.0,1.0,balanced_mixed,573.0291200582521,0.7,0.7268559336977606,0.6814339662848842,0.75,e2-multidepot-10c-01,stage_a,1,10,balanced_mixed,1,0.7,0.7268559336977606,0.6814339662848842,3,0.75,4,OK,573.0291200582521,10.0,5671.0,484356.7224599988,free_mixed
81.0,multidepot,all_cv,7270.566593981815,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,7164.288058736665,0.6866666666666666,0.7333644740753323,0.5835558645778726,0.75,e2-multidepot-150c-01,stage_a,1,150,balanced_mixed,13,0.6866666666666666,0.7333644740753323,0.5835558645778726,39,0.75,52,OK,7164.288058736665,150.0,70647.0,5444028.631600871,free_mixed
81.0,multidepot,all_cv,945.2956479699312,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,911.825701849272,0.3333333333333333,0.4326083945144757,0.2821609552112844,0.4,e2-multidepot-15c-01,stage_a,1,15,balanced_mixed,3,0.3333333333333333,0.4326083945144757,0.2821609552112844,2,0.4,5,OK,911.825701849272,15.0,7219.0,862889.653278918,free_mixed
81.0,multidepot,all_cv,9549.623080396133,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,10639.292422179396,0.49,0.5416357872200264,0.39451447857334926,0.5606060606060606,e2-multidepot-200c-01,stage_a,1,200,all_cv,66,0.0,0.0,0.0,0,0.0,66,OK,9549.623080396133,200.0,97152.0,6631550.654229282,cv_shell
81.0,multidepot,all_cv,1172.824422818402,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,1174.9932551043362,0.35,0.38848536637470626,0.2511804937837266,0.42857142857142855,e2-multidepot-20c-01,stage_a,1,20,all_cv,7,0.0,0.0,0.0,0,0.0,7,OK,1172.824422818402,20.0,9362.0,953544.7424680045,cv_shell
81.0,multidepot,all_cv,1045.8722145551653,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,1031.8497970085364,0.64,0.7038271134805788,0.45590232053719665,0.75,e2-multidepot-25c-01,stage_a,1,25,balanced_mixed,2,0.64,0.7038271134805788,0.45590232053719665,6,0.75,8,OK,1031.8497970085364,25.0,10504.0,694860.8390254433,free_mixed
81.0,multidepot,all_cv,2426.9046973084396,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,2263.6951789380673,0.72,0.7395139669635907,0.6109833360043153,0.75,e2-multidepot-50c-01,stage_a,1,50,balanced_mixed,4,0.72,0.7395139669635907,0.6109833360043153,12,0.75,16,OK,2263.6951789380673,50.0,23126.0,1794292.2977425673,free_mixed
81.0,multidepot,all_cv,4257.4366557039775,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,3983.473778030194,0.7066666666666667,0.7275737507525587,0.6035261425878692,0.7407407407407407,e2-multidepot-75c-01,stage_a,1,75,balanced_mixed,7,0.7066666666666667,0.7275737507525587,0.6035261425878692,20,0.7407407407407407,27,OK,3983.473778030194,75.0,36542.0,3337633.605731168,free_mixed
81.0,threeshift,all_cv,5107.53757812103,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,5026.434114733192,0.66,0.6661710372172659,0.5225201285063067,0.696969696969697,e2-threeshift-100c-01,stage_a,1,100,balanced_mixed,10,0.66,0.6661710372172659,0.5225201285063067,23,0.696969696969697,33,OK,5026.434114733192,100.0,44388.0,4197741.75556529,free_mixed
