instance_id,sample_role,L100_Best_CNY,L100_Avg_CNY,L100_Gap_pct,L100_vehicles_best,L100_vehicles_avg,L100_time_avg_seconds,L100_actual_evaluations_avg,L100_actual_evaluations_min,L100_actual_evaluations_max,L100_feasible_runs,L100_runs,L100_feasibility_rate_pct,NL90_Best_CNY,NL90_Avg_CNY,NL90_Gap_pct,NL90_vehicles_best,NL90_vehicles_avg,NL90_time_avg_seconds,NL90_actual_evaluations_avg,NL90_actual_evaluations_min,NL90_actual_evaluations_max,NL90_feasible_runs,NL90_runs,NL90_feasibility_rate_pct
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2288.011934963608,2288.2313376165866,0.009589226770454103,8,8.0,54.01061376670259,334.8,298,376,10,10,100.0,2288.011934963608,2288.2313376165866,0.009589226770454103,8,8.0,54.59677611670922,334.8,298,376,10,10,100.0
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,4692.9228951636105,4706.839924920587,0.2965535566612174,17,17.2,187.88833580010106,355.9,313,396,10,10,100.0,4692.9228951636105,4706.839924920587,0.2965535566612174,17,17.2,171.0341406665917,355.9,313,396,10,10,100.0
