arm,charge_day_offset,charge_start_second,end_soc_pct,energy_kwh,instance_id,linear_duration_seconds,nonlinear_duration_seconds,nonlinear_minus_linear_seconds,planned_curve_id,planned_duration_seconds,reference_power_kw,sample_role,seed,session_index,start_soc_pct,station_id,vehicle_id,source_certificate_id,source_certificate_path
L100_control,0,0.0,26.156512415326738,20.213752794564503,cn-prd-50c-01-V2-LOCATIONS,3307.7050027469186,3307.7050027469186,0.0,L100_control,3307.7050027469186,22.0,MAIN_EXHIBIT,1,1,0.0,D_shenzhen,SP-EV-0005,992d0d189d789cc3557ea7c64da89126780018b95ca5494ea3773c01ae0649fc,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-01__L100_control.json
L100_control,0,0.0,37.461396746170415,28.950167405440496,cn-prd-50c-01-V2-LOCATIONS,4737.300120890263,4737.300120890263,0.0,L100_control,4737.300120890263,22.0,MAIN_EXHIBIT,1,2,0.0,D_guangzhou,SP-EV-0006,992d0d189d789cc3557ea7c64da89126780018b95ca5494ea3773c01ae0649fc,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-01__L100_control.json
L100_control,0,0.0,100.0,77.28,cn-prd-50c-01-V2-LOCATIONS,12645.818181818182,13910.4,1264.5818181818177,L100_control,12645.818181818182,22.0,MAIN_EXHIBIT,1,3,0.0,D_shenzhen,SP-EV-0008,992d0d189d789cc3557ea7c64da89126780018b95ca5494ea3773c01ae0649fc,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-01__L100_control.json
L100_control,0,56435.29238,50.33175313366007,16.29466225303568,cn-prd-50c-01-V2-LOCATIONS,977.6797351821408,977.6797351821406,-2.2737367544323206e-13,L100_control,977.6797351821407,60.0,MAIN_EXHIBIT,1,4,29.246527650953453,S_guangzhou,SP-EV-0008,992d0d189d789cc3557ea7c64da89126780018b95ca5494ea3773c01ae0649fc,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-01__L100_control.json
NL90_mild,0,0.0,26.156512415326738,20.213752794564503,cn-prd-50c-01-V2-LOCATIONS,3307.7050027469186,3307.7050027469186,0.0,NL90_mild,3307.7050027469186,22.0,MAIN_EXHIBIT,1,1,0.0,D_shenzhen,SP-EV-0005,0618565b19d86533fe8cec65cbcd6caa69ad098ca4c3a4e442f4093f3620933a,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-01__NL90_mild.json
NL90_mild,0,0.0,37.461396746170415,28.950167405440496,cn-prd-50c-01-V2-LOCATIONS,4737.300120890263,4737.300120890263,0.0,NL90_mild,4737.300120890263,22.0,MAIN_EXHIBIT,1,2,0.0,D_guangzhou,SP-EV-0006,0618565b19d86533fe8cec65cbcd6caa69ad098ca4c3a4e442f4093f3620933a,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-01__NL90_mild.json
NL90_mild,0,0.0,100.0,77.28,cn-prd-50c-01-V2-LOCATIONS,12645.818181818182,13910.4,1264.5818181818177,NL90_mild,13910.4,22.0,MAIN_EXHIBIT,1,3,0.0,D_shenzhen,SP-EV-0008,0618565b19d86533fe8cec65cbcd6caa69ad098ca4c3a4e442f4093f3620933a,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-01__NL90_mild.json
NL90_mild,0,56435.29238,50.33175313366007,16.29466225303568,cn-prd-50c-01-V2-LOCATIONS,977.6797351821408,977.6797351821406,-2.2737367544323206e-13,NL90_mild,977.6797351821405,60.0,MAIN_EXHIBIT,1,4,29.246527650953453,S_guangzhou,SP-EV-0008,0618565b19d86533fe8cec65cbcd6caa69ad098ca4c3a4e442f4093f3620933a,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-01__NL90_mild.json
L100_control,0,0.0,36.875322410571066,28.49724915888932,cn-prd-50c-01-V2-LOCATIONS,4663.186226000071,4663.186226000071,0.0,L100_control,4663.186226000071,22.0,MAIN_EXHIBIT,2,1,0.0,D_guangzhou,SP-EV-0006,2aee29e6022a6b8442f4aa71addc31857e42c831a84aec8cbe078dafca5e5b40,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-02__L100_control.json
L100_control,0,0.0,100.0,77.28,cn-prd-50c-01-V2-LOCATIONS,12645.818181818182,13910.4,1264.5818181818177,L100_control,12645.818181818182,22.0,MAIN_EXHIBIT,2,2,0.0,D_shenzhen,SP-EV-0007,2aee29e6022a6b8442f4aa71addc31857e42c831a84aec8cbe078dafca5e5b40,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-02__L100_control.json
