scope,cause_category,affected_unit_count_allowing_overlap,violation_count,false_feasible_units_in_scope
cn-prd-50c-01-V2-LOCATIONS,CHARGING_DURATION_OR_POWER,0,0,0
cn-prd-50c-01-V2-LOCATIONS,ELECTRIC_ENERGY_SHORTFALL_OR_SOC,0,0,0
cn-prd-50c-01-V2-LOCATIONS,TIME_WINDOW_OVERRUN,0,0,0
cn-prd-50c-01-V2-LOCATIONS,FLEET_CAPACITY,0,0,0
cn-prd-50c-01-V2-LOCATIONS,INTER_TRIP_CONNECTION_OR_ROUTE_CONTINUITY,0,0,0
cn-prd-50c-01-V2-LOCATIONS,CHARGING_TIMING_INCONSISTENCY,0,0,0
cn-prd-50c-01-V2-LOCATIONS,CHARGER_CAPACITY_OR_CONCURRENCY,0,0,0
cn-prd-100c-02-V2-LOCATIONS,CHARGING_DURATION_OR_POWER,0,0,0
cn-prd-100c-02-V2-LOCATIONS,ELECTRIC_ENERGY_SHORTFALL_OR_SOC,0,0,0
cn-prd-100c-02-V2-LOCATIONS,TIME_WINDOW_OVERRUN,0,0,0
cn-prd-100c-02-V2-LOCATIONS,FLEET_CAPACITY,0,0,0
cn-prd-100c-02-V2-LOCATIONS,INTER_TRIP_CONNECTION_OR_ROUTE_CONTINUITY,0,0,0
cn-prd-100c-02-V2-LOCATIONS,CHARGING_TIMING_INCONSISTENCY,0,0,0
cn-prd-100c-02-V2-LOCATIONS,CHARGER_CAPACITY_OR_CONCURRENCY,0,0,0
OVERALL,CHARGING_DURATION_OR_POWER,0,0,0
OVERALL,ELECTRIC_ENERGY_SHORTFALL_OR_SOC,0,0,0
OVERALL,TIME_WINDOW_OVERRUN,0,0,0
OVERALL,FLEET_CAPACITY,0,0,0
OVERALL,INTER_TRIP_CONNECTION_OR_ROUTE_CONTINUITY,0,0,0
OVERALL,CHARGING_TIMING_INCONSISTENCY,0,0,0
OVERALL,CHARGER_CAPACITY_OR_CONCURRENCY,0,0,0
