instance_id,seed,both_feasible_under_common_NL90,L100_plan_common_NL90_cost_CNY,NL90_plan_common_NL90_cost_CNY,NL90_minus_L100_cost_CNY,NL90_minus_L100_cost_pct
cn-prd-50c-01-V2-LOCATIONS,1,1,2289.318598837748,2289.318598837748,0.0,0.0
cn-prd-50c-01-V2-LOCATIONS,2,1,2288.011934963608,2288.011934963608,0.0,0.0
cn-prd-50c-01-V2-LOCATIONS,3,1,2288.011934963608,2288.011934963608,0.0,0.0
cn-prd-50c-01-V2-LOCATIONS,4,1,2288.011934963608,2288.011934963608,0.0,0.0
cn-prd-50c-01-V2-LOCATIONS,5,1,2288.888404443811,2288.888404443811,0.0,0.0
cn-prd-50c-01-V2-LOCATIONS,6,1,2288.0228281390537,2288.0228281390537,0.0,0.0
cn-prd-50c-01-V2-LOCATIONS,7,1,2288.011934963608,2288.011934963608,0.0,0.0
cn-prd-50c-01-V2-LOCATIONS,8,1,2288.011934963608,2288.011934963608,0.0,0.0
cn-prd-50c-01-V2-LOCATIONS,9,1,2288.011934963608,2288.011934963608,0.0,0.0
cn-prd-50c-01-V2-LOCATIONS,10,1,2288.011934963608,2288.011934963608,0.0,0.0
cn-prd-100c-02-V2-LOCATIONS,1,1,4693.673432887224,4693.673432887224,0.0,0.0
cn-prd-100c-02-V2-LOCATIONS,2,1,4699.033142717446,4699.033142717446,0.0,0.0
cn-prd-100c-02-V2-LOCATIONS,3,1,4692.9228951636105,4692.9228951636105,0.0,0.0
cn-prd-100c-02-V2-LOCATIONS,4,1,4741.091706036299,4741.091706036299,0.0,0.0
cn-prd-100c-02-V2-LOCATIONS,5,1,4710.635724956914,4710.635724956914,0.0,0.0
cn-prd-100c-02-V2-LOCATIONS,6,1,4696.591688616317,4696.591688616317,0.0,0.0
cn-prd-100c-02-V2-LOCATIONS,7,1,4699.834435688238,4699.834435688238,0.0,0.0
cn-prd-100c-02-V2-LOCATIONS,8,1,4698.540433212127,4698.540433212127,0.0,0.0
cn-prd-100c-02-V2-LOCATIONS,9,1,4696.195276193338,4696.195276193338,0.0,0.0
cn-prd-100c-02-V2-LOCATIONS,10,1,4739.880513734355,4739.880513734355,0.0,0.0
