instance_id,sample_role,seed,arm,budget,complete_candidate_evaluations_S,last_strict_improvement_evaluation_L,last_strict_improvement_fraction_L_over_S,starved_L_over_S_gt_0_5,wallclock_safety_triggered,elapsed_wall_seconds,elapsed_cpu_seconds,status
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,1,L100_control,80,80,27,0.3375,0,False,159.50880925002275,141.03475099999997,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,2,L100_control,80,80,71,0.8875,1,False,159.40760729199974,141.074817,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,3,L100_control,80,80,79,0.9875,1,False,151.74718683300307,141.703661,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,4,L100_control,80,80,63,0.7875,1,False,160.3702160420362,148.47269100000005,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,5,L100_control,80,80,53,0.6625,1,False,126.95344437495805,120.44653099999994,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,L100_control,80,80,79,0.9875,1,False,70.48581845796434,65.63634900000001,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,L100_control,80,80,79,0.9875,1,False,70.2393997090403,65.294475,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,3,L100_control,80,80,34,0.425,0,False,75.19979366700863,68.382024,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,4,L100_control,80,80,79,0.9875,1,False,74.75478637503693,67.98313699999999,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,5,L100_control,80,80,79,0.9875,1,False,85.85709079197841,74.05197899999999,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,6,L100_control,80,80,79,0.9875,1,False,84.94364374998258,73.42661100000001,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,7,L100_control,80,80,79,0.9875,1,False,66.63334904203657,62.308464000000015,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,8,L100_control,80,80,79,0.9875,1,False,66.74784170801286,62.520043000000015,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,9,L100_control,80,80,63,0.7875,1,False,77.42362141696503,66.62886900000001,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,10,L100_control,80,80,34,0.425,0,False,78.08624524995685,67.23900799999996,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,1,NL90_mild,80,80,27,0.3375,0,False,159.5318144170451,141.25351799999999,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,2,NL90_mild,80,80,71,0.8875,1,False,159.8737007919699,141.36088099999995,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,3,NL90_mild,80,80,79,0.9875,1,False,151.33966374996817,141.05213899999995,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,4,NL90_mild,80,80,63,0.7875,1,False,160.15890249999939,149.01077099999998,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,5,NL90_mild,80,80,53,0.6625,1,False,127.3759860409773,120.7181599999999,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,NL90_mild,80,80,79,0.9875,1,False,70.70227650000015,65.82782900000001,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,NL90_mild,80,80,79,0.9875,1,False,70.5384208339965,65.64662,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,3,NL90_mild,80,80,34,0.425,0,False,76.23629662499297,69.08992200000002,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,4,NL90_mild,80,80,79,0.9875,1,False,75.61165708297631,68.61870200000001,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,5,NL90_mild,80,80,79,0.9875,1,False,85.98837095795898,74.34466,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,6,NL90_mild,80,80,79,0.9875,1,False,85.23529641702771,73.76921299999998,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,7,NL90_mild,80,80,79,0.9875,1,False,67.09172283305088,62.70570000000001,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,8,NL90_mild,80,80,79,0.9875,1,False,67.04981808300363,62.82403899999997,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,9,NL90_mild,80,80,63,0.7875,1,False,77.71438650001073,67.047508,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,10,NL90_mild,80,80,34,0.425,0,False,78.32409054099116,67.676421,PASS
