task_id,instance_id,seed,arm,status,recorded_cost,replayed_cost,cost_equal,recorded_emissions_kg,replayed_emissions_kg,emissions_equal,direct_violation_count,exact_violation_count,input_file_manifest_sha256,path_identity_sha256,diesel_route_count,charging_slot_segment_count,charge_day_offsets_json,all_charge_day_offsets_zero,all_charging_within_registered_day,all_depot_charging_finishes_before_departure,all_depot_fleet_caps_respected,settlement_trace_sha256
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,HGS-F,PASS,5286.883766731755,5286.883766731755,True,431.09886442131864,431.09886442131864,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,16,6,[0],True,True,True,True,a2aa0dc3be147126adb8185f5e448b52daf6a5eee318713bf39c2d88191c2dc2
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,HGS-E,PASS,5176.631401537045,5176.631401537045,True,395.7548799326736,395.7548799326736,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,14,13,[0],True,True,True,True,213e83f1a873f26f956ea95bf6b86efacc7c25508d4add8f50176079968e98d8
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,HGS-M,PASS,5184.871727710179,5184.871727710179,True,395.8377910463045,395.8377910463045,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,14,15,[0],True,True,True,True,1787313a91a9e60ef4c6200c3f776dee685e5390ad46d497b4af28ad3fbb7140
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,MV-HGS-SP,PASS,5175.458124198396,5175.458124198396,True,395.41143549362374,395.41143549362374,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,14,13,[0],True,True,True,True,5ba1a392bc550fb515f60e0764ca04cbded924ca829dc8e0424a926159bb1ecb
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,2,HGS-F,PASS,5285.201519052848,5285.201519052848,True,430.7372877216446,430.7372877216446,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,16,6,[0],True,True,True,True,a2aa0dc3be147126adb8185f5e448b52daf6a5eee318713bf39c2d88191c2dc2
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,2,HGS-E,PASS,5188.430299341431,5188.430299341431,True,398.2453339089114,398.2453339089114,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,14,15,[0],True,True,True,True,c24213a6d0c905a7718e87a92df4654348d290a9d3b26dc28b5c8a5fce83558e
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,2,HGS-M,PASS,5183.243376901506,5183.243376901506,True,399.47603859794003,399.47603859794003,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,14,13,[0],True,True,True,True,f43ed3613f9aaeeca02d33e530c6d094b332d9f8d41ba8cc0596708b5de421e0
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,2,MV-HGS-SP,PASS,5181.149111769219,5181.149111769219,True,398.55401015968744,398.55401015968744,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,14,12,[0],True,True,True,True,aa1a4d8c0038349975d0b7b747e3b3f6dd51b1cfe492eb84a55323b4540b6209
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed3,cn-cy-100c-01-V2-LOCATIONS,3,HGS-F,PASS,5285.201519052848,5285.201519052848,True,430.7372877216446,430.7372877216446,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,16,6,[0],True,True,True,True,a2aa0dc3be147126adb8185f5e448b52daf6a5eee318713bf39c2d88191c2dc2
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed3,cn-cy-100c-01-V2-LOCATIONS,3,HGS-E,PASS,5187.276256650583,5187.276256650583,True,397.86943233697457,397.86943233697457,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,14,15,[0],True,True,True,True,605e853094570cd892e0480aeecc00d7f45934f8feb49af1c9551de9bc71b9d5
