instance_id,arm,seed,requested_iterations,actual_iterations,runtime_seconds,initial_cost,best_cost,cost_change_pct,feasible,customers_served,customers_total,demand_served,demand_total,total_emissions_kg,used_cv,used_ev,mechanism_calls,mechanism_improvements,decoded_candidates,rejected_candidates
cn-cy-50c-01-V2-LOCATIONS,ROUTE_ONLY,11,100,100,7.452797583013307,2483.638643547911,2232.2124562100307,-10.1232998605109,True,50,50,13266.0,13266.0,188.04759388655052,5,2,0,0,15,184
cn-cy-50c-01-V2-LOCATIONS,FULL_PROBLEM_COMPONENTS,11,100,100,39.26656137499958,2483.638643547911,2228.952361544908,-10.254562702373663,True,50,50,13266.0,13266.0,185.48383460308395,5,2,14,4,16,189
