trace_path,destroy,repair,attempts,accepted_count,accepted_worse_count,best_improved_count,fallback_used_count,mean_delta_obj,mean_route_count_delta
fallback_relocate,random_customer_removal,greedy_insert_repair,2786,24,5,0,2786,400.6660042551639,-0.5082555635319455
fallback_relocate,random_customer_removal,regret2_insert_repair,2141,15,5,0,2141,408.67589618878935,-0.6370854740775339
fallback_relocate,random_customer_removal,regret3_insert_repair,2274,16,5,2,2274,420.4606865124398,-0.6464379947229552
fallback_relocate,shaw_related_removal,greedy_insert_repair,4319,29,10,1,4319,377.5244278042159,-0.4473257698541329
fallback_relocate,shaw_related_removal,regret2_insert_repair,4291,32,15,3,4291,390.75370545097275,-0.4903285947331624
fallback_relocate,shaw_related_removal,regret3_insert_repair,4121,18,8,0,4121,393.1052352393724,-0.5095850521718029
fallback_relocate,worst_customer_removal,greedy_insert_repair,4422,48,15,3,4422,351.916490369987,-0.25757575757575757
fallback_relocate,worst_customer_removal,regret2_insert_repair,3452,33,13,3,3452,348.3443816556682,-0.39426419466975665
fallback_relocate,worst_customer_removal,regret3_insert_repair,3553,41,16,7,3553,340.2482431739477,-0.3287362792006755
scan_initial,,,48,33,0,33,0,-215.36514672333388,0.375
strong_bridge,random_customer_removal,greedy_insert_repair,12997,6756,169,174,0,50.06218105311427,0.2475186581518812
strong_bridge,random_customer_removal,regret2_insert_repair,13847,8521,105,268,0,41.11061451258803,0.17888351267422548
strong_bridge,random_customer_removal,regret3_insert_repair,13290,8317,143,278,0,31.36429289651918,0.13115124153498872
strong_bridge,shaw_related_removal,greedy_insert_repair,11338,3187,185,106,0,71.64589965844233,0.3370964896807197
strong_bridge,shaw_related_removal,regret2_insert_repair,11311,4149,140,117,0,74.89769412539856,0.31730174166740344
strong_bridge,shaw_related_removal,regret3_insert_repair,11328,4222,185,186,0,57.70411426660662,0.2500882768361582
strong_bridge,worst_customer_removal,greedy_insert_repair,5957,2234,63,41,0,75.5381416270645,0.37048850092328356
strong_bridge,worst_customer_removal,regret2_insert_repair,7160,3766,53,70,0,51.70476669492288,0.25335195530726257
strong_bridge,worst_customer_removal,regret3_insert_repair,6467,4026,39,94,0,27.373669446140404,0.12602443173032318
vehicle_type_mutation,,,66898,54485,272,339,0,9.433147553134585,0.0
