charging_actions,electricity_kwh,emissions_saved_kg,emissions_saved_pct,immediate_timing_emissions_kg,low_carbon_timing_emissions_kg,moved_charging_actions,route_signature,seed
28,3616.789812154106,0.0,0.0,269.89530049102297,269.89530049102297,0,2f44ba4d0028febfb1f74be3f8537a1051f87d19d18183eab42af97dab6c218d,1
42,4093.734819632651,18.59815012387395,5.203201820624501,357.43664699213525,338.8384968682613,1,217849bbd89b316fdcbf5b7ef3f04843ff72cb86d58c65c70f62d03981f3dbe8,2
28,3620.939638966573,0.0,0.0,270.2770525586165,270.2770525586165,0,d75987907282f18b1e73ed619317dd84d03d29fbaf64d49786c4ebbb1d70587b,3
44,3826.9883404313246,0.04021918423501347,0.012756382046992372,315.2867645924428,315.2465454082078,2,3f322979d093c8914e6d28108f9f300f948564e51318ec0b83d442f13b9b2f61,4
28,3618.251648048692,0.0,0.0,270.05366697329936,270.05366697329936,0,ce1b2b8263b92ee4061e74a1fd188d5284cfb37a66693d2c1b9caec8fb78de1b,5
28,3620.939638966573,0.0,0.0,270.2770525586165,270.2770525586165,0,d75987907282f18b1e73ed619317dd84d03d29fbaf64d49786c4ebbb1d70587b,6
28,3620.939638966573,0.0,0.0,270.2770525586165,270.2770525586165,0,d75987907282f18b1e73ed619317dd84d03d29fbaf64d49786c4ebbb1d70587b,7
42,3852.9348177466604,3.4029361798956757,1.0822228285364037,314.4395119162105,311.03657573631483,1,86f35379a0777b8c4a457982688c504ff60fd5f584d329abdc4373dfffa8aac1,8
44,3446.5172330163855,0.0,0.0,277.0762856660943,277.0762856660943,0,89976b7d822e7c865f68c0633ff9c6dcb69555bfd1c9febea1cddd86fe6aba4a,9
28,3620.939638966573,0.0,0.0,270.2770525586165,270.2770525586165,0,d75987907282f18b1e73ed619317dd84d03d29fbaf64d49786c4ebbb1d70587b,10
