adopted_cost,cross_site_customers,cross_site_fee_per_customer,minimum_profit_ratio,search_cost,seed,strict_cooperation_win
13067.968039762438,1,0.0,1.0056154440975549,13067.968039762438,1,True
12965.48807451197,1,10.0,1.0082549023027336,12965.48807451197,1,True
12937.076438785703,1,25.0,1.0036577497741255,12937.076438785703,1,True
12899.6072992866,2,50.0,1.0023965455858428,12899.6072992866,1,True
13099.664430941792,1,95.0,1.0013173573128096,13099.664430941792,1,True
12220.43997785099,2,0.0,1.0133778387387635,12220.43997785099,2,True
12456.75403040611,1,10.0,1.0012875330108884,12456.75403040611,2,True
12588.122270769893,0,25.0,1.0018559104280618,12588.122270769893,2,False
12588.122270769893,0,50.0,1.0018559104280618,12588.122270769893,2,False
12588.122270769893,0,95.0,1.0018559104280618,12588.122270769893,2,False
12858.001547739956,1,0.0,1.0059846988253913,12858.001547739956,3,True
12868.001547739956,1,10.0,1.0059846988253913,12868.001547739956,3,True
12883.001547739956,1,25.0,1.0059846988253913,12883.001547739956,3,True
12908.001547739956,1,50.0,1.0059846988253913,12908.001547739956,3,True
13034.701556557615,1,95.0,1.0055009067392489,13034.701556557615,3,True
12980.122560148877,4,0.0,1.011927647326449,12980.122560148877,4,True
13048.72291677983,1,10.0,1.004243127891793,13048.72291677983,4,True
13053.851714782715,0,25.0,1.006810218974765,13053.851714782715,4,False
13039.440377684565,1,50.0,1.0044548676696934,13039.440377684565,4,True
12977.508732587197,1,95.0,1.004405916991345,12977.508732587197,4,True
12963.776479373591,1,0.0,1.0061164585109825,12963.776479373591,5,True
12927.255178716287,2,10.0,1.0098331233346614,12927.255178716287,5,True
13026.570018289975,0,25.0,1.0070299133365521,13026.570018289975,5,False
12860.697601725322,2,50.0,1.0059688851479358,12860.697601725322,5,True
12688.85659222258,2,95.0,1.0108909605773744,12688.85659222258,5,True
