carbon_intensity_g_per_kwh,charging_energy_kwh,slot,slot_start_hour,timing
58.333333333333336,20.529562802120292,1,0.5,immediate_timing
56.611111111111114,55.0,2,1.0,immediate_timing
54.55555555555556,84.55968547287269,3,1.5,immediate_timing
52.44444444444444,130.42775036937607,4,2.0,immediate_timing
49.611111111111114,247.86902596935937,5,2.5,immediate_timing
49.05555555555556,437.326054820815,6,3.0,immediate_timing
47.5,683.2672328427443,7,3.5,immediate_timing
51.5,1025.0659203133737,8,4.0,immediate_timing
53.5,1971.2527144824885,9,4.5,immediate_timing
55.111111111111114,2482.9244222891066,10,5.0,immediate_timing
57.388888888888886,2716.5952349289696,11,5.5,immediate_timing
64.05555555555556,2661.4789849210756,12,6.0,immediate_timing
67.38888888888889,2598.8972232632,13,6.5,immediate_timing
74.11111111111111,2541.0,14,7.0,immediate_timing
80.61111111111111,2487.8290498284696,15,7.5,immediate_timing
79.27777777777777,2312.3249850656484,16,8.0,immediate_timing
76.94444444444444,2148.141214320631,17,8.5,immediate_timing
76.77777777777777,1864.8618350629297,18,9.0,immediate_timing
75.88888888888889,1556.9832582617573,19,9.5,immediate_timing
77.55555555555556,1233.2346697356777,20,10.0,immediate_timing
80.83333333333333,1070.4061153612847,21,10.5,immediate_timing
85.55555555555556,1067.0864262845585,22,11.0,immediate_timing
90.33333333333333,938.743382745861,23,11.5,immediate_timing
98.27777777777777,813.6681065159966,24,12.0,immediate_timing
111.44444444444444,666.7287674050314,25,12.5,immediate_timing
124.27777777777777,641.6573576346484,26,13.0,immediate_timing
140.05555555555554,597.3966647075895,27,13.5,immediate_timing
157.33333333333334,451.6852109360881,28,14.0,immediate_timing
172.44444444444446,345.7674919755507,29,14.5,immediate_timing
184.16666666666666,269.6882857279365,30,15.0,immediate_timing
188.61111111111111,216.33024036206655,31,15.5,immediate_timing
187.94444444444446,165.75110174154892,32,16.0,immediate_timing
188.94444444444446,132.0,33,16.5,immediate_timing
184.44444444444446,131.49943875482148,34,17.0,immediate_timing
184.72222222222223,102.10121107840826,35,17.5,immediate_timing
181.72222222222223,14.399785216134964,36,18.0,immediate_timing
179.88888888888889,11.000000000000002,37,18.5,immediate_timing
174.44444444444446,11.000000000000002,38,19.0,immediate_timing
166.38888888888889,11.000000000000002,39,19.5,immediate_timing
154.66666666666666,11.000000000000002,40,20.0,immediate_timing
147.83333333333334,10.496815697965713,41,20.5,immediate_timing
59.0,11.000000000000002,0,0.0,low_carbon_timing
58.333333333333336,29.805643370828076,1,0.5,low_carbon_timing
56.611111111111114,55.00000000000001,2,1.0,low_carbon_timing
54.55555555555556,103.55951069710201,3,1.5,low_carbon_timing
52.44444444444444,152.42775036937604,4,2.0,low_carbon_timing
49.611111111111114,269.86902596935937,5,2.5,low_carbon_timing
49.05555555555556,459.326054820815,6,3.0,low_carbon_timing
47.5,705.2672328427442,7,3.5,low_carbon_timing
51.5,1047.0659203133737,8,4.0,low_carbon_timing
53.5,2005.561670929803,9,4.5,low_carbon_timing
55.111111111111114,2500.217244178257,10,5.0,low_carbon_timing
57.388888888888886,2727.5952349289696,11,5.5,low_carbon_timing
64.05555555555556,2672.4789849210756,12,6.0,low_carbon_timing
67.38888888888889,2609.8972232632004,13,6.5,low_carbon_timing
74.11111111111111,2541.0,14,7.0,low_carbon_timing
80.61111111111111,2487.8290498284696,15,7.5,low_carbon_timing
79.27777777777777,2312.3249850656484,16,8.0,low_carbon_timing
76.94444444444444,2148.141214320631,17,8.5,low_carbon_timing
76.77777777777777,1864.8618350629297,18,9.0,low_carbon_timing
75.88888888888889,1552.6986824833618,19,9.5,low_carbon_timing
77.55555555555556,1222.2346697356777,20,10.0,low_carbon_timing
80.83333333333333,1059.4061153612845,21,10.5,low_carbon_timing
85.55555555555556,1056.0864262845585,22,11.0,low_carbon_timing
90.33333333333333,927.743382745861,23,11.5,low_carbon_timing
98.27777777777777,802.6681065159966,24,12.0,low_carbon_timing
111.44444444444444,655.7287674050314,25,12.5,low_carbon_timing
124.27777777777777,632.0642492836422,26,13.0,low_carbon_timing
140.05555555555554,594.7619301030867,27,13.5,low_carbon_timing
157.33333333333334,440.685210936088,28,14.0,low_carbon_timing
172.44444444444446,334.7674919755507,29,14.5,low_carbon_timing
184.16666666666666,258.6882857279365,30,15.0,low_carbon_timing
188.61111111111111,205.33024036206655,31,15.5,low_carbon_timing
187.94444444444446,154.7511017415489,32,16.0,low_carbon_timing
188.94444444444446,121.0,33,16.5,low_carbon_timing
184.44444444444446,120.49943875482148,34,17.0,low_carbon_timing
184.72222222222223,91.10121107840824,35,17.5,low_carbon_timing
181.72222222222223,3.399785216134963,36,18.0,low_carbon_timing
69.88888888888889,2.13155030246858,47,23.5,low_carbon_timing
