adopted_physical_vehicles,adopted_source,cooperation_adopted_cost,cooperation_cost_carbon,cooperation_cost_elec,cooperation_cost_fix,cooperation_cost_fuel,cooperation_cost_km,cooperation_cost_occ,cooperation_cost_transship,cooperation_search_cost,cooperation_search_distance_km,cross_site_customers_in_search,delta_cost_carbon,delta_cost_elec,delta_cost_fix,delta_cost_fuel,delta_cost_km,delta_cost_occ,delta_cost_transship,independent_cost,independent_cost_carbon,independent_cost_elec,independent_cost_fix,independent_cost_fuel,independent_cost_km,independent_cost_occ,independent_cost_transship,independent_distance_km,independent_physical_vehicles,physical_vehicle_change,search_saving,search_saving_pct,seed,strict_cooperation_win
28,cooperative_search,13028.27194850728,0.0,670.1911521921558,4720.0,2569.790297649647,5068.290498665476,0.0,0.0,13028.27194850728,14480.829996187074,1,0.0,-7.30146251337942,0.0,4.7863731518459645,-12.983604260996799,0.0,0.0,13043.77064212981,0.0,677.4926147055352,4720.0,2565.003924497801,5081.274102926473,0.0,0.0,14517.926008361352,28,0,15.498693622530482,0.1188206543012307,1,True
28,cooperative_search,12557.690125970528,0.0,674.6002121863738,5680.0,1897.7054389910493,4305.384474793105,0.0,0.0,12557.690125970528,12301.098499408872,8,0.0,-45.61946811029952,560.0,-236.22276765496713,-399.80588914931286,0.0,0.0,12679.338250885108,0.0,720.2196802966733,5120.0,2133.9282066460164,4705.190363942418,0.0,0.0,13443.401039835482,28,0,121.64812491457997,0.9594201409216925,2,True
28,cooperative_search,13030.410249446957,0.0,670.960115100506,4720.0,2569.790297649647,5069.659836696802,0.0,0.0,13030.410249446957,14484.74239056229,1,0.0,-6.034414887945786,0.0,4.7863731518459645,-10.292070172390595,0.0,0.0,13041.950361355444,0.0,676.9945299884517,4720.0,2565.003924497801,5079.9519068691925,0.0,0.0,14514.14830534055,28,0,11.540111908487233,0.08848455628754498,3,True
28,cooperative_search,12657.571322435286,0.0,709.1409394819243,5920.0,1770.1003812390354,4258.330001714327,0.0,0.0,12657.571322435286,12166.657147755222,7,0.0,34.0761405162026,1200.0,-793.8456267490783,-818.5383379535442,0.0,0.0,13035.879146621706,0.0,675.0647989657217,4720.0,2563.9460079881137,5076.868339667872,0.0,0.0,14505.338113336777,28,0,378.3078241864205,2.9020507165752627,4,True
28,independent_concat_fallback,12993.35701091625,0.0,670.4620303834225,4720.0,2569.790297649647,5068.337640639521,0.0,0.0,13028.589968672592,14480.96468754149,1,0.0,-7.030584322112645,0.0,27.410510190934474,14.853031887519137,0.0,0.0,12993.35701091625,0.0,677.4926147055352,4720.0,2542.3797874587126,5053.484608752002,0.0,0.0,14438.52745357715,28,0,-35.23295775634142,-0.27116131517621483,5,False
28,cooperative_search,13030.410249446957,0.0,670.960115100506,4720.0,2569.790297649647,5069.659836696802,0.0,0.0,13030.410249446957,14484.74239056229,1,0.0,-4.29627050146928,0.0,1.8974019036040772,-9.410108315117213,0.0,0.0,13042.219226359937,0.0,675.2563856019752,4720.0,2567.892895746043,5079.069945011919,0.0,0.0,14511.62841431977,28,0,11.808976912980143,0.09054422953658638,6,True
28,independent_concat_fallback,12765.11039801617,0.0,670.960115100506,4720.0,2569.790297649647,5069.659836696802,0.0,0.0,13030.410249446957,14484.74239056229,1,0.0,2.906336714229269,-480.0,341.54419253495826,400.84932218159884,0.0,0.0,12765.11039801617,0.0,668.0537783862767,5200.0,2228.246105114689,4668.810514515203,0.0,0.0,13339.45861290058,28,0,-265.2998514307874,-2.0783200705574605,7,False
28,cooperative_search,12712.247069995796,0.0,713.9488217284561,5760.0,1866.0508442586806,4372.24740400866,0.0,0.0,12712.247069995796,12492.135440024744,7,0.0,31.108273604103715,640.0,-490.1002298657945,-492.3644831016163,0.0,0.0,13023.603509359104,0.0,682.8405481243524,5120.0,2356.151074124475,4864.611887110276,0.0,0.0,13898.891106029361,28,0,311.3564393633078,2.3907088321566214,8,True
28,independent_concat_fallback,12714.718031013665,0.0,695.2022729887327,5840.0,1860.330499904692,4337.236084713283,0.0,0.0,12732.768857606708,12392.103099180811,7,0.0,9.559735143747275,720.0,-348.1040156438278,-363.404892906874,0.0,0.0,12714.718031013665,0.0,685.6425378449854,5120.0,2208.43451554852,4700.640977620157,0.0,0.0,13430.40279320045,28,0,-18.050826593043894,-0.1419679661712861,9,False
28,independent_concat_fallback,12962.304271218405,0.0,670.960115100506,4720.0,2569.790297649647,5069.659836696802,0.0,0.0,13030.410249446957,14484.74239056229,1,0.0,-21.806475452857967,-640.0,369.46356272766934,360.44889095373856,0.0,0.0,12962.304271218405,0.0,692.7665905533639,5360.0,2200.3267349219777,4709.210945743063,0.0,0.0,13454.888416408752,28,0,-68.10597822855198,-0.5254156730433722,10,False
