fair_cross_site_customers,fair_minimum_profit_ratio,fair_profit_ratios_json,fair_search_cost,fair_search_strict_win,fairness_cost_delta,fairness_rejected_candidates,seed,unrestricted_search_cost
1,1.0056154440975549,"{""D0"": 1.0056154440975549, ""D1"": 1.0130433196165243}",13067.968039762438,True,-58.93676198673893,2846,1,13126.904801749177
2,1.0133778387387635,"{""D0"": 1.0133778387387635, ""D1"": 1.0407844360582408}",12220.43997785099,True,-1055.6391081362362,1858,2,13276.079085987227
1,1.0059846988253913,"{""D0"": 1.0059846988253913, ""D1"": 1.030213287148624}",12858.001547739956,True,-418.07753824727115,2469,3,13276.079085987227
4,1.011927647326449,"{""D0"": 1.011927647326449, ""D1"": 1.012807803983212}",12980.122560148877,True,77.96474767334439,2557,4,12902.157812475532
1,1.0061164585109825,"{""D0"": 1.0158031200823299, ""D1"": 1.0061164585109825}",12963.776479373591,True,-310.47108060890423,2688,5,13274.247559982496
1,1.0061893741334758,"{""D0"": 1.0188900316120182, ""D1"": 1.0061893741334758}",12974.570635883534,True,-301.50845010369267,2488,6,13276.079085987227
0,1.0053829430146193,"{""D0"": 1.0053829430146193, ""D1"": 1.0224521829536588}",12642.23345790601,False,-633.845628081217,2155,7,13276.079085987227
0,1.0070654516422004,"{""D0"": 1.0070654516422004, ""D1"": 1.0419039139065904}",12666.692441459729,False,-609.386644527498,2356,8,13276.079085987227
1,1.0207683255676547,"{""D0"": 1.0236668497641985, ""D1"": 1.0207683255676547}",12370.480611091922,True,-905.5984748953051,2241,9,13276.079085987227
3,1.0033797911875533,"{""D0"": 1.0033797911875533, ""D1"": 1.0569222854438158}",12455.131918662337,True,-575.2861800640549,2016,10,13030.418098726392
