instance,condition,status,start_sha256,physical_cv,physical_ev,trip_count,total_cost,cost_component_error
L-main-threeshift-10c-01,geographic,PASS,bd790d5bcdab9fdd8581362d3fb6070089850efcdef8744190bdf5776db188bf,2,2,5,965.3855258324814,0.0
L-main-threeshift-10c-01,mixed,PASS,f97ea8bb46c7532bdf054b99b0765cd74e89b3f006f15bc0de9e20375fb596a4,2,2,5,1099.082063153641,0.0
L-main-threeshift-15c-01,geographic,PASS,d96015dbaf10352c4f44e4e3c0440a93c16c6eed12c83bd8561f20d6bad85710,2,2,7,1374.889962283401,0.0
L-main-threeshift-15c-01,mixed,PASS,d6a67b21a7fa01b2f005fbd481cf06dc1f26509c7bd2a20d2b7b1fee5aabb4d9,2,2,8,1879.7458444890274,0.0
L-main-threeshift-20c-01,geographic,PASS,c20870a26965b8bc4f9e094533f86dd83f634f4a23159f124b50c01c725ff91c,3,2,9,1917.8849003305106,0.0
L-main-threeshift-20c-01,mixed,PASS,c6dba61627448fc1722189a166875b0a83e0e630c8fdb612b19d84f42ecf1118,3,2,9,2296.8210426003266,0.0
L-main-threeshift-25c-01,geographic,PASS,8752643a20d153b7e80fc0eadc63836968ca70005a9b69a0f77f1b2f05cf348c,4,2,10,1742.833328005152,0.0
L-main-threeshift-25c-01,mixed,PASS,3d3e2d4bd18c9887c21581cfa5ac1d7b72b5e5037f140a943e7b533d11c1c5aa,4,2,10,2256.673839114648,0.0
L-main-threeshift-50c-01,geographic,PASS,63da2beb80fb13d8d2794bb57a46beb8ccef8db84f4ee97629fb001a17baa5ba,4,4,18,3672.1523303257254,0.0
L-main-threeshift-50c-01,mixed,PASS,4ce30e28816835e58fcd04438a3c7ff3ff217983b694aed209f4a13113d97bd3,5,5,18,4637.1585559031155,0.0
L-main-threeshift-75c-01,geographic,PASS,b7c06e430c31c95ebe2353616837c25ab592c0164977b0b5f87b3de637080534,8,7,25,5314.152381042002,0.0
L-main-threeshift-75c-01,mixed,PASS,2880469d2f7f62de3c537fb37487717b05ef05e5ce45d888217dadb426fa04ba,8,9,24,6906.179744658802,9.094947017729282e-13
L-main-threeshift-100c-01,geographic,PASS,fdb18c03aa75277434c69c57ab5a4cf5cc863f3bbb3cb42a157880970cff029c,10,9,31,7385.243114848532,0.0
L-main-threeshift-100c-01,mixed,PASS,c6df4dc07b4521ccd61cbd45e6eaef5e6a75969cfecc438ce960ab753fc1dcf3,9,10,31,9332.981765088674,1.8189894035458565e-12
L-main-threeshift-150c-01,geographic,PASS,a38a4e98db2e47c24ca4bc97f9cf7bff2c52aba83a4f1b5caebb5fcfb8665b0c,14,14,45,11529.15283008764,0.0
L-main-threeshift-150c-01,mixed,PASS,ce571afe0c6551f1519dd53dcf3edf3fc7432046954d20daa7c4d178ee049444,12,15,46,12620.766157504931,1.8189894035458565e-12
L-main-threeshift-200c-01,geographic,PASS,2c6c4fc7b8cede70bf52f37533b6f08a23440d7d505c74970c7ead695ada38c9,17,20,59,13033.366039041317,0.0
L-main-threeshift-200c-01,mixed,PASS,8e05fcc8b85aaf6761750d87c91f6d62ab68e8e2c895a39a5132e5ddf0d1a6c1,16,22,60,17507.576843483952,0.0
