pair_id,instance,condition,seed,fixed_total_cost,shared_total_cost,saving_pct,strict_win,cross_site_customer_count,delta_cost_fix,delta_cost_km,delta_cost_fuel,delta_cost_elec,delta_total_cost
L-main-threeshift-100c-01__geographic__seed1,L-main-threeshift-100c-01,geographic,1,7070.789749916488,6281.639590979243,11.160707457700408,True,6,-480.0,-232.78953452610722,-2.6867942876680218,-73.67383012346988,-789.1501589372456
L-main-threeshift-100c-01__geographic__seed2,L-main-threeshift-100c-01,geographic,2,6590.953030243774,6159.381605102166,6.547936590676116,True,13,-240.0,-182.13633471807861,83.41078667219983,-92.84587709573077,-431.5714251416084
L-main-threeshift-100c-01__geographic__seed3,L-main-threeshift-100c-01,geographic,3,6060.767434885594,6433.185206091809,-6.144729610685755,False,6,80.0,162.90497587430536,125.31359708825096,4.199198243656895,372.41777120621464
L-main-threeshift-100c-01__mixed__seed1,L-main-threeshift-100c-01,mixed,1,9332.981765088674,8420.452050712658,9.777472380686111,True,77,960.0,-1153.5619895269424,-541.2050852016771,-177.7626396473953,-912.5297143760163
L-main-threeshift-100c-01__mixed__seed2,L-main-threeshift-100c-01,mixed,2,9332.981765088674,7586.769927864309,18.710117314879106,True,77,560.0,-1343.5789345026992,-836.148266216117,-126.48463650554817,-1746.2118372243658
L-main-threeshift-100c-01__mixed__seed3,L-main-threeshift-100c-01,mixed,3,9332.981765088674,7454.426475202388,20.12813629309001,True,83,640.0,-1513.3449786729097,-814.4676226107808,-190.7426886025945,-1878.5552898862861
L-main-threeshift-10c-01__geographic__seed1,L-main-threeshift-10c-01,geographic,1,779.8908259451584,702.160177893885,9.966862728135157,True,5,-80.0,-13.412623293338413,33.203967256163146,-17.521992014098146,-77.73064805127342
L-main-threeshift-10c-01__geographic__seed2,L-main-threeshift-10c-01,geographic,2,747.4808106915995,702.160177893885,6.063116557571821,True,5,0.0,-39.60584287283916,14.055697386759292,-19.770487311634454,-45.32063279771444
L-main-threeshift-10c-01__geographic__seed3,L-main-threeshift-10c-01,geographic,3,785.536035457712,694.6584822945423,11.568858596056346,True,3,-80.0,-16.851535925483006,18.998137744610702,-13.024154982297546,-90.87755316316975
L-main-threeshift-10c-01__mixed__seed1,L-main-threeshift-10c-01,mixed,1,906.0747117946441,702.160177893885,22.50526708739831,True,7,-80.0,-86.89709576613103,-12.95649912040372,-24.060939014224232,-203.91453390075912
L-main-threeshift-10c-01__mixed__seed2,L-main-threeshift-10c-01,mixed,2,883.7019248438369,722.8777104729054,18.19892090869345,True,8,-80.0,-86.08802271731423,61.79210722314829,-56.52829887676552,-160.8242143709315
L-main-threeshift-10c-01__mixed__seed3,L-main-threeshift-10c-01,mixed,3,881.6801993217,702.160177893885,20.3611265814889,True,7,0.0,-124.23253813246407,-21.665514422688204,-33.62196887266262,-179.52002142781498
L-main-threeshift-150c-01__geographic__seed1,L-main-threeshift-150c-01,geographic,1,10634.755456681305,10329.156294594399,2.8735889916012414,True,7,-240.0,-114.4246946088324,156.2131693367328,-107.38763681480918,-305.5991620869063
L-main-threeshift-150c-01__geographic__seed2,L-main-threeshift-150c-01,geographic,2,10011.33632984153,11527.405210997158,-15.143521615956201,False,1,-880.0,1334.407059768576,1007.4548582676923,54.20696311936058,1516.0688811556283
L-main-threeshift-150c-01__geographic__seed3,L-main-threeshift-150c-01,geographic,3,10275.389722342275,10684.740318227243,-3.9837963030725407,False,5,0.0,260.55211781135085,103.57324022254102,45.2252378510758,409.35059588496733
L-main-threeshift-150c-01__mixed__seed1,L-main-threeshift-150c-01,mixed,1,12620.766157504931,10792.280968676232,14.487909577037774,True,105,960.0,-1564.363674019025,-1151.2147432433503,-72.90677156632182,-1828.4851888286994
