instance,customer_count,condition,seed_count,mean_saving_pct,strict_win_count,mean_cross_site_customer_count,mean_delta_cost_fix,mean_delta_cost_km,mean_delta_cost_fuel,mean_delta_cost_elec,mean_delta_total_cost
L-main-threeshift-100c-01,221,geographic,3,3.854638145896923,2,8.333333333333334,-213.33333333333334,-84.00696445662682,68.6791964909276,-54.106836325181256,-282.7679376242131
L-main-threeshift-100c-01,221,mixed,3,16.205241996218408,3,79.0,720.0,-1336.8286342341837,-730.6069913428582,-164.99665491851266,-1512.4322804955561
L-main-threeshift-10c-01,22,geographic,3,9.19961262725444,3,4.333333333333333,-53.333333333333336,-23.290000697220194,22.085934129177712,-16.77221143601005,-71.30961133738587
L-main-threeshift-10c-01,22,mixed,3,20.355104859193553,3,7.333333333333333,-53.333333333333336,-99.07255220530311,9.056697893352123,-38.07040225455079,-181.4195898998352
L-main-threeshift-150c-01,322,geographic,3,-5.417909642475834,1,4.333333333333333,-373.3333333333333,493.5114943236981,422.41375594232204,-2.651811948124267,539.9401049845632
L-main-threeshift-150c-01,322,mixed,3,9.797011364363376,3,96.66666666666667,1013.3333333333334,-1241.1085727713687,-964.408808262292,-42.10853117029728,-1234.2925788706252
L-main-threeshift-15c-01,34,geographic,3,-1.571437600897906,1,2.3333333333333335,53.333333333333336,-25.433634099840123,-5.858029422203866,-6.8662895506806025,15.175380260608714
L-main-threeshift-15c-01,34,mixed,3,25.556138702251342,3,13.0,-80.0,-144.77892447030158,-97.1817840349484,-8.198515185553283,-330.1592236908032
L-main-threeshift-200c-01,449,geographic,3,0.6739613081532337,3,1.3333333333333333,613.3333333333334,-326.5118788789784,-438.3566181268231,63.695319419346255,-87.83984425312217
L-main-threeshift-200c-01,449,mixed,3,9.11422343483761,3,119.0,1813.3333333333333,-1914.1923969235338,-1401.1299839342391,-93.69062401657663,-1595.6796715410171
L-main-threeshift-20c-01,45,geographic,3,8.716473512592062,3,5.333333333333333,-80.0,-28.756121659135335,7.535872812320861,-12.297800301268936,-113.51804914808334
L-main-threeshift-20c-01,45,mixed,3,27.440837421423016,3,20.666666666666668,-160.0,-186.62831400019715,-103.84895213955959,-17.707000692303975,-468.18426683206053
L-main-threeshift-25c-01,55,geographic,3,6.248432721609167,3,5.333333333333333,-53.333333333333336,-16.82523634811967,-9.804010449266846,-1.5932503426587086,-81.55583047337852
L-main-threeshift-25c-01,55,mixed,3,28.654626407664818,3,24.666666666666668,-133.33333333333334,-222.04299068901523,-135.13805363968007,-15.670720522015353,-506.1850981840439
L-main-threeshift-50c-01,114,geographic,3,8.024294100096585,3,14.333333333333334,-106.66666666666667,-115.91496233384176,27.467150923211364,-49.39317999942781,-244.50765807672497
L-main-threeshift-50c-01,114,mixed,3,28.513701705185408,3,46.666666666666664,-186.66666666666666,-652.8434723003126,-406.60708837336574,-50.926557164968074,-1297.0437845053134
L-main-threeshift-75c-01,163,geographic,3,7.682754514735772,2,2.6666666666666665,-186.66666666666666,-121.62773172499426,-67.21706100960499,-12.494399411241773,-388.00585881250845
L-main-threeshift-75c-01,163,mixed,3,12.797854879796944,3,51.666666666666664,560.0,-810.3960088780459,-597.4000404775458,-36.046812103773355,-883.8428614593646
