algorithm,seed,step,eval,best_cost,current_cost,operator,time_seconds
GA,1,0,0,5803.553350198798,5803.553350198798,shared_warm_start,0.0
GA,1,1,2,5762.057442807908,5803.553350198798,ga_vehicle_type_initialization,0.11489349999465048
GA,1,2,5,5719.142314532386,5762.057442807908,ga_vehicle_type_initialization,0.42812204197980464
GA,1,3,8,5663.503130443267,5719.142314532386,ga_vehicle_type_initialization,0.5428011670010164
GA,1,4,11,5620.83594947096,5663.503130443267,ga_vehicle_type_initialization,0.8377263339934871
GA,1,5,14,5591.773545796448,5620.83594947096,ga_vehicle_type_initialization,1.0103877499932423
GA,1,6,17,5553.6675072065045,5591.773545796448,ga_vehicle_type_initialization,1.1996683339821175
GA,1,7,20,5484.500551121285,5553.6675072065045,ga_vehicle_type_initialization,1.4516596249886788
GA,1,8,23,5436.746622056777,5484.500551121285,ga_vehicle_type_initialization,1.5415535419888329
GA,1,9,26,5413.4255456810515,5436.746622056777,ga_vehicle_type_initialization,1.8349083339853678
GA,1,10,29,5371.948760051337,5413.4255456810515,ga_vehicle_type_initialization,2.0163910419796593
GA,1,11,32,5340.90315817374,5371.948760051337,ga_vehicle_type_initialization,2.2023495419998653
GA,1,12,35,5291.554246548154,5340.90315817374,ga_vehicle_type_initialization,2.4479859589773696
GA,1,13,38,5221.057718790401,5291.554246548154,ga_vehicle_type_initialization,2.548747458989965
GA,1,14,41,5174.345121253789,5221.057718790401,ga_vehicle_type_initialization,2.8420954999746755
LNS,1,0,0,5803.553350198798,5803.553350198798,shared_warm_start,0.0
LNS,1,1,4,5755.79942113429,5803.553350198798,lns_vehicle_type_mutation,0.25657808399409987
LNS,1,2,8,5732.478344758566,5755.79942113429,lns_vehicle_type_mutation,0.45720791700296104
LNS,1,3,10,5676.839160669449,5732.478344758566,lns_vehicle_type_mutation,0.5451765000034356
LNS,1,4,11,5627.490249043861,5676.839160669449,lns_vehicle_type_mutation,0.5531959590007318
LNS,1,5,13,5580.777651507249,5627.490249043861,lns_vehicle_type_mutation,0.6670610839937581
LNS,1,6,16,5537.862523231727,5580.777651507249,lns_vehicle_type_mutation,0.9130077089939732
LNS,1,7,19,5496.366615840837,5537.862523231727,lns_vehicle_type_mutation,1.1433361249946756
LNS,1,8,21,5458.260577250894,5496.366615840837,lns_vehicle_type_mutation,1.2658307919919025
LNS,1,9,23,5387.764049493141,5458.260577250894,lns_vehicle_type_mutation,1.4409279999963474
LNS,1,10,24,5346.287263863426,5387.764049493141,lns_vehicle_type_mutation,1.4496140840055887
