algorithm,seed,history_len,best_improvement_count,first_improvement_eval,final_improvement_eval,first_improvement_operator,final_improvement_operator,unique_improvement_operators,all_improvements_vehicle_type_channel,vehicle_type_channel_basis,actual_evals,post_final_improvement_evals
GA,1,15,14,2,41,ga_vehicle_type_initialization,ga_vehicle_type_initialization,ga_vehicle_type_initialization,True,direct_vehicle_type_operator,16000,15959
LNS,1,15,14,4,37,lns_vehicle_type_mutation,lns_vehicle_type_mutation,lns_vehicle_type_mutation,True,direct_vehicle_type_operator,16000,15963
PSO,1,15,14,2,41,pso_initial_particle,pso_initial_particle,pso_initial_particle,True,pso_initial_particle_eval_mod3_vehicle_type_branch,16000,15959
VNS,1,14,13,1,30,vns_vehicle_type_construction,vns_local_vehicle_type,vns_local_vehicle_type|vns_vehicle_type_construction,True,direct_vehicle_type_operator,16000,15970
GA,2,15,14,2,41,ga_vehicle_type_initialization,ga_vehicle_type_initialization,ga_vehicle_type_initialization,True,direct_vehicle_type_operator,16000,15959
LNS,2,15,14,5,42,lns_vehicle_type_mutation,lns_vehicle_type_mutation,lns_vehicle_type_mutation,True,direct_vehicle_type_operator,16000,15958
PSO,2,15,14,2,41,pso_initial_particle,pso_initial_particle,pso_initial_particle,True,pso_initial_particle_eval_mod3_vehicle_type_branch,16000,15959
VNS,2,14,13,2,42,vns_local_vehicle_type,vns_local_vehicle_type,vns_local_vehicle_type,True,direct_vehicle_type_operator,16000,15958
