instance,algorithm,seed,checkpoint,checkpoint_eval,checkpoint_operator,checkpoint_best_cost,replay_total_cost,replay_violation_count,signature_hash,raw_best_signature,signature_matches_raw,solution_json_sha256,route_count,cv_route_count,ev_route_count,charging_action_count,E_total,cost_carbon
e2-threeshift-150c-01,GA,1,baselines/e2_alns/ev_heavy_findability_gate_long_same_instance_v2_data/checkpoints/neutral/e2-threeshift-150c-01__GA__seed1.json,41,ga_vehicle_type_initialization,5174.345121253789,5174.345121253789,0,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2,True,1a0bf1ad3e76a4ace9e3ac1dd3dbcd2e70d0b65ed260c024a776e0cec431f345,22,7,15,15,1683.2437049902392,84.73448810920864
e2-threeshift-150c-01,GA,2,baselines/e2_alns/ev_heavy_findability_gate_long_same_instance_v2_data/checkpoints/neutral/e2-threeshift-150c-01__GA__seed2.json,41,ga_vehicle_type_initialization,5174.345121253789,5174.345121253789,0,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2,True,4b4c56611c8ea393dcb744d447feee25fad55f24473216cf2f2693794e3259be,22,7,15,15,1683.2437049902392,84.73448810920864
e2-threeshift-150c-01,LNS,1,baselines/e2_alns/ev_heavy_findability_gate_long_same_instance_v2_data/checkpoints/neutral/e2-threeshift-150c-01__LNS__seed1.json,37,lns_vehicle_type_mutation,5174.345121253789,5174.345121253789,0,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2,True,cf99426900a2ecc2f3fcc83d499d04587dd32edfdab482bfe022ce6b148b28f7,22,7,15,15,1683.2437049902392,84.73448810920864
e2-threeshift-150c-01,LNS,2,baselines/e2_alns/ev_heavy_findability_gate_long_same_instance_v2_data/checkpoints/neutral/e2-threeshift-150c-01__LNS__seed2.json,42,lns_vehicle_type_mutation,5174.345121253789,5174.345121253789,0,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2,True,0a8f9a0806ddaaf679889fb43274b52196c26682df83df4fcd5088c79533f504,22,7,15,15,1683.2437049902392,84.73448810920864
e2-threeshift-150c-01,PSO,1,baselines/e2_alns/ev_heavy_findability_gate_long_same_instance_v2_data/checkpoints/neutral/e2-threeshift-150c-01__PSO__seed1.json,41,pso_initial_particle,5174.345121253789,5174.345121253789,0,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2,True,3f5459aaaeca94b83fd33fe4a992f24e79160cf0e38adf4eaa070cd9441669b4,22,7,15,15,1683.2437049902392,84.73448810920864
e2-threeshift-150c-01,PSO,2,baselines/e2_alns/ev_heavy_findability_gate_long_same_instance_v2_data/checkpoints/neutral/e2-threeshift-150c-01__PSO__seed2.json,41,pso_initial_particle,5174.345121253789,5174.345121253789,0,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2,True,79d76e7c6acc9733b8cedb067bf962a0c7cd6f611c0de0113b594fcb3ab43434,22,7,15,15,1683.2437049902392,84.73448810920864
e2-threeshift-150c-01,VNS,1,baselines/e2_alns/ev_heavy_findability_gate_long_same_instance_v2_data/checkpoints/neutral/e2-threeshift-150c-01__VNS__seed1.json,30,vns_local_vehicle_type,5174.345121253789,5174.345121253789,0,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2,True,2267106ee2dba4c19b6b3a727a82ef802558b2638ba03c562cd88df3682ab2fc,22,7,15,15,1683.2437049902392,84.73448810920864
e2-threeshift-150c-01,VNS,2,baselines/e2_alns/ev_heavy_findability_gate_long_same_instance_v2_data/checkpoints/neutral/e2-threeshift-150c-01__VNS__seed2.json,42,vns_local_vehicle_type,5174.345121253789,5174.345121253789,0,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2,True,bd3746fbd0b60c8d686e659de52dc3affdb49dab8c16f1a826fede93c194241a,22,7,15,15,1683.2437049902392,84.73448810920864
e2-threeshift-150c-01,alns_e2_carbon,1,baselines/e2_alns/ev_heavy_findability_gate_long_same_instance_v2_data/checkpoints/neutral/e2-threeshift-150c-01__alns_e2_carbon__seed1.json,1988,route_segment_removal+regret2_insert_repair,3569.4464108288885,3569.4464108288885,0,d2ff2d48ca63623b1a907aa068e14c67ebffc4d23206da8e3e8f2967c3b17db0,d2ff2d48ca63623b1a907aa068e14c67ebffc4d23206da8e3e8f2967c3b17db0,True,1a4f8cdaee78e7c1bd9348ca6b930ed09b969a8ae984efcf5f69014ec62e5929,21,3,18,18,622.3147200070416,31.327323005154476
e2-threeshift-150c-01,alns_e2_carbon,2,baselines/e2_alns/ev_heavy_findability_gate_long_same_instance_v2_data/checkpoints/neutral/e2-threeshift-150c-01__alns_e2_carbon__seed2.json,712,vehicle_type_swap+greedy_insert_repair,3622.2776996989915,3622.2776996989915,0,5fa3ed2d5c67ac67a12cce1fba10d3db694b1e2b0e57409996068c09bca1b8ba,5fa3ed2d5c67ac67a12cce1fba10d3db694b1e2b0e57409996068c09bca1b8ba,True,a326980f50327bcc476b857e27d86a999f896eb584af1dcec4c53c28d03fee38,22,6,16,16,869.4295218904115,43.76708213196331
