instance_id,depot_id,status,result_available,failure_reason
cn-jjj-50c-01-V2-LOCATIONS,D_beijing,TECHNICAL_ROW_LOST_BEFORE_PACKAGE_WRITE,false,"The serial runner did not persist the first depot row before starting the second depot; no numeric result is reconstructed."
cn-jjj-50c-01-V2-LOCATIONS,D_tianjin,TECHNICAL_PI0_WIRING_FAILED,false,"RuntimeError: seed 11 did not select structurally distinct parents"
