actual_charging_saving_kg,arm,aware_actual_charging_emissions_kg,aware_predicted_charging_emissions_kg,aware_vs_immediate_moved_action_count,aware_vs_immediate_moved_energy_kwh,baseline_output_sha256,certificate_sha256,charge_actions_at_earliest,charging_strategy,cross_site_customer_count,customer_accounting_pass,elapsed_seconds,eligible_charge_actions,energy_sha256,existing_cross_accepted_count,existing_cross_actual_call_count,existing_cross_best_improved_count,existing_cross_candidate_build_count,existing_cross_changed_candidate_count,existing_cross_dynamic_feasible_count,existing_cross_forced_insertion_count,existing_cross_gate_rejection_count,existing_cross_moved_customer_ids,existing_cross_operator_id,existing_cross_pair_removal_count,existing_cross_rejection_counts_json,existing_cross_scheduled_call_count,existing_cross_scheduled_slots,existing_cross_within_depot_reinsert_count,feasible_cross_candidate_count,forced_cross_attempt_count,future_cost,immediate_actual_charging_emissions_kg,immediate_predicted_charging_emissions_kg,main_evaluations,main_search_seed,minimum_profit_margin,minimum_profit_ratio,moved_charge_actions,moved_charge_kwh,moved_from_search_schedule_actions,moved_from_search_schedule_kwh,participation_gate_rejections,predicted_charging_saving_kg,profit_margins_json,profit_ratios_json,responsibility_condition,route_sha256,running_actual_charging_emissions_kg,running_depot_profit_json,running_predicted_charging_emissions_kg,running_total_actual_emissions_kg,running_total_cost,running_total_profit,same_state_baseline_cost,same_state_baseline_profit_json,same_state_cost_saving_pct,second_start_sha256,selected_future_profit_json,shadow_evaluations,shadow_existing_cross_actual_call_count,shadow_search_seed,solution_sha256,stage,stage_new_customer_count,stage_new_customer_ids_json,stream_seed,trigger_second
0.0,full,130.4388297059583,120.76636558541011,0,0,46b223b773c0b2bf34d5b9d59273b065504ad5c79afc19ecb664c143cfb8aa50,3163cfe9e3f4bf3ffd93d7301ab391d173412712ad4b50e8edc31b262ad14f47,16,aware,0,True,1088.4494913750004,16,d2ed58d2524561bc634ebcee06a8b5d8baf0b45da425eebbd986d0c587f706b4,0,1,0,1,1,1,2,1,C082;C221,reciprocal_boundary_reinsert_v1,1,{},1,5,0,15,4,6910.518398156848,130.4388297059583,120.76636558541011,50,10012,0.7946644168141574,1.0002216735069214,6,546.2691093081777,6,546.2691093081777,37,0.0,"{""D0"": 0.7946644168141574, ""D1"": 3.703598898599921}","{""D0"": 1.0002216735069214, ""D1"": 1.0010243303968693}",geographic,b270fc8e4dbc4cfd04ee75757fb73a90900a4ea611777c2989aee4977ab9cebc,218.41113608287074,"{""D0"": 4605.377313695945, ""D1"": 5556.33016406812}",201.66027283354387,2229.5771417549176,8477.401063029769,10161.707477764066,6915.016661472261,"{""D0"": 3584.84163421414, ""D1"": 3615.6292051074365}",0.065050650426856,46b223b773c0b2bf34d5b9d59273b065504ad5c79afc19ecb664c143cfb8aa50,"{""D0"": 3585.636298630954, ""D1"": 3619.3328040060364}",50,1,10011,40814690636e48baf4a85c7b9568edea922c2438c31aa82a8263c859b3620bd2,1,3,"[""N_S1_001"", ""N_S1_002"", ""N_S1_003""]",1,10800.0
0.0,full,103.08334824958462,96.38210590471115,0,0,9a5200d2a2909efc4663128213972e19592fab657ad1f243ebdaae5c04f7880f,d91bb32b470f7496b5a49335868a4c3695a01ebdaef5f74380deeb89480ae348,10,aware,0,True,678.71513375,10,eb50669f52c0cc8b2a8760a29c52f35d8ae238138cb282d30b8eb25d71dd9db2,1,1,0,1,1,1,2,1,C184;C200,reciprocal_boundary_reinsert_v1,1,{},1,5,0,38,4,4801.896254601376,103.08334824958462,96.38210590471115,50,10022,0.0,1.0,7,555.6658963248659,7,555.6658963248659,38,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",geographic,a427852f8fae3150716e918556215840876aac9b65bde95962f2cdd494fd7334,223.32509180423887,"{""D0"": 4858.1611661839215, ""D1"": 4951.084538429419}",206.36931445223232,2412.439991880538,9007.722333983145,9809.24570461334,4801.896254601376,"{""D0"": 2771.594879431383, ""D1"": 2281.9190234609678}",0.0,9a5200d2a2909efc4663128213972e19592fab657ad1f243ebdaae5c04f7880f,"{""D0"": 2771.594879431383, ""D1"": 2281.9190234609678}",50,1,10021,64152a343a72627988a1ef5318b6bc53639d4fd039b484d4e4c852302a632870,2,4,"[""N_S1_004"", ""N_S1_005"", ""N_S1_006"", ""N_S1_007""]",1,17463.155806373295
0.0,no_cooperation,131.42560211444857,121.81861963178235,0,0,46b223b773c0b2bf34d5b9d59273b065504ad5c79afc19ecb664c143cfb8aa50,56d546576fbaf5f6668845ae5f180e0fcab6bdf7580745882c905ad9f1a214ec,16,aware,0,True,1235.4483927090005,16,f7144593ea5df51447c26d935f27785c313ac3a7ea8fbd30dfbfe91b68aab237,0,1,0,1,1,0,0,0,,reciprocal_boundary_reinsert_v1,1,"{""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_025"": 1}",1,5,1,0,0,6915.016661472261,131.42560211444857,121.81861963178235,50,10012,0.0,1.0,5,428.2499630402434,5,428.2499630402434,0,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",geographic,204aa160c7a134965b063b1b37c56e93a0d5725e23c07dc0a6a25a4917620a93,219.397908491361,"{""D0"": 4604.58264927913, ""D1"": 5552.626565169521}",202.7125268799161,2231.373848269377,8481.899326345185,10157.209214448652,6915.016661472261,"{""D0"": 3584.84163421414, ""D1"": 3615.6292051074365}",0.0,46b223b773c0b2bf34d5b9d59273b065504ad5c79afc19ecb664c143cfb8aa50,"{""D0"": 3584.84163421414, ""D1"": 3615.6292051074365}",50,1,10011,4fcb8885918463dc2ae3c91763ec62019b485b258e07dc5f99c58d5631b67f39,1,3,"[""N_S1_001"", ""N_S1_002"", ""N_S1_003""]",1,10800.0
0.0,no_cooperation,109.95594530289905,103.68980353604175,0,0,9a5200d2a2909efc4663128213972e19592fab657ad1f243ebdaae5c04f7880f,96298123eb4b10d592c1aab90fb762939d5590a1ac4710b44fd69ac90a46d22d,10,aware,0,True,541.1034382090002,10,57a04f175e6143e9ac92c7453a4abe551c909ea196cbcc9eed5e8c4a1c90e253,1,1,1,1,1,1,0,0,,reciprocal_boundary_reinsert_v1,1,{},1,5,1,0,0,4737.659358005064,109.95594530289905,103.68980353604175,50,10022,16.609934780760796,1.007278932604527,3,233.1027433394346,3,233.1027433394346,0,0.0,"{""D0"": 47.62696181555111, ""D1"": 16.609934780760796}","{""D0"": 1.0171839550466055, ""D1"": 1.007278932604527}",geographic,fe9bc9bcad8adf62b044f3a317f440f6237dd967fe27e57dfc091c3f62ee5d88,230.19768885755332,"{""D0"": 4908.617117746539, ""D1"": 4967.694473210182}",213.67701208356291,2386.301437225181,8940.656447639767,9876.31159095672,4801.896254601376,"{""D0"": 2771.594879431383, ""D1"": 2281.9190234609678}",1.3377402007541896,9a5200d2a2909efc4663128213972e19592fab657ad1f243ebdaae5c04f7880f,"{""D0"": 2819.221841246934, ""D1"": 2298.5289582417286}",50,1,10021,b5058cbf82c4f3b676cf913036cae4ddba3b69f04ad9b2101dafa44daf48fa31,2,4,"[""N_S1_004"", ""N_S1_005"", ""N_S1_006"", ""N_S1_007""]",1,17463.155806373295
0.0,carbon_blind,130.4388297059583,120.76636558541011,0,0,46b223b773c0b2bf34d5b9d59273b065504ad5c79afc19ecb664c143cfb8aa50,3163cfe9e3f4bf3ffd93d7301ab391d173412712ad4b50e8edc31b262ad14f47,16,naive,0,True,1089.0120771670008,16,d2ed58d2524561bc634ebcee06a8b5d8baf0b45da425eebbd986d0c587f706b4,0,1,0,1,1,1,2,1,C082;C221,reciprocal_boundary_reinsert_v1,1,{},1,5,0,15,4,6910.518398156848,130.4388297059583,120.76636558541011,50,10012,0.7946644168141574,1.0002216735069214,6,546.2691093081777,6,546.2691093081777,37,0.0,"{""D0"": 0.7946644168141574, ""D1"": 3.703598898599921}","{""D0"": 1.0002216735069214, ""D1"": 1.0010243303968693}",geographic,b270fc8e4dbc4cfd04ee75757fb73a90900a4ea611777c2989aee4977ab9cebc,218.40874462415948,"{""D0"": 4605.377313695945, ""D1"": 5556.33016406812}",201.6626642922551,2229.5747502962063,8477.401063029769,10161.707477764066,6915.016661472261,"{""D0"": 3584.84163421414, ""D1"": 3615.6292051074365}",0.065050650426856,46b223b773c0b2bf34d5b9d59273b065504ad5c79afc19ecb664c143cfb8aa50,"{""D0"": 3585.636298630954, ""D1"": 3619.3328040060364}",50,1,10011,40814690636e48baf4a85c7b9568edea922c2438c31aa82a8263c859b3620bd2,1,3,"[""N_S1_001"", ""N_S1_002"", ""N_S1_003""]",1,10800.0
0.0,carbon_blind,103.08334824958462,96.38210590471115,0,0,9a5200d2a2909efc4663128213972e19592fab657ad1f243ebdaae5c04f7880f,d91bb32b470f7496b5a49335868a4c3695a01ebdaef5f74380deeb89480ae348,10,naive,0,True,679.9393579999996,10,eb50669f52c0cc8b2a8760a29c52f35d8ae238138cb282d30b8eb25d71dd9db2,1,1,0,1,1,1,2,1,C184;C200,reciprocal_boundary_reinsert_v1,1,{},1,5,0,38,4,4801.896254601376,103.08334824958462,96.38210590471115,50,10022,0.0,1.0,7,555.6658963248659,7,555.6658963248659,38,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",geographic,a427852f8fae3150716e918556215840876aac9b65bde95962f2cdd494fd7334,223.32270034552764,"{""D0"": 4858.1611661839215, ""D1"": 4951.084538429419}",206.37170591094355,2412.4376004218266,9007.722333983145,9809.24570461334,4801.896254601376,"{""D0"": 2771.594879431383, ""D1"": 2281.9190234609678}",0.0,9a5200d2a2909efc4663128213972e19592fab657ad1f243ebdaae5c04f7880f,"{""D0"": 2771.594879431383, ""D1"": 2281.9190234609678}",50,1,10021,64152a343a72627988a1ef5318b6bc53639d4fd039b484d4e4c852302a632870,2,4,"[""N_S1_004"", ""N_S1_005"", ""N_S1_006"", ""N_S1_007""]",1,17463.155806373295
0.0,no_participation,130.4388297059583,120.76636558541011,0,0,46b223b773c0b2bf34d5b9d59273b065504ad5c79afc19ecb664c143cfb8aa50,3163cfe9e3f4bf3ffd93d7301ab391d173412712ad4b50e8edc31b262ad14f47,16,aware,0,True,1092.9049542499997,16,d2ed58d2524561bc634ebcee06a8b5d8baf0b45da425eebbd986d0c587f706b4,0,1,0,1,1,1,2,0,C082;C221,reciprocal_boundary_reinsert_v1,1,{},1,5,0,15,4,6910.518398156848,130.4388297059583,120.76636558541011,50,10012,0.7946644168141574,1.0002216735069214,6,546.2691093081777,6,546.2691093081777,0,0.0,"{""D0"": 0.7946644168141574, ""D1"": 3.703598898599921}","{""D0"": 1.0002216735069214, ""D1"": 1.0010243303968693}",geographic,b270fc8e4dbc4cfd04ee75757fb73a90900a4ea611777c2989aee4977ab9cebc,218.41113608287074,"{""D0"": 4605.377313695945, ""D1"": 5556.33016406812}",201.66027283354387,2229.5771417549176,8477.401063029769,10161.707477764066,6915.016661472261,"{""D0"": 3584.84163421414, ""D1"": 3615.6292051074365}",0.065050650426856,46b223b773c0b2bf34d5b9d59273b065504ad5c79afc19ecb664c143cfb8aa50,"{""D0"": 3585.636298630954, ""D1"": 3619.3328040060364}",50,1,10011,40814690636e48baf4a85c7b9568edea922c2438c31aa82a8263c859b3620bd2,1,3,"[""N_S1_001"", ""N_S1_002"", ""N_S1_003""]",1,10800.0
0.0,no_participation,106.05694372778972,99.42121413349888,0,0,9a5200d2a2909efc4663128213972e19592fab657ad1f243ebdaae5c04f7880f,6b75754c02f398af80476498654762db094f12f4876e933c19d366a0abdbc31f,10,aware,2,True,682.7746299999999,10,1de876dd7d15111ab7ad8f8dbe7e16ac0956b49a40ea57eb04469ce5fa86430b,1,1,0,1,1,1,2,0,C184;C200,reciprocal_boundary_reinsert_v1,1,{},1,5,0,38,4,4729.672798707403,106.05694372778972,99.42121413349888,50,10022,-0.7679916730553487,0.9996634448176471,7,586.2656276772655,7,586.2656276772655,0,0.0,"{""D0"": 72.99144756703072, ""D1"": -0.7679916730553487}","{""D0"": 1.0263355399119534, ""D1"": 0.9996634448176471}",geographic,e08c0232e958c3f28a1b6e3d74ac97503b878ce6f5d7101f4c7944b312c9f6d4,226.29868728244398,"{""D0"": 4931.152613750951, ""D1"": 4950.316546756364}",209.40842268102003,2405.2528097764457,8935.498878089174,9881.469160507315,4801.896254601376,"{""D0"": 2771.594879431383, ""D1"": 2281.9190234609678}",1.5040611471929666,9a5200d2a2909efc4663128213972e19592fab657ad1f243ebdaae5c04f7880f,"{""D0"": 2844.586326998414, ""D1"": 2281.1510317879124}",50,1,10021,430b31c64ad545255071666fbbeafb344abcca9917035153f0db2ec141020eca,2,4,"[""N_S1_004"", ""N_S1_005"", ""N_S1_006"", ""N_S1_007""]",1,17463.155806373295
0.0,full,105.34404503033241,98.45953405347154,0,0,1592ff1fa84c5c67a147efda9c90482e24426030df1474fce2b9762432a76752,8c79e35adf0c57edd8bae6eeeef60c16029e309328e0a0c02b2d7690fbb188ef,12,aware,5,True,542.9255361249998,12,509a9e00a2cbc850867eb8229d52fc8b88fd6f5d9a5f151a1f302ec15714a833,1,1,1,1,1,1,2,0,C137;C150,reciprocal_boundary_reinsert_v1,1,{},1,5,0,45,4,6424.130908134305,105.34404503033241,98.45953405347154,50,10012,39.11550799004135,1.0150455999205361,10,811.0846040775697,10,811.0846040775697,36,0.0,"{""D0"": 99.23764788390508, ""D1"": 39.11550799004135}","{""D0"": 1.0402785530817116, ""D1"": 1.0150455999205361}",historical_mixed,ef52e893d162b8346b4684ccde5765ce9e717abe85b87cd642e6eb92c8656186,265.97186110339925,"{""D0"": 4749.97967555392, ""D1"": 4131.278213516008}",243.51607518423918,3223.4069548544553,9763.814290621145,8881.257889069928,6562.484064008251,"{""D0"": 2463.783832616467, ""D1"": 2599.7971630663637}",2.108243685234068,1592ff1fa84c5c67a147efda9c90482e24426030df1474fce2b9762432a76752,"{""D0"": 2563.021480500372, ""D1"": 2638.912671056405}",50,1,10011,62fae51100ff185cedc364626046021871bfbcfa33aaeb67c0a88927dd1de03f,1,3,"[""N_S1_001"", ""N_S1_002"", ""N_S1_003""]",1,10800.0
-0.0020701733664623134,full,86.28064571229572,79.30122988893122,1,8.284981383085153,59f27573c714679b14b163db0e1651ebb2004d39beec766e22be87a0e98b1d24,d692106256e7726ec485f1a6f3ccfee99d563ebdb4d3dcb27c9f928f01935782,12,aware,0,True,5.387666500000705,13,fd851613b8e540cb00e25505786f83d4a4b286adf6421f40a816cd9ba968418a,1,1,0,1,1,1,2,1,C129;C202,reciprocal_boundary_reinsert_v1,1,{},1,5,0,35,4,5716.962053662335,86.27857553892926,79.30537023566413,50,10022,0.0,1.0,9,493.380830858798,9,493.380830858798,35,0.004140346732910416,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",historical_mixed,ff0b270abe97e0b1e81a1d15d2cf864ea9eb4d2217a8187dfb6f65e3eafc4ebc,273.74860489064713,"{""D0"": 4647.531022376658, ""D1"": 3659.4534461559642}",248.65649869136226,3306.751785145141,10515.947208961106,8306.984468532622,5716.962053662335,"{""D0"": 2460.9705728064087, ""D1"": 1666.8733710249853}",0.0,59f27573c714679b14b163db0e1651ebb2004d39beec766e22be87a0e98b1d24,"{""D0"": 2460.9705728064087, ""D1"": 1666.8733710249853}",50,1,10021,489feeaf9ae0ab09b2d724a1451d9da7a04a450aea9d4070f72b596a85663d8d,2,4,"[""N_S1_004"", ""N_S1_005"", ""N_S1_006"", ""N_S1_007""]",1,17463.155806373295
