aware_charging_actions,aware_charging_carbon_kg,aware_cost,aware_cost_carbon,aware_total_cost,aware_violation_count,best_aware_cost,best_aware_policy,best_aware_violation_count,budget_status,bundle,candidate_evaluate_count,candidate_evaluate_floor,candidate_evaluate_floor_ratio,candidate_unique_count,carbon_cost_share_pct,carbon_price_factor,diagnostic_only,diagnostic_role,ev_heavy_cv_cap,ev_heavy_ev_cap,ev_route_count,improvement_pct,naive_charging_actions,naive_charging_carbon_kg,naive_cost,naive_cost_carbon,naive_total_cost,naive_violation_count,route_count,scale,seed,source
3,11.330476056956538,576.5627094735121,5.104519387599322,576.5627094735121,0,576.5436202667098,naive,0,OK,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,200,200,1.0,2,0.8820547139944978,,,default_winner_route_replay,,,3,0.0,3,10.951270518572104,576.5436202667098,5.08543018079705,576.5436202667098,0,4,25c,2901,winner_kernel
0,0.0,636.4578828166922,12.307827626386537,636.4578828166922,0,636.4578828166922,naive,0,OK,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,200,200,1.0,1,1.9338007994994613,,,default_winner_route_replay,,,0,0.0,0,0.0,636.4578828166922,12.307827626386537,636.4578828166922,0,4,25c,2902,winner_kernel
3,13.840143006812283,600.8585235632634,5.444284526495671,600.8585235632634,0,600.8273437625442,naive,0,OK,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,200,200,1.0,2,0.9009418066558355,,,default_winner_route_replay,,,3,0.0,3,13.220758805001841,600.8273437625442,5.413104725776533,600.8273437625442,0,4,25c,2903,winner_kernel
4,11.666762476210552,467.4219131676258,0.5873048230524393,467.4219131676258,0,467.40559271014945,naive,0,OK,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,200,200,1.0,2,0.12216036232372078,,,default_winner_route_replay,,,4,0.0,4,11.342557917680836,467.40559271014945,0.5709843655760533,467.40559271014945,0,4,25c,2901,winner_kernel
4,11.666762476210552,467.4219131676258,0.5873048230524393,467.4219131676258,0,467.40559271014945,naive,0,OK,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,200,200,1.0,2,0.12216036232372078,,,default_winner_route_replay,,,4,0.0,4,11.342557917680836,467.40559271014945,0.5709843655760533,467.40559271014945,0,4,25c,2902,winner_kernel
0,0.0,523.6375015853727,7.856993192747375,523.6375015853727,0,523.6375015853727,naive,0,OK,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,200,200,1.0,1,1.500464189245313,,,default_winner_route_replay,,,0,0.0,0,0.0,523.6375015853727,7.856993192747375,523.6375015853727,0,4,25c,2903,winner_kernel
1,4.599895426996093,586.7419175952583,8.59449853030299,586.7419175952583,0,586.7313008782658,naive,0,OK,models/data_bundle/generated_instances/E-UK25_13__curric_d2_s3_seed2213_24h,200,200,1.0,2,1.4630004911040912,,,default_winner_route_replay,,,1,0.0,1,4.388995208630204,586.7313008782658,8.583881813310452,586.7313008782658,0,4,25c,2901,winner_kernel
1,1.1914211083649002,614.951488553621,10.895224410060427,614.951488553621,0,614.950725495202,naive,0,OK,models/data_bundle/generated_instances/E-UK25_13__curric_d2_s3_seed2213_24h,200,200,1.0,2,1.7715990728962148,,,default_winner_route_replay,,,1,0.0,1,1.1762630150220448,614.950725495202,10.894461351641548,614.950725495202,0,4,25c,2902,winner_kernel
2,6.720498721238222,575.1489990521275,7.016470302464248,575.1489990521275,0,575.1366096272449,naive,0,OK,models/data_bundle/generated_instances/E-UK25_13__curric_d2_s3_seed2213_24h,200,200,1.0,2,1.2178116920988673,,,default_winner_route_replay,,,2,0.0,2,6.47438380501571,575.1366096272449,7.0040808775816075,575.1366096272449,0,4,25c,2903,winner_kernel
0,0.0,1063.8652936340243,16.353255253407102,1063.8652936340243,0,1063.8652936340243,naive,0,OK,models/data_bundle/generated_instances/E-UK50_11__curric_d2_s3_seed2251_24h,200,200,1.0,1,1.5371546897207755,,,default_winner_route_replay,,,0,0.0,0,0.0,1063.8652936340243,16.353255253407102,1063.8652936340243,0,8,50c,2901,winner_kernel
0,0.0,1069.7660100937796,16.672872422484474,1069.7660100937796,0,1069.7660100937796,naive,0,OK,models/data_bundle/generated_instances/E-UK50_11__curric_d2_s3_seed2251_24h,200,200,1.0,1,1.5585532037069365,,,default_winner_route_replay,,,0,0.0,0,0.0,1069.7660100937796,16.672872422484474,1069.7660100937796,0,8,50c,2902,winner_kernel
0,0.0,1084.2279812071076,17.175431453624622,1084.2279812071076,0,1084.2279812071076,naive,0,OK,models/data_bundle/generated_instances/E-UK50_11__curric_d2_s3_seed2251_24h,200,200,1.0,1,1.5841162330548446,,,default_winner_route_replay,,,0,0.0,0,0.0,1084.2279812071076,17.175431453624622,1084.2279812071076,0,8,50c,2903,winner_kernel
0,0.0,939.3364871253833,14.67736629211735,939.3364871253833,0,939.3364871253833,naive,0,OK,models/data_bundle/generated_instances/E-UK50_12__curric_d2_s3_seed2252_24h,200,200,1.0,1,1.5625248772177425,,,default_winner_route_replay,,,0,0.0,0,0.0,939.3364871253833,14.67736629211735,939.3364871253833,0,7,50c,2901,winner_kernel
0,0.0,949.5167535065365,15.061511677565381,949.5167535065365,0,949.5167535065365,naive,0,OK,models/data_bundle/generated_instances/E-UK50_12__curric_d2_s3_seed2252_24h,200,200,1.0,1,1.5862291657249519,,,default_winner_route_replay,,,0,0.0,0,0.0,949.5167535065365,15.061511677565381,949.5167535065365,0,7,50c,2902,winner_kernel
0,0.0,936.9810617253971,14.560034535770379,936.9810617253971,0,936.9810617253971,naive,0,OK,models/data_bundle/generated_instances/E-UK50_12__curric_d2_s3_seed2252_24h,200,200,1.0,1,1.5539305040977998,,,default_winner_route_replay,,,0,0.0,0,0.0,936.9810617253971,14.560034535770379,936.9810617253971,0,7,50c,2903,winner_kernel
2,4.342790287722455,1292.4846550756401,189.67773077677995,1292.4846550756401,0,1292.4846550756401,aware,0,OK,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,200,200,1.0,2,14.693713453878326,10.0,True,ev_heavy_diagnostic_only,10,15,1,0.021423593756682534,2,4.892961117675187,1292.7616110714384,189.95468677257816,1292.7616110714384,0,6,25c,2999,ev_heavy_initial_solution
