aware_charging_actions,aware_charging_carbon_kg,aware_cost,aware_cost_carbon,aware_total_cost,aware_violation_count,best_aware_cost,best_aware_policy,best_aware_violation_count,budget_status,bundle,candidate_evaluate_count,candidate_evaluate_floor,candidate_evaluate_floor_ratio,candidate_unique_count,carbon_cost_share_pct,carbon_intensity_amplitude_factor,carbon_price_factor,customer_count,cv_vehicle_cap,diagnostic_role,ev_route_count,ev_vehicle_cap,ev_vehicle_factor,improvement_pct,naive_charging_actions,naive_charging_carbon_kg,naive_cost,naive_cost_carbon,naive_total_cost,naive_violation_count,route_count,scale,seed,source,verdict_role
1,0.035999762523921224,730.5053359339361,55.093351729287484,730.5053359339361,0,730.5053359339361,aware,0,OK,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,200,200,1.0,2,7.542075291207112,1.0,5.0,25,10,scenario_knob_carbon_share_only,1,15,1.5,0.00028289594795898493,1,0.04421023467849991,730.5074025097773,55.095418305128796,730.5074025097773,0,5,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.0,730.4962747937087,55.08429058906022,730.4962747937087,0,730.4962747937087,aware,0,OK,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,200,200,1.0,2,7.540925895193153,2.0,5.0,25,10,scenario_knob_carbon_share_only,1,15,1.5,0.0002801490533536808,1,0.00813064811974238,730.4983212778405,55.08633707319195,730.4983212778405,0,5,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.05814479188058918,785.6098354710017,110.19785126635311,785.6098354710017,0,785.6098354710017,aware,0,OK,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,200,200,1.0,2,14.02727193351809,0.5,10.0,25,10,scenario_knob_carbon_share_only,1,15,1.5,0.00026305302094536883,1,0.06225002795787867,785.6119020468429,110.19991784219442,785.6119020468429,0,5,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.035999762523921224,785.5986876632235,110.18670345857497,785.5986876632235,0,785.5986876632235,aware,0,OK,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,200,200,1.0,2,14.026278125625439,1.0,10.0,25,10,scenario_knob_carbon_share_only,1,15,1.5,0.0005261121234800605,1,0.04421023467849991,785.6028208149062,110.19083661025759,785.6028208149062,0,5,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.0,785.580565382769,110.16858117812043,785.580565382769,0,785.580565382769,aware,0,OK,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,200,200,1.0,2,14.024290440910583,2.0,10.0,25,10,scenario_knob_carbon_share_only,1,15,1.5,0.0005210091897686366,1,0.00813064811974238,785.5846583510324,110.1726741463839,785.5846583510324,0,5,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.05814479188058918,686.4317693312838,11.01978512663531,686.4317693312838,0,686.4317693312838,aware,0,OK,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,200,200,1.0,2,1.6054018707890374,0.5,1.0,25,10,scenario_knob_carbon_share_only,1,20,2.0,3.0106054406987104e-05,1,0.06225002795787867,686.431975988868,11.019991784219442,686.431975988868,0,5,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.035999762523921224,686.430654550506,11.018670345857496,686.430654550506,0,686.430654550506,aware,0,OK,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,200,200,1.0,2,1.6052716983349085,1.0,1.0,25,10,scenario_knob_carbon_share_only,1,20,2.0,6.0212188472391664e-05,1,0.04421023467849991,686.4310678656743,11.019083661025759,686.4310678656743,0,5,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.0,686.4288423224606,11.016858117812042,686.4288423224606,0,686.4288423224606,aware,0,OK,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,200,200,1.0,2,1.605011352393368,2.0,1.0,25,10,scenario_knob_carbon_share_only,1,20,2.0,5.962694995207064e-05,1,0.00813064811974238,686.4292516192869,11.01726741463839,686.4292516192869,0,5,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.05814479188058918,730.5109098378251,55.098925633176556,730.5109098378251,0,730.5109098378251,aware,0,OK,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,200,200,1.0,2,7.542649978497702,0.5,5.0,25,10,scenario_knob_carbon_share_only,1,20,2.0,0.0001414470947943524,1,0.06225002795787867,730.5119431257458,55.09995892109721,730.5119431257458,0,5,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.035999762523921224,730.5053359339361,55.093351729287484,730.5053359339361,0,730.5053359339361,aware,0,OK,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,200,200,1.0,2,7.542075291207112,1.0,5.0,25,10,scenario_knob_carbon_share_only,1,20,2.0,0.00028289594795898493,1,0.04421023467849991,730.5074025097773,55.095418305128796,730.5074025097773,0,5,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.0,730.4962747937087,55.08429058906022,730.4962747937087,0,730.4962747937087,aware,0,OK,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,200,200,1.0,2,7.540925895193153,2.0,5.0,25,10,scenario_knob_carbon_share_only,1,20,2.0,0.0002801490533536808,1,0.00813064811974238,730.4983212778405,55.08633707319195,730.4983212778405,0,5,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.05814479188058918,785.6098354710017,110.19785126635311,785.6098354710017,0,785.6098354710017,aware,0,OK,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,200,200,1.0,2,14.02727193351809,0.5,10.0,25,10,scenario_knob_carbon_share_only,1,20,2.0,0.00026305302094536883,1,0.06225002795787867,785.6119020468429,110.19991784219442,785.6119020468429,0,5,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.035999762523921224,785.5986876632235,110.18670345857497,785.5986876632235,0,785.5986876632235,aware,0,OK,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,200,200,1.0,2,14.026278125625439,1.0,10.0,25,10,scenario_knob_carbon_share_only,1,20,2.0,0.0005261121234800605,1,0.04421023467849991,785.6028208149062,110.19083661025759,785.6028208149062,0,5,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.0,785.580565382769,110.16858117812043,785.580565382769,0,785.580565382769,aware,0,OK,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,200,200,1.0,2,14.024290440910583,2.0,10.0,25,10,scenario_knob_carbon_share_only,1,20,2.0,0.0005210091897686366,1,0.00813064811974238,785.5846583510324,110.1726741463839,785.5846583510324,0,5,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
