actual_evals,algorithm,best_obj,budget_label,budget_status,budget_steps,bundle,candidate_k,candidate_k_evaluated,candidate_scores,control_mode,current_obj,eval_floor,eval_floor_ratio,evidence_role,oracle_candidate_evals,oracle_eval_overhead_vs_operator,probe_mode,scale,seed,source_track,stage,steps,target_steps,trace_destroy_id,trace_repair_id,track,violation_count,wall_floor_ratio,wall_floor_seconds,wall_time_seconds,worker_integrity_ok,worker_numpy_version,worker_python_executable
4000,operator_select,579.7220266265837,25c_4000,OK,4000,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,,0,4000,block_ppo,579.7839958961408,4000,1.0,DESTROY_LEVERAGE_GATE,4000,0,equal_steps_oracle,25c,1201,track22r_reannotated,A,4000,4000,random_customer_removal,greedy_insert_repair,track23,0,2.910416666666667,60.0,174.625,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
4000,worst_removal_fixed,582.9831877127783,25c_4000,OK,4000,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,,0,4000,block_ppo,583.5186204739942,4000,1.0,DESTROY_LEVERAGE_GATE,4000,0,equal_steps_oracle,25c,1201,track22r_reannotated,A,4000,4000,random_customer_removal,regret3_insert_repair,track23,0,2.8619833333340163,60.0,171.71900000004098,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
32000,best_of_k_destroy,579.5106541311238,25c_4000,OK,4000,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,4,4,32000,best_of_k_destroy,579.5106541311238,4000,8.0,DESTROY_LEVERAGE_GATE,16000,28000,equal_steps_oracle,25c,1201,track22r_reannotated,A,4000,4000,best_of_k_destroy,greedy_insert_repair,track23,0,11.386716666666326,60.0,683.2029999999795,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
4000,operator_select,579.5106541311238,25c_4000,OK,4000,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,,0,4000,block_ppo,579.7725982199252,4000,1.0,DESTROY_LEVERAGE_GATE,4000,0,equal_steps_oracle,25c,1202,track22r_reannotated,A,4000,4000,route_segment_removal,regret3_insert_repair,track23,0,1.1656166666691812,60.0,69.93700000015087,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
4000,worst_removal_fixed,581.4923590697979,25c_4000,OK,4000,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,,0,4000,block_ppo,581.4923590697979,4000,1.0,DESTROY_LEVERAGE_GATE,4000,0,equal_steps_oracle,25c,1202,track22r_reannotated,A,4000,4000,route_segment_removal,greedy_insert_repair,track23,0,1.4791666666666667,60.0,88.75,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
32000,best_of_k_destroy,579.5106541311238,25c_4000,OK,4000,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,4,4,32000,best_of_k_destroy,579.5106541311238,4000,8.0,DESTROY_LEVERAGE_GATE,16000,28000,equal_steps_oracle,25c,1202,track22r_reannotated,A,4000,4000,best_of_k_destroy,greedy_insert_repair,track23,0,11.6625,60.0,699.75,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
4000,operator_select,579.5106541311238,25c_4000,OK,4000,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,,0,4000,block_ppo,579.5106541311238,4000,1.0,DESTROY_LEVERAGE_GATE,4000,0,equal_steps_oracle,25c,1203,track22r_reannotated,A,4000,4000,random_customer_removal,regret3_insert_repair,track23,0,2.9690166666638107,60.0,178.14099999982864,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
4000,worst_removal_fixed,581.3326746406121,25c_4000,OK,4000,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,,0,4000,block_ppo,581.7177716788032,4000,1.0,DESTROY_LEVERAGE_GATE,4000,0,equal_steps_oracle,25c,1203,track22r_reannotated,A,4000,4000,route_segment_removal,greedy_insert_repair,track23,0,3.199216666666325,60.0,191.9529999999795,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
32000,best_of_k_destroy,576.2494930449293,25c_4000,OK,4000,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,4,4,32000,best_of_k_destroy,576.2494930449293,4000,8.0,DESTROY_LEVERAGE_GATE,16000,28000,equal_steps_oracle,25c,1203,track22r_reannotated,A,4000,4000,best_of_k_destroy,greedy_insert_repair,track23,0,11.48880000000354,60.0,689.3280000002123,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
4000,operator_select,467.5256803986928,25c_4000,OK,4000,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,,0,4000,block_ppo,470.27542522662725,4000,1.0,DESTROY_LEVERAGE_GATE,4000,0,equal_steps_oracle,25c,1201,track22r_reannotated,A,4000,4000,route_segment_removal,regret3_insert_repair,track23,0,0.8492166666663252,60.0,50.95299999997951,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
250,operator_select,600.2390707798664,25c_250,OK,250,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,,0,250,block_ppo,601.6515132739744,250,1.0,DESTROY_LEVERAGE_GATE,250,0,equal_steps_oracle,25c,1201,,A,250,250,random_customer_removal,greedy_insert_repair,track23,0,0.19608333333550643,60.0,11.765000000130385,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
250,worst_removal_fixed,594.2390200202592,25c_250,OK,250,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,,0,250,block_ppo,595.023994772204,250,1.0,DESTROY_LEVERAGE_GATE,250,0,equal_steps_oracle,25c,1201,,A,250,250,random_customer_removal,greedy_insert_repair,track23,0,0.13411666666700814,60.0,8.047000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
2000,best_of_k_destroy,579.5106541311238,25c_250,OK,250,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,4,4,2000,best_of_k_destroy,579.5106541311238,250,8.0,DESTROY_LEVERAGE_GATE,1000,1750,equal_steps_oracle,25c,1201,,A,250,250,best_of_k_destroy,greedy_insert_repair,track23,0,0.8682333333301357,60.0,52.09399999980815,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
250,operator_select,579.5106541311238,25c_250,OK,250,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,,0,250,block_ppo,579.7725982199252,250,1.0,DESTROY_LEVERAGE_GATE,250,0,equal_steps_oracle,25c,1202,,A,250,250,random_customer_removal,regret2_insert_repair,track23,0,0.22526666666769113,60.0,13.516000000061467,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
