actual_evals,algorithm,best_obj,bundle,bundle_role,candidate_scores,checkpoint_update,control_mode,destroy_counts,elapsed_seconds,eval_budget,eval_mode,feasible,meta_exploration_ratio,meta_q_ratio,meta_threshold_ratio,model_label,model_path,obs_dim,operator_base_id,operator_counts,q_ratio_counts,repair_counts,repair_delta_count,runtime_target_seconds,seed,selection_mode,solution_signature_hash,stage,track,violation_count,worker_numpy_version,worker_python_executable,worker_python_version
3000,ppo_block_best_24d,2581.7762387697135,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,3000,22,block_ppo,"{'random_customer_removal': 6, 'vehicle_type_swap': 84, 'whole_route_removal': 2, 'route_segment_removal': 1, 'shaw_related_removal': 1}",293.48048879997805,3000,budget,True,,,,best_val_24d,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/best_val_async_block_ppo.pt,24,winner_kernel_v1,{},"{'0.400000': 68, '0.230000': 26}","{'regret2_insert_repair': 9, 'greedy_insert_repair': 84, 'regret3_insert_repair': 1}",1457350,0.0,1,,11ee5f9b54eb5001732bba730e8e20f045739b2e4b85c16aa38166410349bb4b,C,track23,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
3000,alpha_ucb_block,3043.6136033313696,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,3000,-1,block_ppo,"{'route_segment_removal': 85, 'vehicle_type_swap': 3, 'random_customer_removal': 6}",50.27235700003803,3000,budget,True,,,,,,,winner_kernel_v1,{},{'0.160000': 94},"{'regret2_insert_repair': 85, 'greedy_insert_repair': 9}",174413,0.0,1,,990ca165944ec598d9dba30cb1a73e7bda516651977570049398bcf1bb959c99,C,track23,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
3000,best_static_meta,2500.6120430719866,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,3000,,block_ppo,"{'random_customer_removal': 26, 'whole_route_removal': 4, 'vehicle_type_swap': 4, 'route_segment_removal': 57, 'shaw_related_removal': 2, 'worst_customer_removal': 1}",1204.4866879999172,3000,budget,True,0.15,0.4,0.0025,best_static_meta,,,winner_kernel_v1,{},{'0.400000': 94},"{'regret2_insert_repair': 20, 'greedy_insert_repair': 7, 'regret3_insert_repair': 67}",6111117,0.0,1,alpha_ucb_meta,e4589716060e236ea0f46c52cf565621367fb0fd5f9f6f70f77e9046dbfaebe4,C,track23,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
3000,official_winner_kernel,2625.5741309337704,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,3000,-1,official_kernel,{},173.68394190003164,3000,budget,True,,,,,,,winner_kernel_v1,{},{},{},0,0.0,1,,ba8c05e5d9eb5ccc92b1a2722dbdc5eab267825c21e5ed9878445091a2d1487b,C,track23,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
3000,ppo_block_best_24d,2471.267061358115,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,3000,22,block_ppo,"{'random_customer_removal': 45, 'worst_customer_removal': 1, 'whole_route_removal': 2, 'shaw_related_removal': 2, 'route_segment_removal': 2, 'vehicle_type_swap': 42}",1445.0040877999272,3000,budget,True,,,,best_val_24d,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/best_val_async_block_ppo.pt,24,winner_kernel_v1,{},"{'0.400000': 54, '0.230000': 40}","{'regret3_insert_repair': 45, 'regret2_insert_repair': 4, 'greedy_insert_repair': 45}",8330037,0.0,2,,a717e46e4219b1686d365a31108042095c4bb3bd7083ab9a1adfc6b1371df3bb,C,track23,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
3000,alpha_ucb_block,2564.760172560755,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,3000,-1,block_ppo,{'random_customer_removal': 94},377.98809219989926,3000,budget,True,,,,,,,winner_kernel_v1,{},{'0.160000': 94},{'regret2_insert_repair': 94},2454378,0.0,2,,1b4de396e59009ee4c796488680962af47e7ccbeee3b14648029be1854b3bb0f,C,track23,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
3000,best_static_meta,2538.6138527938906,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,3000,,block_ppo,"{'random_customer_removal': 9, 'shaw_related_removal': 3, 'vehicle_type_swap': 75, 'worst_customer_removal': 5, 'route_segment_removal': 2}",416.0824974998832,3000,budget,True,0.15,0.4,0.0025,best_static_meta,,,winner_kernel_v1,{},{'0.400000': 94},"{'regret2_insert_repair': 16, 'greedy_insert_repair': 75, 'regret3_insert_repair': 3}",2359942,0.0,2,alpha_ucb_meta,f30f3ec09348040921fa7264b87c095a1035e380c9736b3385412ee39f626549,C,track23,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
3000,official_winner_kernel,2962.3793928526775,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,3000,-1,official_kernel,{},26.043227000162005,3000,budget,True,,,,,,,winner_kernel_v1,{},{},{},0,0.0,2,,ce32ec5ac8da4ad2befe3f22dae92c9728fd108569b0e2d707ce4c082c51bea5,C,track23,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
3000,ppo_block_best_24d,2610.343820486229,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,3000,22,block_ppo,"{'random_customer_removal': 6, 'whole_route_removal': 3, 'route_segment_removal': 1, 'vehicle_type_swap': 84}",190.07198869995773,3000,budget,True,,,,best_val_24d,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/best_val_async_block_ppo.pt,24,winner_kernel_v1,{},"{'0.400000': 68, '0.230000': 26}","{'regret2_insert_repair': 6, 'regret3_insert_repair': 4, 'greedy_insert_repair': 84}",1097461,0.0,3,,6225f2f33bd07408e335b5cedbe3b34ec70434dcd36bcf02c8e5e5e7b2a30085,C,track23,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
3000,alpha_ucb_block,2518.0733479451183,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,3000,-1,block_ppo,"{'random_customer_removal': 91, 'worst_customer_removal': 1, 'vehicle_type_swap': 2}",377.29952729982324,3000,budget,True,,,,,,,winner_kernel_v1,{},{'0.160000': 94},"{'regret2_insert_repair': 92, 'greedy_insert_repair': 2}",2159250,0.0,3,,10acfb632dfa6e15cbd79d7fdda3435b9a5c32b6a498d750c91d8222736ce627,C,track23,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
