actual_eval_fraction,actual_evals,algorithm,best_obj,bundle,bundle_role,candidate_generator_mode,candidate_nondefault_count,candidate_scores,checkpoint_update,control_mode,destroy_counts,elapsed_seconds,eval_budget,eval_mode,feasible,meta_exploration_ratio,meta_q_ratio,meta_threshold_ratio,model_label,operator_base_id,operator_counts,q_ratio_counts,repair_counts,repair_delta_count,runtime_target_seconds,scale,search_control_mode,search_noncontinue_count,seed,selection_mode,selection_subset,sidecar_source,solution_signature_hash,stage,stop_requested_count,track,violation_count,worker_numpy_version,worker_python_executable,worker_python_version
,3000,alpha_ucb_block,3043.6136033313696,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,,,3000,-1,block_ppo,"{'route_segment_removal': 85, 'vehicle_type_swap': 3, 'random_customer_removal': 6}",50.27235700003803,3000,budget,True,,,,,winner_kernel_v1,{},{'0.160000': 94},"{'regret2_insert_repair': 85, 'greedy_insert_repair': 9}",174413,0.0,,,,1,,,stage_c24_baseline_copy,990ca165944ec598d9dba30cb1a73e7bda516651977570049398bcf1bb959c99,C_pilot16_reval,,track23_d2,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
,3000,best_static_meta,2500.6120430719866,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,,,3000,,block_ppo,"{'random_customer_removal': 26, 'whole_route_removal': 4, 'vehicle_type_swap': 4, 'route_segment_removal': 57, 'shaw_related_removal': 2, 'worst_customer_removal': 1}",1204.4866879999172,3000,budget,True,0.15,0.4,0.0025,best_static_meta,winner_kernel_v1,{},{'0.400000': 94},"{'regret2_insert_repair': 20, 'greedy_insert_repair': 7, 'regret3_insert_repair': 67}",6111117,0.0,,,,1,alpha_ucb_meta,,stage_c24_baseline_copy,e4589716060e236ea0f46c52cf565621367fb0fd5f9f6f70f77e9046dbfaebe4,C_pilot16_reval,,track23_d2,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
,3000,official_winner_kernel,2625.5741309337704,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,,,3000,-1,official_kernel,{},173.68394190003164,3000,budget,True,,,,,winner_kernel_v1,{},{},{},0,0.0,,,,1,,,stage_c24_baseline_copy,ba8c05e5d9eb5ccc92b1a2722dbdc5eab267825c21e5ed9878445091a2d1487b,C_pilot16_reval,,track23_d2,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
,3000,alpha_ucb_block,2564.760172560755,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,,,3000,-1,block_ppo,{'random_customer_removal': 94},377.98809219989926,3000,budget,True,,,,,winner_kernel_v1,{},{'0.160000': 94},{'regret2_insert_repair': 94},2454378,0.0,,,,2,,,stage_c24_baseline_copy,1b4de396e59009ee4c796488680962af47e7ccbeee3b14648029be1854b3bb0f,C_pilot16_reval,,track23_d2,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
,3000,best_static_meta,2538.6138527938906,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,,,3000,,block_ppo,"{'random_customer_removal': 9, 'shaw_related_removal': 3, 'vehicle_type_swap': 75, 'worst_customer_removal': 5, 'route_segment_removal': 2}",416.0824974998832,3000,budget,True,0.15,0.4,0.0025,best_static_meta,winner_kernel_v1,{},{'0.400000': 94},"{'regret2_insert_repair': 16, 'greedy_insert_repair': 75, 'regret3_insert_repair': 3}",2359942,0.0,,,,2,alpha_ucb_meta,,stage_c24_baseline_copy,f30f3ec09348040921fa7264b87c095a1035e380c9736b3385412ee39f626549,C_pilot16_reval,,track23_d2,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
,3000,official_winner_kernel,2962.3793928526775,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,,,3000,-1,official_kernel,{},26.043227000162005,3000,budget,True,,,,,winner_kernel_v1,{},{},{},0,0.0,,,,2,,,stage_c24_baseline_copy,ce32ec5ac8da4ad2befe3f22dae92c9728fd108569b0e2d707ce4c082c51bea5,C_pilot16_reval,,track23_d2,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
,3000,alpha_ucb_block,2518.0733479451183,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,,,3000,-1,block_ppo,"{'random_customer_removal': 91, 'worst_customer_removal': 1, 'vehicle_type_swap': 2}",377.29952729982324,3000,budget,True,,,,,winner_kernel_v1,{},{'0.160000': 94},"{'regret2_insert_repair': 92, 'greedy_insert_repair': 2}",2159250,0.0,,,,3,,,stage_c24_baseline_copy,10acfb632dfa6e15cbd79d7fdda3435b9a5c32b6a498d750c91d8222736ce627,C_pilot16_reval,,track23_d2,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
,3000,best_static_meta,2543.260433167585,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,,,3000,,block_ppo,"{'random_customer_removal': 8, 'shaw_related_removal': 2, 'route_segment_removal': 20, 'vehicle_type_swap': 60, 'whole_route_removal': 3, 'worst_customer_removal': 1}",418.5319603998214,3000,budget,True,0.15,0.4,0.0025,best_static_meta,winner_kernel_v1,{},{'0.400000': 94},"{'regret2_insert_repair': 8, 'regret3_insert_repair': 26, 'greedy_insert_repair': 60}",2287708,0.0,,,,3,alpha_ucb_meta,,stage_c24_baseline_copy,dc300a2a9446ef1730c8b784f66a93f71df9355e94bd3723abb9c8d84218f9da,C_pilot16_reval,,track23_d2,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
,3000,official_winner_kernel,2494.4982623125156,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,,,3000,-1,official_kernel,{},204.02145250001922,3000,budget,True,,,,,winner_kernel_v1,{},{},{},0,0.0,,,,3,,,stage_c24_baseline_copy,871828d3dad6ef5ef8ae38841b81431073fd51018d96eefe8f661af727f22c54,C_pilot16_reval,,track23_d2,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
,3000,alpha_ucb_block,2516.4521133418966,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,,,3000,-1,block_ppo,{'random_customer_removal': 94},470.8562261001207,3000,budget,True,,,,,winner_kernel_v1,{},{'0.160000': 94},{'regret2_insert_repair': 94},2293371,0.0,,,,4,,,stage_c24_baseline_copy,d1fd0ba0bcb505a7b995b0b6a7a686c5a678604298b8a1e58139a4fa1a92685d,C_pilot16_reval,,track23_d2,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
,3000,best_static_meta,2643.923421361072,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,,,3000,,block_ppo,"{'random_customer_removal': 15, 'vehicle_type_swap': 11, 'whole_route_removal': 63, 'route_segment_removal': 4, 'worst_customer_removal': 1}",833.7541157000232,3000,budget,True,0.15,0.4,0.0025,best_static_meta,winner_kernel_v1,{},{'0.400000': 94},"{'greedy_insert_repair': 29, 'regret3_insert_repair': 2, 'regret2_insert_repair': 63}",3846279,0.0,,,,4,alpha_ucb_meta,,stage_c24_baseline_copy,b02b774dded98caa1bdfb6be6efd67d1e465b87a5114fb0700f8607898eabd62,C_pilot16_reval,,track23_d2,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
,3000,official_winner_kernel,2561.9608337643126,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,,,3000,-1,official_kernel,{},233.1321622999385,3000,budget,True,,,,,winner_kernel_v1,{},{},{},0,0.0,,,,4,,,stage_c24_baseline_copy,74dd1dc082437736fe768bbd8efd09cace49e8bd14246c551a309d530bb54d73,C_pilot16_reval,,track23_d2,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
,3000,alpha_ucb_block,2567.8057263812498,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,E-UK100_01,,,3000,-1,block_ppo,"{'random_customer_removal': 88, 'worst_customer_removal': 1, 'whole_route_removal': 1, 'vehicle_type_swap': 3, 'shaw_related_removal': 1}",422.2897947002202,3000,budget,True,,,,,winner_kernel_v1,{},{'0.160000': 94},"{'greedy_insert_repair': 91, 'regret2_insert_repair': 2, 'regret3_insert_repair': 1}",2211983,0.0,,,,5,,,stage_c24_baseline_copy,7c7929b907044a70d4852e8257e5216846ac67222e28bf6fc91ff99903b5711d,C_pilot16_reval,,track23_d2,0,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]"
