category,instance,size,battery_kwh,seed_source,attempt_order,route_id,route_customer_count,cost_before,cost_after,cost_delta,cost_delta_pct,ev_share_before,ev_share_after,charging_actions_after,feasible,accepted,failure_reason,failure_detail
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,1,CV1#T1,8,5803.553350198798,5747.91416610968,-55.63918408911832,-0.9587089276471013,0.045454545454545456,0.09090909090909091,2,True,True,ACCEPTED,
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,2,CV2#T1,9,5803.553350198798,inf,inf,inf,0.045454545454545456,nan,0,False,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_AUDIT_2 at D0
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,3,CV3#T1,9,5803.553350198798,inf,inf,inf,0.045454545454545456,nan,0,False,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_AUDIT_3 at D0
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,4,CV4#T1,9,5803.553350198798,inf,inf,inf,0.045454545454545456,nan,0,False,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_AUDIT_4 at D0
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,5,CV5#T1,8,5803.553350198798,inf,inf,inf,0.045454545454545456,nan,0,False,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_AUDIT_5 at D0
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,6,CV6#T1,8,5803.553350198798,5734.386394113579,-69.16695608521968,-1.191803571218147,0.045454545454545456,0.09090909090909091,2,True,True,ACCEPTED,
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,7,CV7#T1,7,5803.553350198798,inf,inf,inf,0.045454545454545456,nan,0,False,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_AUDIT_7 at D0
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,8,CV8#T1,8,5803.553350198798,inf,inf,inf,0.045454545454545456,nan,0,False,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_AUDIT_8 at D0
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,9,CV9#T1,6,5803.553350198798,5733.056822441045,-70.49652775775303,-1.214713185247762,0.045454545454545456,0.09090909090909091,2,True,True,ACCEPTED,
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,10,CV10#T1,7,5803.553350198798,5772.507748321202,-31.04560187759671,-0.5349412679480797,0.045454545454545456,0.09090909090909091,2,True,True,ACCEPTED,
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,11,CV1#T2,5,5803.553350198798,5760.638221923276,-42.915128275521965,-0.7394629752830983,0.045454545454545456,0.09090909090909091,2,True,True,ACCEPTED,
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,12,CV2#T2,9,5803.553350198798,inf,inf,inf,0.045454545454545456,nan,0,False,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_AUDIT_12 at D1
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,13,CV3#T2,6,5803.553350198798,5765.447311608856,-38.10603858994273,-0.6565984025741302,0.045454545454545456,0.09090909090909091,2,True,True,ACCEPTED,
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,14,CV4#T2,9,5803.553350198798,5760.886169226492,-42.667180972306596,-0.7351906392114936,0.045454545454545456,0.09090909090909091,2,True,True,ACCEPTED,
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,15,CV5#T2,11,5803.553350198798,5756.840752662188,-46.7125975366107,-0.8048964956100659,0.045454545454545456,0.09090909090909091,2,True,True,ACCEPTED,
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,16,CV6#T2,7,5803.553350198798,5754.2044385732115,-49.34891162558688,-0.8503223568005359,0.045454545454545456,0.09090909090909091,2,True,True,ACCEPTED,
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,17,CV7#T2,6,5803.553350198798,5762.057442807908,-41.49590739089035,-0.7150086315561988,0.045454545454545456,0.09090909090909091,2,True,True,ACCEPTED,
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,18,CV8#T2,6,5803.553350198798,5755.79942113429,-47.753929064508156,-0.8228394947531992,0.045454545454545456,0.09090909090909091,2,True,True,ACCEPTED,
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,19,CV9#T2,6,5803.553350198798,5762.076564569083,-41.47678562971578,-0.714679147875758,0.045454545454545456,0.09090909090909091,2,True,True,ACCEPTED,
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,20,CV10#T2,4,5803.553350198798,5774.490946524285,-29.062403674513007,-0.5007691309242033,0.045454545454545456,0.09090909090909091,2,True,True,ACCEPTED,
threeshift,e2-threeshift-150c-01,150,280.0,rebuilt_make_shared_initial_solution,21,CV1#T3,1,5803.553350198798,5780.232273823075,-23.32107637572335,-0.4018413369961438,0.045454545454545456,0.09090909090909091,2,True,True,ACCEPTED,
