condition,instance,mean_no_loss_min_profit_ratio,mean_no_loss_saving_pct,mean_participation_cost_pct_points,mean_unrestricted_min_profit_ratio,mean_unrestricted_saving_pct,seed_count,unrestricted_natural_participation_count
geographic,L-main-threeshift-100c-01,1.0071527472857025,3.2268446441867056,0.0,1.0071527472857025,3.2268446441867056,3,3
mixed,L-main-threeshift-100c-01,1.0673114081026007,11.80137159025444,2.185158449250108,1.057563319982101,13.986530039504549,3,2
geographic,L-main-threeshift-10c-01,1.0000830303021637,2.7273246060417162,7.0576230854104764,0.8577814656000534,9.784947691452194,3,0
mixed,L-main-threeshift-10c-01,1.0339486841091263,18.893209249517216,2.3665062946528,0.8253782675698266,21.259715544170014,3,0
geographic,L-main-threeshift-150c-01,1.0124026830711639,5.494638009533298,0.5658757442650546,1.0040550333561673,6.060513753798353,3,2
mixed,L-main-threeshift-150c-01,1.0388273606093892,13.012480983970582,0.9717585497352865,0.9917761275207239,13.984239533705868,3,2
geographic,L-main-threeshift-15c-01,1.0,0.0,0.7469351897634956,0.9961772582739427,0.7469351897634956,3,0
mixed,L-main-threeshift-15c-01,1.1451334682090664,24.635056430050497,1.5085251121795908,1.08532334724282,26.143581542230084,3,2
geographic,L-main-threeshift-200c-01,1.0095394227371928,3.0447971912812086,0.0,1.0095394227371928,3.0447971912812086,3,3
mixed,L-main-threeshift-200c-01,1.140990825682215,20.50706523230914,0.0,1.140990825682215,20.50706523230914,3,3
geographic,L-main-threeshift-20c-01,1.0097085293855819,3.2962822571679897,4.867377724909428,0.8895200481800116,8.163659982077418,3,1
mixed,L-main-threeshift-20c-01,1.0840743604268896,14.91946343776806,3.525391436756078,1.022790189943792,18.44485487452414,3,2
geographic,L-main-threeshift-25c-01,1.000985245767157,0.6972702743122996,3.594143480495618,0.9401336976167317,4.291413754807917,3,0
mixed,L-main-threeshift-25c-01,1.0375305466606284,15.60970490589679,1.2979728339079721,0.989810160489781,16.907677739804758,3,2
geographic,L-main-threeshift-50c-01,1.0001947895463799,0.6461199783783645,0.0,1.0001947895463799,0.6461199783783645,3,3
mixed,L-main-threeshift-50c-01,1.0420002074862451,14.684347439884496,1.269533899401443,1.0013068336752662,15.95388133928594,3,2
geographic,L-main-threeshift-75c-01,1.0134051537448001,4.384934502563083,0.34309910725804027,1.0132416292460644,4.728033609821123,3,2
mixed,L-main-threeshift-75c-01,1.0655892306936032,15.24495711981993,3.396928837409589,1.0391307404023855,18.641885957229515,3,2
