condition,independent_total_cost,instance,no_loss_adopted_source,no_loss_both_depots_no_worse,no_loss_cross_site_customer_count,no_loss_minimum_profit_ratio,no_loss_saving_vs_independent_pct,no_loss_search_total_cost,no_loss_total_cost,participation_cost_pct_points,seed,spec_id,unrestricted_adopted_source,unrestricted_both_depots_no_worse,unrestricted_cross_site_customer_count,unrestricted_minimum_profit_ratio,unrestricted_saving_vs_independent_pct,unrestricted_search_total_cost,unrestricted_total_cost
geographic,802.7698232969974,L-main-threeshift-10c-01,independent,True,0,1.0,0.0,802.7698232969974,802.7698232969974,9.336633322710417,1,L-main-threeshift-10c-01__geographic__seed1,unrestricted,False,2,0.8567723093589141,9.336633322710417,727.8181484703864,727.8181484703864
geographic,785.536035457712,L-main-threeshift-10c-01,no_loss,True,2,1.000249090906491,8.18197381812515,721.2636827046238,721.2636827046238,3.3868847779311975,2,L-main-threeshift-10c-01__geographic__seed2,unrestricted,False,3,0.8801077317581487,11.568858596056346,694.6584822945423,694.6584822945423
geographic,789.5932138082735,L-main-threeshift-10c-01,independent,True,0,1.0,0.0,789.5932138082735,789.5932138082735,8.449351155589815,3,L-main-threeshift-10c-01__geographic__seed3,unrestricted,False,2,0.8364643556830976,8.449351155589815,722.8777104729054,722.8777104729054
mixed,883.6004200070599,L-main-threeshift-10c-01,no_loss,True,6,1.037240721273756,18.710829638442867,718.2714507349733,718.2714507349733,1.8233663629267587,1,L-main-threeshift-10c-01__mixed__seed1,unrestricted,False,7,0.6687747771943073,20.534196001369626,702.160177893885,702.160177893885
mixed,901.7651438145656,L-main-threeshift-10c-01,no_loss,True,6,1.0371143114302608,20.01646020009166,721.2636827046238,721.2636827046238,2.256663878737838,2,L-main-threeshift-10c-01__mixed__seed2,unrestricted,False,6,0.9032824323398098,22.273124078829497,700.9138744331121,700.9138744331121
mixed,875.4319531338192,L-main-threeshift-10c-01,no_loss,True,6,1.0274910196233624,17.952337910017118,718.2714507349733,718.2714507349733,3.0194886422938034,3,L-main-threeshift-10c-01__mixed__seed3,unrestricted,False,7,0.9040775931753626,20.97182655231092,691.8378823390868,691.8378823390868
geographic,966.675238855624,L-main-threeshift-15c-01,independent,True,0,1.0,0.0,966.675238855624,966.675238855624,0.963179180580142,1,L-main-threeshift-15c-01__geographic__seed1,unrestricted,False,2,0.9983902295432238,0.963179180580142,957.3644242111433,957.3644242111433
geographic,966.675238855624,L-main-threeshift-15c-01,independent,True,0,1.0,0.0,966.675238855624,966.675238855624,0.963179180580142,2,L-main-threeshift-15c-01__geographic__seed2,unrestricted,False,2,0.9983902295432238,0.963179180580142,957.3644242111433,957.3644242111433
geographic,960.3843259112914,L-main-threeshift-15c-01,independent,True,0,1.0,0.0,960.3843259112914,960.3843259112914,0.31444720813020294,3,L-main-threeshift-15c-01__geographic__seed3,unrestricted,False,2,0.9917513157353804,0.31444720813020294,957.3644242111433,957.3644242111433
mixed,1287.6923987176747,L-main-threeshift-15c-01,no_loss,True,14,1.2006247648974893,26.9250134324026,940.9810473949135,940.9810473949135,0.0,1,L-main-threeshift-15c-01__mixed__seed1,no_loss,True,14,1.2006247648974893,26.9250134324026,957.3644242111433,940.9810473949135
mixed,1281.4589539865915,L-main-threeshift-15c-01,no_loss,True,9,1.1632972333418448,19.952229076776884,1025.779327962318,1025.779327962318,4.525575336538773,2,L-main-threeshift-15c-01__mixed__seed2,unrestricted,False,15,0.9838668704431057,24.477804413315656,967.785937592833,967.785937592833
