run_id,fee,total_cost,search_total_cost,independent_concat_total_cost,search_cross_site_customer_count,min_profit_ratio,cooperation_story_win,adopted_source
E3__200c__M5__seed1__fee0__eval200,0.0,13289.174841069604,13289.174841069604,13295.648876967509,0,1.0002488815650232,False,cooperative_search
E3__200c__M5__seed1__fee95__eval200,95.0,13289.174841069604,13289.174841069604,13295.648876967509,0,1.0002488815650232,False,cooperative_search
