arm,run_id,depot_id,revenue,cost_fixed,cost_km,cost_fuel,cost_electricity,cost_occupancy,cost_transship,cost_carbon,cost_total,profit,customers_served,demand_kg,emissions_kg,cv_direct_emissions_kg,ev_indirect_emissions_kg,depot_charging_kwh,station_charging_kwh
independent,E3__200c__M0__seed1__fee0__eval200,D0,19988.65224,2480.0,2660.315143508214,1301.4691821307301,371.4006261410282,0.0,0.0,0.0,6813.184951779973,13175.467288220027,230,105559.0,2563.4314121790176,2334.689137398175,228.74227478084265,2004.32070232611,0.0
independent,E3__200c__M0__seed1__fee0__eval200,D1,18192.38328,2240.0,2420.958959418259,1263.5347423670703,306.09198856450683,0.0,0.0,0.0,6230.585690349836,11961.797589650163,219,96073.0,2440.1092083553344,2266.6390247520144,173.47018360331998,1651.8725772504415,0.0
fair_adopted,E3__200c__M5__seed1__fee0__eval200,D0,19988.65224,2480.0,2660.315143508214,1301.4691821307301,371.4006261410282,0.0,0.0,125.51560090447313,6938.700552684446,13049.951687315553,230,105559.0,2493.357189202883,2334.689137398175,158.66805180470834,2004.32070232611,0.0
fair_adopted,E3__200c__M5__seed1__fee0__eval200,D1,18192.38328,2240.0,2420.958959418259,1263.5347423670703,306.09198856450683,0.0,0.0,119.88859803532083,6350.474288385157,11841.90899161484,219,96073.0,2381.5772355049826,2266.6390247520144,114.93821075296802,1651.8725772504415,0.0
