run_id,layer,fee,physical_cv,physical_ev,physical_total,trip_count,vehicle_work_hours,between_trip_gap_hours,max_trips_per_vehicle,depot_vehicle_counts_json
E3__200c__M0__seed1__fee0__eval200,M0,0.0,14,14,28,59,428.21447572683195,154.88640896726145,3,"{""D0"": {""cv"": 7, ""ev"": 7}, ""D1"": {""cv"": 7, ""ev"": 7}}"
E3__200c__M1__seed1__fee0__eval200,M1,0.0,14,14,28,59,427.5705766999283,152.06732529370072,3,"{""D0"": {""cv"": 7, ""ev"": 7}, ""D1"": {""cv"": 7, ""ev"": 7}}"
E3__200c__M5__seed1__fee0__eval200,M5,0.0,14,14,28,59,428.21447572683195,154.88640896726145,3,"{""D0"": {""cv"": 7, ""ev"": 7}, ""D1"": {""cv"": 7, ""ev"": 7}}"
E3__200c__M5__seed1__fee95__eval200,M5,95.0,14,14,28,59,428.21447572683195,154.88640896726145,3,"{""D0"": {""cv"": 7, ""ev"": 7}, ""D1"": {""cv"": 7, ""ev"": 7}}"
