all_cv_winner_count,all_cv_winner_share,best_gap_pct_alns_minus_lns,category,mean_gap_pct_alns_minus_lns,mean_winner_ev_route_share,paired_winner_counts,pairs,size
0,0.0,-28.78478518398367,vanilla,-9.641941287008827,0.5,"{""alns"": 4, ""tie"": 5}",9,10
6,0.6666666666666666,0.0,vanilla,0.2916912331762891,0.1111111111111111,"{""lns"": 5, ""tie"": 4}",9,15
0,0.0,-2.1831849681554787,vanilla,2.1915166060090394,0.3055555555555556,"{""alns"": 1, ""lns"": 5, ""tie"": 3}",9,20
0,0.0,0.0,vanilla,0.0,0.225,"{""tie"": 6}",6,25
