alns_cost,category,gap_pct_alns_minus_lns,instance,lns_cost,paired_winner,replicate,seed,size,winner_algorithm_for_composition,winner_all_cv,winner_all_ev,winner_cv_physical,winner_ev_physical,winner_ev_route_share,winner_max_trips_per_vehicle
1092.5083335012462,vanilla,0.0,e2-vanilla-25c-02,1092.5083335012462,tie,2,1,25,alns_e2_throughput,False,False,2,1,0.2,2
1092.5083335012462,vanilla,0.0,e2-vanilla-25c-02,1092.5083335012462,tie,2,2,25,alns_e2_throughput,False,False,2,1,0.2,2
1092.5083335012462,vanilla,0.0,e2-vanilla-25c-02,1092.5083335012462,tie,2,3,25,alns_e2_throughput,False,False,2,1,0.2,2
740.8751376423054,vanilla,0.0,e2-vanilla-25c-03,740.8751376423054,tie,3,1,25,alns_e2_throughput,False,False,2,1,0.25,2
740.8751376423054,vanilla,0.0,e2-vanilla-25c-03,740.8751376423054,tie,3,2,25,alns_e2_throughput,False,False,2,1,0.25,2
740.8751376423054,vanilla,0.0,e2-vanilla-25c-03,740.8751376423054,tie,3,3,25,alns_e2_throughput,False,False,2,1,0.25,2
2320.739433561989,vanilla,0.0,e2-vanilla-50c-01,2320.739433561989,tie,1,1,50,alns_e2_throughput,False,False,4,1,0.125,2
2320.739433561989,vanilla,0.0,e2-vanilla-50c-01,2320.739433561989,tie,1,2,50,alns_e2_throughput,False,False,4,1,0.125,2
2320.739433561989,vanilla,0.0,e2-vanilla-50c-01,2320.739433561989,tie,1,3,50,alns_e2_throughput,False,False,4,1,0.125,2
2195.732585653382,vanilla,0.0,e2-vanilla-50c-02,2195.732585653382,tie,2,1,50,alns_e2_throughput,False,False,4,1,0.125,2
2195.732585653382,vanilla,0.0,e2-vanilla-50c-02,2195.732585653382,tie,2,2,50,alns_e2_throughput,False,False,4,1,0.125,2
2195.732585653382,vanilla,0.0,e2-vanilla-50c-02,2195.732585653382,tie,2,3,50,alns_e2_throughput,False,False,4,1,0.125,2
2359.28660989457,vanilla,0.0,e2-vanilla-50c-03,2359.28660989457,tie,3,1,50,alns_e2_throughput,False,False,4,1,0.125,2
2359.28660989457,vanilla,0.0,e2-vanilla-50c-03,2359.28660989457,tie,3,2,50,alns_e2_throughput,False,False,4,1,0.125,2
2359.28660989457,vanilla,0.0,e2-vanilla-50c-03,2359.28660989457,tie,3,3,50,alns_e2_throughput,False,False,4,1,0.125,2
3817.814283649194,vanilla,0.0,e2-vanilla-75c-01,3817.814283649194,tie,1,1,75,alns_e2_throughput,False,False,6,1,0.08333333333333333,2
3817.814283649194,vanilla,0.0,e2-vanilla-75c-01,3817.814283649194,tie,1,2,75,alns_e2_throughput,False,False,6,1,0.08333333333333333,2
3817.814283649194,vanilla,0.0,e2-vanilla-75c-01,3817.814283649194,tie,1,3,75,alns_e2_throughput,False,False,6,1,0.08333333333333333,2
3247.4319008273633,vanilla,0.0,e2-vanilla-75c-02,3247.4319008273633,tie,2,1,75,alns_e2_throughput,False,False,6,1,0.08333333333333333,2
3247.4319008273633,vanilla,0.0,e2-vanilla-75c-02,3247.4319008273633,tie,2,2,75,alns_e2_throughput,False,False,6,1,0.08333333333333333,2
3247.4319008273633,vanilla,0.0,e2-vanilla-75c-02,3247.4319008273633,tie,2,3,75,alns_e2_throughput,False,False,6,1,0.08333333333333333,2
3089.7176069997035,vanilla,0.0,e2-vanilla-75c-03,3089.7176069997035,tie,3,1,75,alns_e2_throughput,False,False,5,1,0.09090909090909091,2
3089.7176069997035,vanilla,0.0,e2-vanilla-75c-03,3089.7176069997035,tie,3,2,75,alns_e2_throughput,False,False,5,1,0.09090909090909091,2
3089.7176069997035,vanilla,0.0,e2-vanilla-75c-03,3089.7176069997035,tie,3,3,75,alns_e2_throughput,False,False,5,1,0.09090909090909091,2
