check,passed,formal_search_evaluations,synthetic_probe_iterations
exact_version,True,0,20
exact_python,True,0,20
official_wheel_hash,True,0,20
single_thread_environment,True,0,20
genetic_algorithm_present,True,0,20
population_present,True,0,20
iterated_local_search_absent,True,0,20
initial_solution_not_exposed,True,0,20
synthetic_solution_feasible,True,0,20
synthetic_route_complete,True,0,20
synthetic_objective_exact,True,0,20
