engine,profile,start,operator,repair,repetition,changed,feasible,violation_count,start_cost,candidate_cost,cost_delta,route_count_before,route_count_after,route_delta,ev_routes_before,ev_routes_after,ev_route_delta,charging_actions_before,charging_actions_after,charging_action_delta,hill_climb_would_accept,sa_accept_probability_at_temperature,detail,remove_count,raw_changed_before_wrapper_revert,raw_route_delta_before_wrapper_revert,raw_hard_violations_before_wrapper_revert
ALNS,LEAN_PUBLIC,CV_ONLY,random_customer_removal,greedy_insert_repair,1,True,True,0,1730.3907181749512,1718.7942629790045,-11.596455195946646,8,8,0,0,0,0,0,0,0,True,1.0,candidate_usable,6,True,0,0
ALNS,LEAN_PUBLIC,CV_ONLY,random_customer_removal,greedy_insert_repair,2,True,True,0,1730.3907181749512,1726.6780369393164,-3.712681235634818,8,8,0,0,0,0,0,0,0,True,1.0,candidate_usable,6,True,0,0
ALNS,LEAN_PUBLIC,CV_ONLY,random_customer_removal,greedy_insert_repair,3,True,True,0,1730.3907181749512,1809.5350543113768,79.14433613642564,8,9,1,0,1,1,0,1,1,False,0.7286386531546953,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,random_customer_removal,greedy_insert_repair,4,True,True,0,1730.3907181749512,1726.8207972812195,-3.5699208937317053,8,9,1,0,1,1,0,1,1,True,1.0,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,random_customer_removal,greedy_insert_repair,5,True,True,0,1730.3907181749512,1807.0264571078096,76.63573893285843,8,9,1,0,1,1,0,1,1,False,0.735986902644602,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,random_customer_removal,regret2_insert_repair,1,True,True,0,1730.3907181749512,1711.646516073659,-18.744202101292103,8,8,0,0,0,0,0,0,0,True,1.0,candidate_usable,6,True,0,0
ALNS,LEAN_PUBLIC,CV_ONLY,random_customer_removal,regret2_insert_repair,2,True,True,0,1730.3907181749512,1804.583277543521,74.19255936856985,8,9,1,0,1,1,0,1,1,False,0.7432147556453946,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,random_customer_removal,regret2_insert_repair,3,True,True,0,1730.3907181749512,1718.5776903194774,-11.81302785547382,8,8,0,0,0,0,0,0,0,True,1.0,candidate_usable,6,True,0,0
ALNS,LEAN_PUBLIC,CV_ONLY,random_customer_removal,regret2_insert_repair,4,True,True,0,1730.3907181749512,1723.422421697783,-6.968296477168224,8,8,0,0,0,0,0,0,0,True,1.0,candidate_usable,6,True,0,0
ALNS,LEAN_PUBLIC,CV_ONLY,random_customer_removal,regret2_insert_repair,5,True,True,0,1730.3907181749512,1713.5066694387256,-16.884048736225623,8,8,0,0,0,0,0,0,0,True,1.0,candidate_usable,6,True,0,0
ALNS,LEAN_PUBLIC,CV_ONLY,random_customer_removal,regret3_insert_repair,1,True,True,0,1730.3907181749512,1718.7311094608935,-11.65960871405764,8,8,0,0,0,0,0,0,0,True,1.0,candidate_usable,6,True,0,0
ALNS,LEAN_PUBLIC,CV_ONLY,random_customer_removal,regret3_insert_repair,2,True,True,0,1730.3907181749512,1812.724063788181,82.33334561322977,8,9,1,0,1,1,0,1,1,False,0.7194031403804336,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,random_customer_removal,regret3_insert_repair,3,True,True,0,1730.3907181749512,1817.305072921746,86.91435474679474,8,9,1,0,1,1,0,1,1,False,0.7063408137217817,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,random_customer_removal,regret3_insert_repair,4,False,True,0,1730.3907181749512,1730.3907181749512,0.0,8,8,0,0,0,0,0,0,0,False,0.0,unchanged,6,False,0,0
ALNS,LEAN_PUBLIC,CV_ONLY,random_customer_removal,regret3_insert_repair,5,True,True,0,1730.3907181749512,1663.6365556843355,-66.75416249061573,8,8,0,0,0,0,0,0,0,True,1.0,candidate_usable,6,True,0,0
ALNS,LEAN_PUBLIC,CV_ONLY,worst_customer_removal,greedy_insert_repair,1,True,True,0,1730.3907181749512,1686.915936422114,-43.47478175283709,8,9,1,0,1,1,0,1,1,True,1.0,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,worst_customer_removal,greedy_insert_repair,2,True,True,0,1730.3907181749512,1686.915936422114,-43.47478175283709,8,9,1,0,1,1,0,1,1,True,1.0,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,worst_customer_removal,greedy_insert_repair,3,True,True,0,1730.3907181749512,1686.915936422114,-43.47478175283709,8,9,1,0,1,1,0,1,1,True,1.0,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,worst_customer_removal,greedy_insert_repair,4,True,True,0,1730.3907181749512,1686.915936422114,-43.47478175283709,8,9,1,0,1,1,0,1,1,True,1.0,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,worst_customer_removal,greedy_insert_repair,5,True,True,0,1730.3907181749512,1686.915936422114,-43.47478175283709,8,9,1,0,1,1,0,1,1,True,1.0,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,worst_customer_removal,regret2_insert_repair,1,True,True,0,1730.3907181749512,1738.5179404475857,8.127222272634526,8,9,1,0,1,1,0,1,1,False,0.968013845030351,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,worst_customer_removal,regret2_insert_repair,2,True,True,0,1730.3907181749512,1738.5179404475857,8.127222272634526,8,9,1,0,1,1,0,1,1,False,0.968013845030351,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,worst_customer_removal,regret2_insert_repair,3,True,True,0,1730.3907181749512,1738.5179404475857,8.127222272634526,8,9,1,0,1,1,0,1,1,False,0.968013845030351,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,worst_customer_removal,regret2_insert_repair,4,True,True,0,1730.3907181749512,1738.5179404475857,8.127222272634526,8,9,1,0,1,1,0,1,1,False,0.968013845030351,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,worst_customer_removal,regret2_insert_repair,5,True,True,0,1730.3907181749512,1738.5179404475857,8.127222272634526,8,9,1,0,1,1,0,1,1,False,0.968013845030351,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,worst_customer_removal,regret3_insert_repair,1,True,True,0,1730.3907181749512,1686.915936422114,-43.47478175283709,8,9,1,0,1,1,0,1,1,True,1.0,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,worst_customer_removal,regret3_insert_repair,2,True,True,0,1730.3907181749512,1686.915936422114,-43.47478175283709,8,9,1,0,1,1,0,1,1,True,1.0,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,worst_customer_removal,regret3_insert_repair,3,True,True,0,1730.3907181749512,1686.915936422114,-43.47478175283709,8,9,1,0,1,1,0,1,1,True,1.0,candidate_usable,6,True,1,0
ALNS,LEAN_PUBLIC,CV_ONLY,worst_customer_removal,regret3_insert_repair,4,True,True,0,1730.3907181749512,1686.915936422114,-43.47478175283709,8,9,1,0,1,1,0,1,1,True,1.0,candidate_usable,6,True,1,0
