split,algorithm,rows,mean_best_obj,median_best_obj,best_obj,std_best_obj,mean_gap_vs_alpha_pct,mean_gap_vs_random_pct,actual_evals_values,violation_values,worker_python_values
formal_10001,alpha_ucb_env,10,4878.331796187524,4848.619847811227,4779.053444002934,90.39011736520821,,,16000,0,/opt/anaconda3/bin/python3.13
formal_10001,ppo_full,10,6085.923811179165,6085.923811179165,6085.923811179165,0.0,24.754200112739134,27.290707099021166,16000,0,/opt/anaconda3/bin/python3.13
formal_10001,random_full,10,4781.121850823597,4788.89040673416,4739.8600246707265,23.251875542053586,,,16000,0,/opt/anaconda3/bin/python3.13
held_out,alpha_ucb_env,10,3902.509679676566,3951.9634151920627,3471.1647322217887,147.53230445484192,,,16000,0,/opt/anaconda3/bin/python3.13
held_out,ppo_full,10,4222.7854921365815,4222.7854921365815,4222.7854921365815,0.0,8.206919104594238,19.338915843770067,16000,0,/opt/anaconda3/bin/python3.13
held_out,random_full,10,3538.4815274044795,3543.0153484069533,3454.642942519675,32.90946328987675,,,16000,0,/opt/anaconda3/bin/python3.13
