unit_id,violation_index,type,vehicle_id,location,detail,severity
cn-prd-100c-02-V2-LOCATIONS__seed1__P22__B20,1,TIME_WINDOW,SP-EV-0017,C045,"late by 4.477 s (due l=45301.259, start=45305.736)",hard
cn-prd-100c-02-V2-LOCATIONS__seed2__P22__B16,1,TIME_WINDOW,SP-EV-0005,C045,"late by 5.205 s (due l=45301.259, start=45306.464)",hard
