unit_id,action_index,vehicle_id,station_id,charge_start_second,charge_day_offset,energy_kwh,start_energy_kwh,end_energy_kwh,source_occupancy_minutes,m17_occupancy_minutes,duration_increase_seconds,source_curve_id,execution_curve_id,enters_taper
cn-prd-100c-02-V2-LOCATIONS__seed1__P22__B16,1,CH81-0013,S_shenzhen,22899.3,0,3.4407497415198964,7.546616786341817,10.987366527861713,9.383862931417896,9.411462528275013,1.6559758114270196,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-100c-02-V2-LOCATIONS__seed1__P22__B16,2,CH81-0004,S_guangzhou,23498.9,0,10.584265101959232,2.9552195597773903,13.539484661736623,28.866177550797907,28.951078073006137,5.094031332493785,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-100c-02-V2-LOCATIONS__seed1__P22__B16,3,CH81-0007,S_guangzhou,43200.0,0,12.36062795658194,2.413038202129975,14.773666158711915,33.710803517950744,37.20150294281077,209.44196549160154,L100_control,M17_22KW_NORMAL_PWL,True
cn-prd-100c-02-V2-LOCATIONS__seed1__P22__B20,1,SP-EV-0017,S_guangzhou,43197.79840840394,0,9.302700559753726,6.323324740073209,15.626025299826935,25.371001526601066,25.445622119326362,4.477235563517752,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-100c-02-V2-LOCATIONS__seed1__P22__B20,2,SP-EV-0018,S_guangzhou,23498.9,0,10.194253750340973,6.413038202129975,16.60729195247095,27.802510228202653,27.884282317109136,4.906325334388981,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-100c-02-V2-LOCATIONS__seed1__P22__B24,1,SP-EV-0001,S_guangzhou,23498.9,0,6.154942109064985,10.322024544970935,16.47696665403592,16.78620575199541,16.835576945383643,2.9622716032939422,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-100c-02-V2-LOCATIONS__seed1__P22__B28,1,SP-EV-0018,S_guangzhou,23498.9,0,2.194253750340973,14.413038202129975,16.60729195247095,5.984328410020832,6.001929375932665,1.0560579547099813,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-100c-02-V2-LOCATIONS__seed2__P22__B16,1,SP-EV-0002,S_guangzhou,23498.9,0,12.728259861445526,2.414338397232246,15.142598258677772,34.713435985760526,39.27318958910368,273.58521620058923,L100_control,M17_22KW_NORMAL_PWL,True
cn-prd-100c-02-V2-LOCATIONS__seed2__P22__B16,2,SP-EV-0005,S_guangzhou,42950.31130602712,0,10.815121740945413,2.3233247400732093,13.138446481018622,29.495786566214758,29.58253887964481,5.205138805803244,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-100c-02-V2-LOCATIONS__seed2__P22__B16,3,SP-EV-0017,S_shenzhen,22899.3,0,4.0869294593799115,7.546616786341817,11.633546245721728,11.146171252854304,11.178954109480348,1.966971397562638,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-100c-02-V2-LOCATIONS__seed2__P22__B20,1,SP-EV-0012,S_guangzhou,23498.9,0,9.488493897852504,6.502751664186743,15.991245562039246,25.87771063050683,25.953821544125965,4.566654817148148,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-100c-02-V2-LOCATIONS__seed2__P22__B20,2,SP-EV-0013,S_guangzhou,43200.0,0,8.728259861445526,6.414338397232246,15.142598258677772,23.80434507666962,23.874357856306876,4.200766778235376,L100_control,M17_22KW_NORMAL_PWL,False
