baseline_type,instance_id,seed,arm,status,status_reason,total_cost_cny,total_distance_km,system_emissions_kg,physical_vehicle_count,route_count,cross_contractor_customer_count,customer_count,cross_contractor_customer_share,paired_cost_improvement_cny,paired_cost_improvement_pct,paired_distance_improvement_km,paired_distance_improvement_pct,paired_emissions_improvement_kg,paired_emissions_improvement_pct,paired_physical_vehicle_improvement,paired_physical_vehicle_improvement_pct,paired_route_improvement,paired_route_improvement_pct,hgs_iterations_cv_only,hgs_iterations_naive_ev,hgs_iterations_mechanism_ev,wallclock_safety_triggered,complete_candidate_evaluations,elapsed_seconds,mapping_sha256,initial_solution_sha256,solution_path,solution_sha256,routing_sha256,search_trace_path,violation_count,error_type,error_message
baseline_random,cn-cy-100c-01-V2-LOCATIONS,1,BASELINE_LOCKED,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,1,TREATMENT_REALLOCATION,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,2,BASELINE_LOCKED,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,2,TREATMENT_REALLOCATION,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,3,BASELINE_LOCKED,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,3,TREATMENT_REALLOCATION,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,4,BASELINE_LOCKED,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,4,TREATMENT_REALLOCATION,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,5,BASELINE_LOCKED,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,5,TREATMENT_REALLOCATION,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,6,BASELINE_LOCKED,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,6,TREATMENT_REALLOCATION,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,7,BASELINE_LOCKED,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,7,TREATMENT_REALLOCATION,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,8,BASELINE_LOCKED,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,8,TREATMENT_REALLOCATION,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,9,BASELINE_LOCKED,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,9,TREATMENT_REALLOCATION,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,10,BASELINE_LOCKED,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_random,cn-cy-100c-01-V2-LOCATIONS,10,TREATMENT_REALLOCATION,HALT_PRESEARCH_RANDOM_LABEL_DEPOT_CARDINALITY_MISMATCH,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,ValueError,ValueError: zip() argument 2 is shorter than argument 1; frozen source has 4 labels but instance has 2 depots; no approved 4-to-2 rule
baseline_nearest,cn-cy-100c-01-V2-LOCATIONS,1,BASELINE_LOCKED,PASS,,4562.024573963715,1758.910545079953,415.8739123997247,12,18,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000,25000,25000,False,80,575.0175490829861,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,d7f1c7b56753984c66b634d4a33a2bc1174dc7be3495b39a0efd266ff3ab9831,baselines/china_e3_e7/scout_depot_ownership_20260803/baseline_nearest/units/seed-01__BASELINE_LOCKED/solution.json,d0a36f073b23db81a84fa17380771b641badb49cd6d4da14cd16e0151e01e504,4af04ae112b1122d558e83ebb14f76e022b63a0d7f6de0f05e13efa1d3f63048,baselines/china_e3_e7/scout_depot_ownership_20260803/baseline_nearest/units/seed-01__BASELINE_LOCKED/search_trace.json,0,,
