ownership_case,declared_share,moved_customers,customer_count,actual_moved_share,independent_budget_total,cooperation_budget,budget_ratio_cooperation_to_independent,median_assigned_to_nearest_distance_ratio,p90_assigned_to_nearest_distance_ratio,mean_extra_one_way_km,ownership_map_count,artifact_hash_entries,appledouble_hash_entries,metadata_has_source_commit,metadata_has_source_hashes,moved_set_overlap_count,moved_set_jaccard,larger_case_is_superset
25,0.25,108,449,0.24053452115812918,400,4000,10.0,1.8476348666950422,3.1109604399487862,31.200946982359614,1,372,206,False,False,44,0.15602836879432624,False
50,0.5,218,449,0.48552338530066813,400,4000,10.0,1.7860973376381177,2.961731247236621,29.81562893950939,1,372,206,False,False,44,0.15602836879432624,False
