layer,seed,saved_physical_vehicles,time_overlap_vehicle_lower_bound,time_overlap_lower_bound_by_depot_type,ev_chains,multitrip_ev_chains,literal_first_charge_later_trip_overlap_chains,literal_same_vehicle_charge_overlap_chains,recurring_last_return_window_infeasible_chains,mean_recurring_last_return_slack_hours
M0,1,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,2,1,2,3.5332502270207997
M0,2,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,14,8,6,6,-0.1519611691113291
M0,3,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,2,1,2,3.5449756472613094
M0,4,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,2,2,2,3.5628609299234197
M0,5,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,2,1,2,3.5332502270207997
M0,6,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,2,1,2,3.60173924431652
M0,7,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,14,7,6,5,1.4085819825141894
M0,8,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,14,7,5,4,1.1014586885901436
M0,9,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,7,7,6,1.3138627418702844
M0,10,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,14,7,9,6,0.746765478337562
M1,1,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,10,13,2,3.687853751147949
M1,2,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,14,13,14,10,-1.2398735642484267
M1,3,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,10,13,2,3.653463380063139
M1,4,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,14,14,14,11,-2.5715845959620993
M1,5,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,10,13,2,3.6651888003036484
M1,6,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,10,13,2,3.653463380063139
M1,7,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,10,13,2,3.653463380063139
M1,8,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,14,14,14,13,-1.7247670640537087
M1,9,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,14,12,14,11,-1.9913328379406248
M1,10,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,10,13,2,3.653463380063139
M3,1,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,10,13,2,3.687853751147949
M3,2,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,14,13,13,12,-2.692862240627806
M3,3,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,10,13,2,3.653463380063139
M3,4,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,14,14,14,11,-2.5715845959620993
M3,5,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,10,13,2,3.6651888003036484
M3,6,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,10,13,2,3.653463380063139
M3,7,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,10,13,2,3.653463380063139
M3,8,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,14,13,13,13,-1.7247670640537087
M3,9,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,14,10,14,8,-0.7100202167895856
M3,10,28,28,"{""D0_cv"": 7, ""D0_ev"": 7, ""D1_cv"": 7, ""D1_ev"": 7}",14,13,10,13,2,3.653463380063139
