scenario,seed,scale,stage,depot,vehicle_type,dynamic_cost,static_revealed_cost,information_cost,information_cost_pct,committed_customer_count,newly_revealed_customer_count,rejected_deferred_pending_customer_count,route_slack,time_slack,ev_route_count,charging_action_count,soc_or_charging_slack,depot_level_load_capacity_proxy,event_density,trigger_count,event_spatial_clustering_proxy,trace_status,payload_path
E-UK25_02__curric_d2_s3_seed2_24h,901,25,0,ALL,ALL,794.5514248987854,614.5853222055247,179.96610269326072,29.282525337153743,,,,,,,,,,5,3,55492.24730437622,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901.json
E-UK25_02__curric_d2_s3_seed2_24h,901,25,1,ALL,ALL,794.5514248987854,614.5853222055247,179.96610269326072,29.282525337153743,,,,,,,,,,5,3,55492.24730437622,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901.json
E-UK25_02__curric_d2_s3_seed2_24h,901,25,2,ALL,ALL,794.5514248987854,614.5853222055247,179.96610269326072,29.282525337153743,,,,,,,,,,5,3,55492.24730437622,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901.json
E-UK25_02__curric_d2_s3_seed2_24h,902,25,0,ALL,ALL,719.9638882862805,589.3236072187751,130.64028106750538,22.16783435573584,,,,,,,,,,5,3,36039.87040000317,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed902.json
E-UK25_02__curric_d2_s3_seed2_24h,902,25,1,ALL,ALL,719.9638882862805,589.3236072187751,130.64028106750538,22.16783435573584,,,,,,,,,,5,3,36039.87040000317,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed902.json
E-UK25_02__curric_d2_s3_seed2_24h,902,25,2,ALL,ALL,719.9638882862805,589.3236072187751,130.64028106750538,22.16783435573584,,,,,,,,,,5,3,36039.87040000317,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed902.json
E-UK25_02__curric_d2_s3_seed2_24h,903,25,0,ALL,ALL,936.5365446028095,650.221519138286,286.3150254645235,44.03345891165921,,,,,,,,,,5,4,21706.551249957924,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed903.json
E-UK25_02__curric_d2_s3_seed2_24h,903,25,1,ALL,ALL,936.5365446028095,650.221519138286,286.3150254645235,44.03345891165921,,,,,,,,,,5,4,21706.551249957924,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed903.json
E-UK25_02__curric_d2_s3_seed2_24h,903,25,2,ALL,ALL,936.5365446028095,650.221519138286,286.3150254645235,44.03345891165921,,,,,,,,,,5,4,21706.551249957924,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed903.json
E-UK25_02__curric_d2_s3_seed2_24h,903,25,3,ALL,ALL,936.5365446028095,650.221519138286,286.3150254645235,44.03345891165921,,,,,,,,,,5,4,21706.551249957924,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed903.json
E-UK25_02__curric_d2_s3_seed2_24h,904,25,0,ALL,ALL,1036.5338472285594,675.1320820301661,361.40176519839326,53.53052755419867,,,,,,,,,,5,5,31732.3322982069,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed904.json
E-UK25_02__curric_d2_s3_seed2_24h,904,25,1,ALL,ALL,1036.5338472285594,675.1320820301661,361.40176519839326,53.53052755419867,,,,,,,,,,5,5,31732.3322982069,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed904.json
E-UK25_02__curric_d2_s3_seed2_24h,904,25,2,ALL,ALL,1036.5338472285594,675.1320820301661,361.40176519839326,53.53052755419867,,,,,,,,,,5,5,31732.3322982069,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed904.json
E-UK25_02__curric_d2_s3_seed2_24h,904,25,3,ALL,ALL,1036.5338472285594,675.1320820301661,361.40176519839326,53.53052755419867,,,,,,,,,,5,5,31732.3322982069,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed904.json
E-UK25_02__curric_d2_s3_seed2_24h,904,25,4,ALL,ALL,1036.5338472285594,675.1320820301661,361.40176519839326,53.53052755419867,,,,,,,,,,5,5,31732.3322982069,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed904.json
E-UK25_02__curric_d2_s3_seed2_24h,905,25,0,ALL,ALL,893.4851640294709,719.3358437856873,174.14932024378356,24.20973760007267,,,,,,,,,,5,4,62330.31648296517,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed905.json
E-UK25_02__curric_d2_s3_seed2_24h,905,25,1,ALL,ALL,893.4851640294709,719.3358437856873,174.14932024378356,24.20973760007267,,,,,,,,,,5,4,62330.31648296517,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed905.json
E-UK25_02__curric_d2_s3_seed2_24h,905,25,2,ALL,ALL,893.4851640294709,719.3358437856873,174.14932024378356,24.20973760007267,,,,,,,,,,5,4,62330.31648296517,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed905.json
E-UK25_02__curric_d2_s3_seed2_24h,905,25,3,ALL,ALL,893.4851640294709,719.3358437856873,174.14932024378356,24.20973760007267,,,,,,,,,,5,4,62330.31648296517,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed905.json
E-UK25_02__curric_d2_s3_seed2_24h,906,25,0,ALL,ALL,1054.6376803813441,666.1042158099935,388.5334645713506,58.32923067434539,,,,,,,,,,5,4,55784.11319170114,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed906.json
E-UK25_02__curric_d2_s3_seed2_24h,906,25,1,ALL,ALL,1054.6376803813441,666.1042158099935,388.5334645713506,58.32923067434539,,,,,,,,,,5,4,55784.11319170114,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed906.json
E-UK25_02__curric_d2_s3_seed2_24h,906,25,2,ALL,ALL,1054.6376803813441,666.1042158099935,388.5334645713506,58.32923067434539,,,,,,,,,,5,4,55784.11319170114,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed906.json
E-UK25_02__curric_d2_s3_seed2_24h,906,25,3,ALL,ALL,1054.6376803813441,666.1042158099935,388.5334645713506,58.32923067434539,,,,,,,,,,5,4,55784.11319170114,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed906.json
E-UK25_02__curric_d2_s3_seed2_24h,907,25,0,ALL,ALL,914.702878954945,680.6599397766026,234.0429391783424,34.384708942200554,,,,,,,,,,5,3,86370.15095744506,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed907.json
E-UK25_02__curric_d2_s3_seed2_24h,907,25,1,ALL,ALL,914.702878954945,680.6599397766026,234.0429391783424,34.384708942200554,,,,,,,,,,5,3,86370.15095744506,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed907.json
E-UK25_02__curric_d2_s3_seed2_24h,907,25,2,ALL,ALL,914.702878954945,680.6599397766026,234.0429391783424,34.384708942200554,,,,,,,,,,5,3,86370.15095744506,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed907.json
E-UK25_02__curric_d2_s3_seed2_24h,908,25,0,ALL,ALL,851.717379658279,689.8421928388173,161.87518681946176,23.46553871303783,,,,,,,,,,5,4,81861.03166159862,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed908.json
E-UK25_02__curric_d2_s3_seed2_24h,908,25,1,ALL,ALL,851.717379658279,689.8421928388173,161.87518681946176,23.46553871303783,,,,,,,,,,5,4,81861.03166159862,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed908.json
E-UK25_02__curric_d2_s3_seed2_24h,908,25,2,ALL,ALL,851.717379658279,689.8421928388173,161.87518681946176,23.46553871303783,,,,,,,,,,5,4,81861.03166159862,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed908.json
E-UK25_02__curric_d2_s3_seed2_24h,908,25,3,ALL,ALL,851.717379658279,689.8421928388173,161.87518681946176,23.46553871303783,,,,,,,,,,5,4,81861.03166159862,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed908.json
E-UK25_02__curric_d2_s3_seed2_24h,909,25,0,ALL,ALL,1049.082450591484,695.075941374073,354.0065092174111,50.93062328090182,,,,,,,,,,5,4,85322.38795283643,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed909.json
E-UK25_02__curric_d2_s3_seed2_24h,909,25,1,ALL,ALL,1049.082450591484,695.075941374073,354.0065092174111,50.93062328090182,,,,,,,,,,5,4,85322.38795283643,TRACE_LIMITED_EXISTING_PAYLOAD,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed909.json
