stage,action_id,action_class,action_level,bundle,bundle_dir,seed,scale,status,health_status,worker_integrity_ok,violation_count,myopic_dynamic_cost,oracle_dynamic_cost,myopic_static_revealed_cost,oracle_static_revealed_cost,myopic_information_cost,oracle_information_cost,myopic_information_cost_pct,oracle_information_cost_pct,information_cost_reduction_pp,policy_trace_stage_count,changed_stage_count,action_real_effect,actual_evals,elapsed_seconds,payload_path
stage3_dynamic_oracle,capacity_reserve_low,depot_capacity_reserve,low,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,25,HALT_E7_FINAL_CHUNK_CHECK,HALT_E7_FINAL_CHUNK_CHECK,True,,794.5514248987854,nan,614.5853222055247,nan,179.96610269326072,nan,29.282525337153743,nan,nan,0,0,False,6000,44.231354000001375,solver\reports\dr_alns_ppo_v3\final_track24_breakthrough_audit\stage3_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901_capacity_reserve_low.json
stage3_dynamic_oracle,capacity_reserve_medium,depot_capacity_reserve,medium,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,25,HALT_E7_FINAL_CHUNK_CHECK,HALT_E7_FINAL_CHUNK_CHECK,True,,794.5514248987854,nan,614.5853222055247,nan,179.96610269326072,nan,29.282525337153743,nan,nan,0,0,False,6000,57.28892849999829,solver\reports\dr_alns_ppo_v3\final_track24_breakthrough_audit\stage3_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901_capacity_reserve_medium.json
stage3_dynamic_oracle,capacity_reserve_high,depot_capacity_reserve,high,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,25,HALT_E7_FINAL_CHUNK_CHECK,HALT_E7_FINAL_CHUNK_CHECK,True,,794.5514248987854,nan,614.5853222055247,nan,179.96610269326072,nan,29.282525337153743,nan,nan,0,0,False,6000,40.759469300001,solver\reports\dr_alns_ppo_v3\final_track24_breakthrough_audit\stage3_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901_capacity_reserve_high.json
stage3_dynamic_oracle,commit_threshold_conservative,customer_commit_threshold,conservative,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,25,HALT_E7_FINAL_CHUNK_CHECK,HALT_E7_FINAL_CHUNK_CHECK,True,,794.5514248987854,nan,614.5853222055247,nan,179.96610269326072,nan,29.282525337153743,nan,nan,0,0,False,6000,23.07719399999951,solver\reports\dr_alns_ppo_v3\final_track24_breakthrough_audit\stage3_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901_commit_threshold_conservative.json
stage3_dynamic_oracle,commit_threshold_normal,customer_commit_threshold,normal,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,25,HALT_E7_FINAL_CHUNK_CHECK,HALT_E7_FINAL_CHUNK_CHECK,True,,794.5514248987854,nan,614.5853222055247,nan,179.96610269326072,nan,29.282525337153743,nan,nan,0,0,False,6000,42.98115280000093,solver\reports\dr_alns_ppo_v3\final_track24_breakthrough_audit\stage3_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901_commit_threshold_normal.json
stage3_dynamic_oracle,commit_threshold_aggressive,customer_commit_threshold,aggressive,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,25,HALT_E7_FINAL_CHUNK_CHECK,HALT_E7_FINAL_CHUNK_CHECK,True,,794.5514248987854,nan,614.5853222055247,nan,179.96610269326072,nan,29.282525337153743,nan,nan,0,0,False,6000,40.962370700000974,solver\reports\dr_alns_ppo_v3\final_track24_breakthrough_audit\stage3_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901_commit_threshold_aggressive.json
stage3_dynamic_oracle,future_cluster_reserve_low,future_cluster_reserve,low,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,25,OK,HEALTHY,True,0,794.5514248987854,819.0748581487493,614.5853222055247,614.5853222055247,179.96610269326072,204.4895359432246,29.282525337153743,33.27276596996908,-3.990240632815336,3,2,True,8000,89.95002790000035,solver\reports\dr_alns_ppo_v3\final_track24_breakthrough_audit\stage3_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901_future_cluster_reserve_low.json
stage3_dynamic_oracle,future_cluster_reserve_medium,future_cluster_reserve,medium,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,25,OK,HEALTHY,True,0,794.5514248987854,799.9245884670668,614.5853222055247,614.5853222055247,179.96610269326072,185.3392662615421,29.282525337153743,30.15679996984413,-0.874274632690387,3,2,True,8000,109.3339208999987,solver\reports\dr_alns_ppo_v3\final_track24_breakthrough_audit\stage3_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901_future_cluster_reserve_medium.json
stage3_dynamic_oracle,future_cluster_reserve_high,future_cluster_reserve,high,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,25,OK,HEALTHY,True,0,794.5514248987854,861.1449987942627,614.5853222055247,614.5853222055247,179.96610269326072,246.55967658873806,29.282525337153743,40.11805483800434,-10.835529500850598,3,2,True,8000,91.84945899999911,solver\reports\dr_alns_ppo_v3\final_track24_breakthrough_audit\stage3_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901_future_cluster_reserve_high.json
stage3_dynamic_oracle,ev_charging_slack_reserve_low,ev_charging_slack_reserve,low,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,25,HALT_E7_FINAL_CHUNK_CHECK,HALT_E7_FINAL_CHUNK_CHECK,True,,794.5514248987854,nan,614.5853222055247,nan,179.96610269326072,nan,29.282525337153743,nan,nan,0,0,False,6000,53.97175409999909,solver\reports\dr_alns_ppo_v3\final_track24_breakthrough_audit\stage3_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901_ev_charging_slack_reserve_low.json
stage3_dynamic_oracle,ev_charging_slack_reserve_medium,ev_charging_slack_reserve,medium,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,25,HALT_E7_FINAL_CHUNK_CHECK,HALT_E7_FINAL_CHUNK_CHECK,True,,794.5514248987854,nan,614.5853222055247,nan,179.96610269326072,nan,29.282525337153743,nan,nan,0,0,False,6000,53.86258999999882,solver\reports\dr_alns_ppo_v3\final_track24_breakthrough_audit\stage3_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901_ev_charging_slack_reserve_medium.json
stage3_dynamic_oracle,ev_charging_slack_reserve_high,ev_charging_slack_reserve,high,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,25,HALT_E7_FINAL_CHUNK_CHECK,HALT_E7_FINAL_CHUNK_CHECK,True,,794.5514248987854,nan,614.5853222055247,nan,179.96610269326072,nan,29.282525337153743,nan,nan,0,0,False,6000,72.54215529999965,solver\reports\dr_alns_ppo_v3\final_track24_breakthrough_audit\stage3_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901_ev_charging_slack_reserve_high.json
stage3_dynamic_oracle,stage_budget_event_density,stage_budget_allocation,event_density,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,25,OK,HEALTHY,True,0,794.5514248987854,794.2146002946712,614.5853222055247,614.5853222055247,179.96610269326072,179.6292780891465,29.282525337153743,29.22772015519699,0.05480518195675188,3,3,True,6300,103.6994837000002,solver\reports\dr_alns_ppo_v3\final_track24_breakthrough_audit\stage3_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901_stage_budget_event_density.json
stage3_dynamic_oracle,capacity_reserve_low,depot_capacity_reserve,low,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,902,25,HALT_E7_FINAL_CHUNK_CHECK,HALT_E7_FINAL_CHUNK_CHECK,True,,719.9638882862805,nan,589.3236072187751,nan,130.64028106750538,nan,22.16783435573584,nan,nan,0,0,False,6000,46.874631700000464,solver\reports\dr_alns_ppo_v3\final_track24_breakthrough_audit\stage3_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed902_capacity_reserve_low.json
stage3_dynamic_oracle,capacity_reserve_medium,depot_capacity_reserve,medium,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,902,25,HALT_E7_FINAL_CHUNK_CHECK,HALT_E7_FINAL_CHUNK_CHECK,True,,719.9638882862805,nan,589.3236072187751,nan,130.64028106750538,nan,22.16783435573584,nan,nan,0,0,False,6000,38.34658980000131,solver\reports\dr_alns_ppo_v3\final_track24_breakthrough_audit\stage3_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed902_capacity_reserve_medium.json
