instance_id,seed,mapping_sha256,coalition,coalition_member_count,initial_source,initial_sha256,initial_cost_cny,search_candidate_cost_cny,final_cost_cny,saving_from_initial_cny,selected_source,cross_contractor_customers,cross_contractor_quantity_kg,used_cv,used_ev,route_pool_records,complete_candidate_evaluations,elapsed_seconds,solution_sha256,status,violation_count
cn-prd-200c-03-V2-LOCATIONS,5,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,D_dongguan,1,SINGLETON_COMMON_INITIAL,91ddd12d4091f23784e96bf5201a34aead092df0e4fdacd11d38f7d81381fbd1,1428.853242204347,1416.4473061544668,1416.4473061544668,12.40593604988021,SEARCH_STRICT_IMPROVEMENT,0,0,2,2,12,32,1.6023167920066044,c05d2c34a9aa28df7e7c9aad4cdc0ed4921b468e79488eb120ebb79744948a40,PASS,0
cn-prd-200c-03-V2-LOCATIONS,5,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,D_foshan,1,SINGLETON_COMMON_INITIAL,57968ff2822ec3c8d1e344b330fbac18ea4e95a5bd307bfee8530a231167529e,1750.1173948577016,1433.8724729040848,1433.8724729040848,316.24492195361677,SEARCH_STRICT_IMPROVEMENT,0,0,2,2,28,32,1.4997213329188526,9fa0f948183bdda7ac241f3245ebe63594cfd71c34da2a008206f989cf343efd,PASS,0
cn-prd-200c-03-V2-LOCATIONS,5,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,D_guangzhou,1,SINGLETON_COMMON_INITIAL,6af4c32444e85c14b6d7917a7049c8aede2b3fa11c6ed61031c68d0387579703,5607.493114806678,5195.929023543777,5195.929023543777,411.56409126290146,SEARCH_STRICT_IMPROVEMENT,0,0,11,3,177,32,4.423141791950911,a9bfc307151b87bd4944e08b98fd010d4d6ee339c67082f8b113bc5a28b32c9b,PASS,0
cn-prd-200c-03-V2-LOCATIONS,5,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,D_shenzhen,1,SINGLETON_COMMON_INITIAL,4e71538e4e69a8575397512b7f7c09fad48d09dde03c8816929bf949796ff0d7,6004.019826905627,5401.3445332196125,5401.3445332196125,602.6752936860148,SEARCH_STRICT_IMPROVEMENT,0,0,11,4,159,32,6.7711615830194205,2fb12e321f10af684ddeaabaafd4db80100587372046b136968cbe04bafd51f0,PASS,0
cn-prd-200c-03-V2-LOCATIONS,5,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,D_dongguan+D_foshan,2,COALITION_COMMON_INITIAL,394152ef23791cdc125d50c8b6cb7ebb6e642f5295753bba3b1309d2098218a0,3178.9706370620484,2093.7345459504963,2093.7345459504963,1085.236091111552,SEARCH_STRICT_IMPROVEMENT,21,5488.0,3,4,60,32,2.652057999977842,473562f5ce1cf2a50e07d3ededa86bc6c26a91e18d56d5003794e58582a48574,PASS,0
cn-prd-200c-03-V2-LOCATIONS,5,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,D_dongguan+D_guangzhou,2,COALITION_COMMON_INITIAL,9d04bc347bbc09af150f764f596d24c9ad920a7edd68a88eb2acaf6ab1b153f4,7036.346357011024,5840.37008563794,5840.37008563794,1195.9762713730843,SEARCH_STRICT_IMPROVEMENT,36,9861.0,12,5,195,32,6.0260966250207275,a37fcffe4b54ce79bc88da73cd480aff201ff8162855eb40c220bc51977af806,PASS,0
cn-prd-200c-03-V2-LOCATIONS,5,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,D_dongguan+D_shenzhen,2,COALITION_COMMON_INITIAL,6eb6c094e6ea07942a9212ae4251f6b38aab903cd8500f4c36b868bf22079b67,7432.873069109976,5977.743440255484,5977.743440255484,1455.1296288544927,SEARCH_STRICT_IMPROVEMENT,42,12017.0,12,6,327,32,11.742235749959946,70d02a70870170be6d093038626035778f2b97896e3069e7c17ce2a5eec29924,PASS,0
cn-prd-200c-03-V2-LOCATIONS,5,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,D_foshan+D_guangzhou,2,COALITION_COMMON_INITIAL,b5287f30d4ec6a23373fc149bd0f4e2cb9d5cce33a0d3350788b817b3711ca09,7475.987282425636,5870.199034745331,5870.199034745331,1605.7882476803052,SEARCH_STRICT_IMPROVEMENT,44,11528.0,12,5,278,32,9.46756570902653,43bcb920723510cb75c92339d3466ec2e47e88e78696b743b44479dd5682d152,PASS,0
cn-prd-200c-03-V2-LOCATIONS,5,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,D_foshan+D_shenzhen,2,COALITION_COMMON_INITIAL,28abd7e4fc644f85940ea5a6555a12559994b8e05dcb84b848118a1f2873a057,7754.137221763329,5110.591244268383,5110.591244268383,2643.545977494946,SEARCH_STRICT_IMPROVEMENT,40,12156.0,12,6,290,32,9.600002208026126,2d9a37f17a140f620512adcdc51cad037b9122f8b799c772452ee3006977366a,PASS,0
cn-prd-200c-03-V2-LOCATIONS,5,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,D_guangzhou+D_shenzhen,2,COALITION_COMMON_INITIAL,4089c44b65153547132a202032dc14b21fdc0f96adcf344457482ee0ef5899c6,11610.200830591204,7982.5507833992215,7982.5507833992215,3627.6500471919826,SEARCH_STRICT_IMPROVEMENT,67,19306.0,21,7,394,32,15.164999415981583,7ea5c18ef4045e40c6feed1323b1cdb93e2687ef31bd5246a63f1328169d9607,PASS,0
