instance,seed,algorithm,time_limit_seconds,elapsed_seconds,route_count,distance_double,lexicographic_score,evaluations,feasible,independent_recompute_pass,violation_count,solution_sha256,status
C1_2_1,1,hgs1.5_alns0.5_seed,1.5,1.5383727090083994,20,2704.5677663304728,950264.5677663304,,True,True,0,51a18945dc1f8098bbf9c4a22610a5ca9cac8686a04f401212c6d717835dce23,OK
C1_2_1,1,hgs1.5_alns0.5,2.0,2.1521027089911513,20,2704.5677663304728,950264.5677663304,2,True,True,0,51a18945dc1f8098bbf9c4a22610a5ca9cac8686a04f401212c6d717835dce23,OK
C2_2_1,1,hgs1.5_alns0.5_seed,1.5,1.524523667001631,6,1931.4425029392023,279107.4425029392,,True,True,0,f63376bd8ce94da935df3bfd7d82e82d351e741278bf16d640e77d84fcb46b86,OK
C2_2_1,1,hgs1.5_alns0.5,2.0,2.326382834056858,6,1931.4425029392023,279107.4425029392,1,True,True,0,f63376bd8ce94da935df3bfd7d82e82d351e741278bf16d640e77d84fcb46b86,OK
R1_2_1,1,hgs1.5_alns0.5_seed,1.5,1.5274003330268897,23,8368.181231135713,1065540.1812311357,,True,True,0,c9f7802134b3c791b1d83c9f82b605497da3da9be9a1c6b37fd94ff40ff3d1ce,OK
R1_2_1,1,hgs1.5_alns0.5,2.0,2.0454604160622694,23,8368.181231135713,1065540.1812311357,3,True,True,0,c9f7802134b3c791b1d83c9f82b605497da3da9be9a1c6b37fd94ff40ff3d1ce,OK
R2_2_1,1,hgs1.5_alns0.5_seed,1.5,1.5330521669820882,7,9496.841670301008,331244.841670301,,True,True,0,75a48f5b1ec446981f127d512890479f6b08fafa7b35ff2eb73cd7d1d55c4375,OK
R2_2_1,1,hgs1.5_alns0.5,2.0,2.2760170829715207,7,9496.841670301008,331244.841670301,1,True,True,0,75a48f5b1ec446981f127d512890479f6b08fafa7b35ff2eb73cd7d1d55c4375,OK
RC1_2_1,1,hgs1.5_alns0.5_seed,1.5,1.578183125006035,20,6386.578383526032,925666.5783835261,,True,True,0,3068418f95a09a0b349b55aa2d1f97ae6f9dfd8574419f0cbce3f44976c81c12,OK
RC1_2_1,1,hgs1.5_alns0.5,2.0,2.125467041041702,20,6386.578383526032,925666.5783835261,1,True,True,0,3068418f95a09a0b349b55aa2d1f97ae6f9dfd8574419f0cbce3f44976c81c12,OK
RC2_2_1,1,hgs1.5_alns0.5_seed,1.5,1.5253341249772348,8,3061.0221332513192,370773.0221332513,,True,True,0,e463c714960f07e792a94972b1d898f264833d3ef803a68018974fc3d2f0d86a,OK
RC2_2_1,1,hgs1.5_alns0.5,2.0,2.2545438339584507,8,3061.0221332513192,370773.0221332513,1,True,True,0,e463c714960f07e792a94972b1d898f264833d3ef803a68018974fc3d2f0d86a,OK
C1_2_1,1,hgs1.8_alns0.2_seed,1.8,1.8410742080304772,20,2704.5677663304728,950264.5677663304,,True,True,0,51a18945dc1f8098bbf9c4a22610a5ca9cac8686a04f401212c6d717835dce23,OK
C1_2_1,1,hgs1.8_alns0.2,2.0,2.3154292490216903,20,2704.5677663304728,950264.5677663304,1,True,True,0,51a18945dc1f8098bbf9c4a22610a5ca9cac8686a04f401212c6d717835dce23,OK
C2_2_1,1,hgs1.8_alns0.2_seed,1.8,1.83419533300912,6,1931.4425029392023,279107.4425029392,,True,True,0,f63376bd8ce94da935df3bfd7d82e82d351e741278bf16d640e77d84fcb46b86,OK
C2_2_1,1,hgs1.8_alns0.2,2.0,2.7126135830185376,6,1931.4425029392023,279107.4425029392,1,True,True,0,f63376bd8ce94da935df3bfd7d82e82d351e741278bf16d640e77d84fcb46b86,OK
R1_2_1,1,hgs1.8_alns0.2_seed,1.8,1.836270165978931,23,8368.181231135713,1065540.1812311357,,True,True,0,c9f7802134b3c791b1d83c9f82b605497da3da9be9a1c6b37fd94ff40ff3d1ce,OK
R1_2_1,1,hgs1.8_alns0.2,2.0,2.1652199989766814,23,8368.181231135713,1065540.1812311357,1,True,True,0,c9f7802134b3c791b1d83c9f82b605497da3da9be9a1c6b37fd94ff40ff3d1ce,OK
R2_2_1,1,hgs1.8_alns0.2_seed,1.8,1.8293522089952603,7,9496.841670301008,331244.841670301,,True,True,0,75a48f5b1ec446981f127d512890479f6b08fafa7b35ff2eb73cd7d1d55c4375,OK
R2_2_1,1,hgs1.8_alns0.2,2.0,2.4531505840132013,7,9496.841670301008,331244.841670301,1,True,True,0,75a48f5b1ec446981f127d512890479f6b08fafa7b35ff2eb73cd7d1d55c4375,OK
RC1_2_1,1,hgs1.8_alns0.2_seed,1.8,1.8380732089863159,20,6386.578383526032,925666.5783835261,,True,True,0,3068418f95a09a0b349b55aa2d1f97ae6f9dfd8574419f0cbce3f44976c81c12,OK
RC1_2_1,1,hgs1.8_alns0.2,2.0,2.219115208950825,20,6386.578383526032,925666.5783835261,1,True,True,0,3068418f95a09a0b349b55aa2d1f97ae6f9dfd8574419f0cbce3f44976c81c12,OK
RC2_2_1,1,hgs1.8_alns0.2_seed,1.8,1.8270997499930672,7,3121.1967416336784,324869.1967416337,,True,True,0,9506be7f532a44d2a3c30d46ce19e9f91643d15e24b34a979f238a95721a4b46,OK
RC2_2_1,1,hgs1.8_alns0.2,2.0,2.6314665409736335,7,3121.1967416336784,324869.1967416337,1,True,True,0,9506be7f532a44d2a3c30d46ce19e9f91643d15e24b34a979f238a95721a4b46,OK
