record_type,instance_id,seed,mapping_sha256,business_scenario,coalition,coalition_member_count,theta,contractor,status,search_evaluations,used_cv,used_ev,cost_cny,revenue_cny,profit_cny,distance_km,emissions_kg,cross_contractor_customers,standalone_profit_cny,natural_profit_cny,difference_from_standalone_cny,shapley_profit_cny,settlement_cny,individually_rational,feasible,profit_by_contractor,solution_sha256,status_reason
COALITION,cn-prd-150c-01-V2-LOCATIONS,1,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,DIRECT_SERVICE_RIGHT,D_dongguan,1,,,PASS,14,3,1,1763.4423389706153,7395.0,5631.557661029385,723.690231307356,207.76522228821804,0,,,,,,,True,,99865f47687bcdbd98277618564283f4aab960c28c2aef4804d29cbc0a5701ba,
COALITION,cn-prd-150c-01-V2-LOCATIONS,1,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,DIRECT_SERVICE_RIGHT,D_foshan,1,,,PASS,14,2,1,1184.9679555469893,5731.5,4546.532044453011,497.53909758770897,127.11536272488254,0,,,,,,,True,,4bdce7e7cd3479aacf8a1bdd4d857abae7f8d1ee2f0ad569e3ea86a3d360b711,
COALITION,cn-prd-150c-01-V2-LOCATIONS,1,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,DIRECT_SERVICE_RIGHT,D_guangzhou,1,,,PASS,14,7,3,3936.697665509658,23025.0,19088.30233449034,1610.354815906878,385.45031216598767,0,,,,,,,True,,28b09bd92f9a8ad55e0d3e09966848e119c9f4db4649aaee10464cea5e92f919,
COALITION,cn-prd-150c-01-V2-LOCATIONS,1,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,DIRECT_SERVICE_RIGHT,D_shenzhen,1,,,PASS,14,7,3,4041.966209430514,24165.0,20123.033790569487,1717.3714461771292,417.8217237831991,0,,,,,,,True,,63527174c548019ef3e220902c2a9debec0e8ac1538f9b6e1dcfadf63bc1a253,
COALITION,cn-prd-150c-01-V2-LOCATIONS,1,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,DIRECT_SERVICE_RIGHT,D_dongguan+D_foshan+D_guangzhou+D_shenzhen,4,,,PASS,14,21,8,15898.889260884183,60316.5,44417.610739115815,7030.74753924637,2056.6665722739813,0,,,,,,,True,,a42ba4c3fb3a6a8a313e6d5ae9c1d4196cd1898550810a2633d344c18d3bed1a,
COALITION,cn-prd-150c-01-V2-LOCATIONS,1,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,DIRECT_SERVICE_RIGHT,D_dongguan+D_foshan,2,,,PASS,14,4,2,2237.767661954096,13126.5,10888.732338045904,906.781540356716,215.88441446432014,13,,,,,,,True,,711ec209c4684621182aa3a51771fc959a70692f7bcea0559d72140a0ff88a4b,
COALITION,cn-prd-150c-01-V2-LOCATIONS,1,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,DIRECT_SERVICE_RIGHT,D_dongguan+D_guangzhou,2,,,PASS,14,9,4,4653.66587172289,30420.0,25766.33412827711,1776.761790008301,455.0919676584174,26,,,,,,,True,,72550d123a1c95a983f333cf1a75e9166876af07323617ecc10b983f5e87301a,
COALITION,cn-prd-150c-01-V2-LOCATIONS,1,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,DIRECT_SERVICE_RIGHT,D_dongguan+D_shenzhen,2,,,PASS,14,9,4,4736.996783104993,31560.0,26823.003216895006,1928.1916440507982,446.49007703498785,32,,,,,,,True,,1a13c73fe9e7480d50c33bb6894aec6327f6d058d11f9f37c733aff63b0c5ee3,
COALITION,cn-prd-150c-01-V2-LOCATIONS,1,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,DIRECT_SERVICE_RIGHT,D_foshan+D_guangzhou,2,,,PASS,14,8,4,4635.340491039903,28756.5,24121.159508960096,1834.5793397616512,463.8882247873921,25,,,,,,,True,,fa18d3872ea95fbde6be80a819770db6e91d98a78992cdf34fca93ec9990fa59,
COALITION,cn-prd-150c-01-V2-LOCATIONS,1,962c926f1d0b702f9b6a27d7b8e130691a86f2ba272f5c211d8b9abd57c0a8ab,DIRECT_SERVICE_RIGHT,D_foshan+D_shenzhen,2,,,PASS,14,9,4,4337.70155960168,29896.5,25558.79844039832,1638.805232650548,355.29834731814987,32,,,,,,,True,,f43ea1c336cf39a62bebf5571bd3a4e88a8cad7011c22974c994e4fa311443e8,
