original_owner,actual_service_depot,quantity_kg,customer_count,directed_road_distance_km
D_dongguan,D_foshan,0.0,0,89.08121431717801
D_dongguan,D_guangzhou,0.0,0,59.273181054145006
D_dongguan,D_shenzhen,0.0,0,61.680383602854
D_foshan,D_dongguan,0.0,0,88.961819052301
D_foshan,D_guangzhou,0.0,0,58.141982435676
D_foshan,D_shenzhen,0.0,0,86.112951451022
D_guangzhou,D_dongguan,0.0,0,56.97236479943
D_guangzhou,D_foshan,0.0,0,53.952711373694
D_guangzhou,D_shenzhen,0.0,0,84.344735401433
D_shenzhen,D_dongguan,0.0,0,60.106101848095996
D_shenzhen,D_foshan,0.0,0,88.77134135220001
D_shenzhen,D_guangzhou,0.0,0,85.086949575175
