scope,region,instance_id,mode,seed,iterations,termination_status,status,initial_cost,best_cost,cost_delta,cost_delta_pct,initial_emissions_kg,best_emissions_kg,emissions_delta_kg,customers_served,customers_total,demand_served,demand_total,accepted_action_channels,run_wall_seconds,included_in_summary,source_package
public,all,V13-28,system,11,,,SUMMARY,8763.571429,8729.035714,34.535715,0.395640,,,,10080,10080,,,"own_wins=12;own_losses=16;ties=0;mean_paired_delta_pct=0.179779",,true,solver/reports/duty_hgs_public_v13_28_trial_max20m_20260808
private_static,chengyu,cn-cy-50c-01-V2-LOCATIONS,system,11,5,STOPPED_BY_CALLER,COMPLETE,2483.638626607911,2373.3364630110436,-110.30216359686756,-4.441151881564806,232.69377213970412,183.42360167147083,-49.27017046823329,50,50,13266.0,13266.0,"route_kernel=3;hgs_population=3",5.820449749997351,true,solver/reports/duty_hgs_private_three_region_probe_20260809/cy_system_iter5_seed11
private_static,chengyu,cn-cy-50c-01-V2-LOCATIONS,route_only,11,5,STOPPED_BY_CALLER,COMPLETE,2483.638626607911,2373.3364630110436,-110.30216359686756,-4.441151881564806,232.69377213970412,183.42360167147083,-49.27017046823329,50,50,13266.0,13266.0,"route_kernel=3;hgs_population=3",0.16820566600654274,true,solver/reports/duty_hgs_private_three_region_probe_20260809/cy_route_only_iter5_seed11
private_static,chengyu,cn-cy-50c-01-V2-LOCATIONS,mechanism_only,11,5,STOPPED_BY_CALLER,COMPLETE,2483.638626607911,2483.638626607911,0.0,0.0,232.69377213970412,232.69377213970412,0.0,50,50,13266.0,13266.0,"time_varying_carbon_charge=2;hgs_population=1",2.8896684999926947,true,solver/reports/duty_hgs_private_three_region_probe_20260809/cy_mechanism_only_iter5_seed11
private_static,jingjinji,cn-jjj-50c-01-V2-LOCATIONS,system,11,5,STOPPED_BY_CALLER,COMPLETE,2675.9848129663887,2431.2175370626283,-244.7672759037605,-9.146811099889259,304.92816902642437,219.15740979427022,-85.77075923215415,50,50,13264.0,13264.0,"regret_insert=1;route_kernel=2;regret_insert_new_trip=4;hgs_population=2",10.126859500014689,true,solver/reports/duty_hgs_private_three_region_probe_20260809/jjj_system_iter5_seed11
private_static,jingjinji,cn-jjj-50c-01-V2-LOCATIONS,route_only,11,5,STOPPED_BY_CALLER,COMPLETE,2675.9848129663887,2431.2175370626283,-244.7672759037605,-9.146811099889259,304.92816902642437,219.15740979427022,-85.77075923215415,50,50,13264.0,13264.0,"regret_insert=1;route_kernel=2;regret_insert_new_trip=4;hgs_population=2",4.036318625003332,true,solver/reports/duty_hgs_private_three_region_probe_20260809/jjj_route_only_iter5_seed11
private_static,jingjinji,cn-jjj-50c-01-V2-LOCATIONS,mechanism_only,11,5,STOPPED_BY_CALLER,COMPLETE,2675.9848129663887,2675.9848129663887,0.0,0.0,304.92816902642437,304.92816902642437,0.0,50,50,13264.0,13264.0,"whole_duty_type_exchange=4;time_varying_carbon_charge=2;depot_collaboration=1;hgs_population=3;regret_insert=1;regret_insert_new_trip=1",40.88462220900692,true,solver/reports/duty_hgs_private_three_region_probe_20260809/jjj_mechanism_only_iter5_seed11
private_static,pearl_river_delta,cn-prd-50c-01-V2-LOCATIONS,system,11,5,STOPPED_BY_CALLER,COMPLETE,2020.7254397956153,1911.135942110573,-109.58949768504226,-5.423275004452193,212.86971418497873,156.66839629317005,-56.201317891808685,50,50,12223.0,12223.0,"route_kernel=2;whole_duty_type_exchange=1;hgs_population=2",19.91895041699172,true,solver/reports/duty_hgs_private_three_region_probe_20260809/prd_system_iter5_seed11
private_static,pearl_river_delta,cn-prd-50c-01-V2-LOCATIONS,route_only,11,5,STOPPED_BY_CALLER,COMPLETE,2020.7254397956153,2020.7254397956153,0.0,0.0,212.86971418497873,212.86971418497873,0.0,50,50,12223.0,12223.0,"route_kernel=5;hgs_population=3;regret_insert=2",0.4860589999880176,true,solver/reports/duty_hgs_private_three_region_probe_20260809/prd_route_only_iter5_seed11
private_static,pearl_river_delta,cn-prd-50c-01-V2-LOCATIONS,mechanism_only,11,5,STOPPED_BY_CALLER,COMPLETE,2020.7254397956153,2020.7254397956153,0.0,0.0,212.86971418497873,212.86971418497873,0.0,50,50,12223.0,12223.0,"whole_duty_type_exchange=1;time_varying_carbon_charge=2;hgs_population=2;regret_insert=2",19.5144926669891,true,solver/reports/duty_hgs_private_three_region_probe_20260809/prd_mechanism_only_iter5_seed11
private_dynamic,chengyu,cn-cy-50c-01-V2-LOCATIONS,system,11,5,COMPLETE,COMPLETE,2292.1622243164356,2270.7549714085662,-21.407252907869406,-0.9339327156154246,198.85251280535758,195.8781999895117,-2.9743128158458774,50,50,13266.0,13266.0,"hgs_population=2;regret_insert=2;route_kernel=3",,true,solver/reports/duty_hgs_dynamic_three_region_probe_20260809/cy_system_iter5_seed11
private_dynamic,jingjinji,cn-jjj-50c-01-V2-LOCATIONS,system,11,5,COMPLETE,COMPLETE,2316.97883865434,2257.55526974779,-59.42356890654992,-2.564700545174684,218.1172641893549,222.46782622946085,4.350562040105956,50,50,13264.0,13264.0,"hgs_population=3;regret_insert=1;regret_insert_new_trip=3;route_kernel=2",,true,solver/reports/duty_hgs_dynamic_three_region_probe_20260809/jjj_system_iter5_seed11
private_dynamic,pearl_river_delta,cn-prd-50c-01-V2-LOCATIONS,system,11,5,COMPLETE,COMPLETE,1868.072748818845,1868.072748818845,0.0,0.0,184.11467558395097,184.11467558395097,0.0,50,50,12223.0,12223.0,"hgs_population=3;regret_insert_new_trip=4;route_kernel=2;whole_duty_type_exchange=1",,true,solver/reports/duty_hgs_dynamic_three_region_probe_20260809/prd_system_iter5_seed11
private_static,chengyu,cn-cy-50c-01-V2-LOCATIONS,system,11,5,INTERRUPTED_BY_USER_AFTER_ITERATION_5,EXCLUDED,,,,,,,,,,,,"route_kernel=5;whole_duty_type_exchange=1;time_varying_carbon_charge=370",,false,solver/reports/duty_hgs_private_three_region_probe_20260809/cy_system_iter20_seed11
