algorithm,category,eval_budget,instance,prior_status,queue_action,replicate,runtime_cap_seconds,seed,size,stage
alns_e2_throughput,vanilla,64,e2-vanilla-10c-01,,PENDING,1,120.0,1,10,smoke
LNS,vanilla,64,e2-vanilla-10c-01,,PENDING,1,120.0,1,10,smoke
alns_e2_throughput,multidepot,64,e2-multidepot-100c-01,,PENDING,1,180.0,1,100,smoke
LNS,multidepot,64,e2-multidepot-100c-01,,PENDING,1,180.0,1,100,smoke
alns_e2_throughput,threeshift,64,e2-threeshift-200c-01,,PENDING,1,240.0,1,200,smoke
LNS,threeshift,64,e2-threeshift-200c-01,,PENDING,1,240.0,1,200,smoke
