arm,stream_seed,stages,evaluations_per_stage,total_evaluations,final_total_cost,final_total_emissions,final_cross_site_customer_count,final_dynamic_added_cross_site_customer_count,final_dynamic_added_cross_site_customer_ids,customer_accounting_pass,event_path,event_sha256,owner_path,owner_sha256,initial_solution_path,initial_solution_sha256,initial_certificate_path,initial_certificate_sha256,initial_total_cost,initial_total_emissions,initial_route_count,initial_charging_action_count,initial_cross_site_customer_count,trigger_mode,final_solution_path,final_solution_sha256,final_certificate_path,final_certificate_sha256,stage_evidence_path,stage_evidence_sha256
cooperative,1,7,400,2800,10005.372757074345,3204.439221177142,9,8,N_S1_001;N_S1_004;N_S1_007;N_S1_008;N_S1_011;N_S1_015;N_S1_016;N_S1_018,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed1.events.json,ae08f81e5b8efd93b6c2d95abc405623ae355926c4c23fd31681c0fa8824d6a9,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed1.owners.csv,66a6b7211192e69725d6fa76a3c747e8a855744570f9389229ca24fa804eebe1,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__independent.json,47884212a50d96e09b335f2ceb4f72a7314f52c9852c95f8cc0a5eb2a5e505a6,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__independent.json,97e019daafc6e0f8e6d7642db7fce674a3dd15a2627ac6f08332f2bef80d01be,6058.818401851069,1666.3475643684983,34,21,0,batched,baselines/e7_dynamic/e7_v2_20260714/preflight/shared_start_stream1_400_route_fix/solutions/stream1__cooperative.json,de102bfa83cdd74b043855005ecd1335d9c092d8306e47ade4a805c47f6dd2fe,baselines/e7_dynamic/e7_v2_20260714/preflight/shared_start_stream1_400_route_fix/certificates/stream1__cooperative.json,84f7a214f32cbf9b062a62a719cb975cc7b9b6578eb8a9e326c60b1c95365720,baselines/e7_dynamic/e7_v2_20260714/preflight/shared_start_stream1_400_route_fix/stage_evidence/stream1__cooperative.json,7376ecdb2236b0427c353b95d8cb5080bf1b8ac8eac8c0c34e05460e9dea94f9
independent,1,7,400,2800,9947.047219405435,2646.153407130363,0,0,,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed1.events.json,ae08f81e5b8efd93b6c2d95abc405623ae355926c4c23fd31681c0fa8824d6a9,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed1.owners.csv,66a6b7211192e69725d6fa76a3c747e8a855744570f9389229ca24fa804eebe1,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__independent.json,47884212a50d96e09b335f2ceb4f72a7314f52c9852c95f8cc0a5eb2a5e505a6,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__independent.json,97e019daafc6e0f8e6d7642db7fce674a3dd15a2627ac6f08332f2bef80d01be,6058.818401851069,1666.3475643684983,34,21,0,batched,baselines/e7_dynamic/e7_v2_20260714/preflight/shared_start_stream1_400_route_fix/solutions/stream1__independent.json,ea78bb4a3ee3a6a05efe90e890d76b96815138bc1a7869378a738e87b682ea17,baselines/e7_dynamic/e7_v2_20260714/preflight/shared_start_stream1_400_route_fix/certificates/stream1__independent.json,1fa3737caadd9007f42dbcc23a63abd004a85e667a2ec24141c8fe826c533af6,baselines/e7_dynamic/e7_v2_20260714/preflight/shared_start_stream1_400_route_fix/stage_evidence/stream1__independent.json,ac5b5ce5b8f77b2bea8497e4c4393283f1e63d56dfbaf321faac91f346aec853
