algorithm,instances,runs,sum_of_instance_avg_costs,mean_rank_by_instance_avg,best_instance_avg_count,mean_runtime_seconds
staged_hybrid_carbon_aware,9,90,35361.685547933725,1.7222222222222223,4,94.2857961569215
GA,9,90,39591.2557162299,5.222222222222222,0,124.64073531662272
PSO,9,90,41324.92162176103,7.333333333333333,0,160.0552346883898
VNS,9,90,39301.091048021284,3.7777777777777777,0,173.50092442593336
ACO,9,90,41494.29830497253,7.111111111111111,0,147.69883712222185
GA-VNS,9,90,36439.43927647702,3.2222222222222223,2,192.81359083102126
LNS,9,90,37039.73434849872,2.0555555555555554,4,323.21578846064506
GWO,9,90,40568.1563891233,5.777777777777778,0,670.0549092629442
IWD,9,90,48091.74577006814,8.777777777777779,0,274.64607486021094
