added_demand_kg,added_demand_pct_of_instance,addition_count,addition_median_due_minus_appearance_second,addition_min_due_minus_appearance_second,cancellation_count,cancelled_demand_kg,cancelled_demand_pct_of_instance,demand_change_count,event_count,first_event_second,initial_customer_count,instance_id,last_event_second,reduced_demand_kg,reduced_demand_pct_of_instance,region,stream_seed,stream_sha256
4652.0,17.044663466822996,20,21289.90722,7516.486680000002,8,2291.0,8.394093723665408,4,32,28980.0,80,cn-cy-100c-01-V2-LOCATIONS,35400.0,158.23255813953486,0.5797550952241779,cy,1,4a1f991722473ed97d8ffc6a51d2cca1332af82f707450f0f5dcb5b585a64750
5346.0,19.587440002931153,20,22261.123590000003,12842.531280000003,8,2084.0,7.635657494595684,4,32,28980.0,80,cn-cy-100c-01-V2-LOCATIONS,35400.0,192.25581395348834,0.7044143698145618,cy,2,93a3df2d1b4aec22e4b7b7a957c3717dd793cbab5adae2dd792205e1c2afd099
5418.0,19.85124390869454,20,20617.03104,8887.540679999998,8,2569.0,9.412669915362914,4,32,28980.0,80,cn-cy-100c-01-V2-LOCATIONS,35400.0,192.25581395348834,0.7044143698145618,cy,3,f9616c8b004a1ea0b5d947a440f0ffa26e35c57f22bb8058066eb69217f3ee9b
4931.0,18.0669036016561,20,20011.81173,11446.186020000001,8,1944.0,7.122705455611329,4,32,28980.0,80,cn-cy-100c-01-V2-LOCATIONS,35400.0,214.72093023255812,0.7867252783957723,cy,4,b8c824ccfcf5b54874e2d452b6ad8fb37bdc61b7756c5e889f892a905edca8aa
5139.0,18.82900377386143,20,19776.75027,10156.486680000002,8,2708.0,9.921958011211666,4,32,28980.0,80,cn-cy-100c-01-V2-LOCATIONS,35400.0,146.99999999999997,0.5385996409335726,cy,5,b92ffc68744d5ee4f8d9ee5757806d1d3247741a1d9aa1d05fd20ca70c9419cf
5209.0,19.085479793353606,20,18916.05096,10156.486680000002,8,1666.0,6.1041292639138245,4,32,28980.0,80,cn-cy-100c-01-V2-LOCATIONS,35400.0,158.39534883720927,0.5803515510834619,cy,6,ccbe29ece0c175b1fdd569465fe9782bbae14dbbcb627282adeca2e8c5dffa07
5417.0,19.847579965558936,20,21816.063810000003,7516.486680000002,8,2014.0,7.379181475103507,4,32,28980.0,80,cn-cy-100c-01-V2-LOCATIONS,35400.0,203.48837209302323,0.745569824105167,cy,7,45492a3f4020aee284ddcce607041c8da097fd299a7652baa7fec85c80a65dde
5069.0,18.57252775436925,20,22834.50273,14468.998019999999,8,2152.0,7.8848056278166565,4,32,28980.0,80,cn-cy-100c-01-V2-LOCATIONS,35400.0,135.6046511627907,0.4968477307836834,cy,8,d16fc87cfa0b1e2abb4a32f65b7acc047c23ac12ec7903023b6427beece4970c
5069.0,18.57252775436925,20,19881.630149999997,8887.540679999998,8,2709.0,9.92562195434727,4,32,28980.0,80,cn-cy-100c-01-V2-LOCATIONS,35400.0,113.13953488372093,0.4145368222024729,cy,9,704b8f036a17b52a84fb07fcd7a661af5a9b1efcd9dc2a5b0c511847d54c3fac
5556.0,20.35686806140769,20,19578.86325,11446.186020000001,8,1598.0,5.854981130692852,4,32,28980.0,80,cn-cy-100c-01-V2-LOCATIONS,35400.0,203.48837209302323,0.745569824105167,cy,10,cacec298d7c508708e9f94fac34bbfad9c5bf6294c5ca18d27ba3e6be344d18d
