instance_id,base_seed,arm,elapsed_seconds,objective,feasible,violation_count,route_count,ev_route_count,charging_action_count,distance_m,emissions_kg,solution_sha256
cn-jjj-25c-01-V2-LOCATIONS,1,homogeneous_cv_only,2.3288199169910513,1253.672412632888,True,0,4,0,0,334818.394519722,119.51080590504093,755694a355a6ef7242df08e45d40830e77dd6c91e7bd5057cdfa91f2f7634663
cn-jjj-25c-01-V2-LOCATIONS,1,homogeneous_naive_ev,2.2461974159814417,1217.5293306722904,True,0,4,1,1,349935.094318361,101.3412360555149,08cd634e7d5983bf4c987ef94eebcf2372646928324f4ef5844bc1943ac344ad
cn-jjj-25c-01-V2-LOCATIONS,1,homogeneous_mechanism_ev,2.2289407920325175,1217.5293306722904,True,0,4,1,1,349935.094318361,101.3412360555149,227ffb6be7c883b3dec935e3c76ed53225bb583dd0d27a9e0002579783cef484
cn-jjj-25c-01-V2-LOCATIONS,1,amv_hgs_alns,2.3468995839939453,1253.672412632888,True,0,4,0,0,334818.394519722,119.51080590504093,f8d86c492f85e1c8ed5c61be2ad5ed94ae9ac55845399e709bb60460835a067c
cn-prd-75c-01-V2-LOCATIONS,1,homogeneous_cv_only,2.7423377920058556,3625.9502374323624,True,0,13,0,0,826942.819666649,296.4956658964593,a2fad0e236668234219334b20c573d3347b26f28c48e7df8efcbf1895fd4d277
cn-prd-75c-01-V2-LOCATIONS,1,homogeneous_naive_ev,2.866544749995228,3822.8831222833023,True,0,13,1,1,971235.1257713101,325.6924946009405,ef6b378ae251a089dec650218904e6ef62ec4974afc67ba9db3dbdf91afb8c85
cn-prd-75c-01-V2-LOCATIONS,1,homogeneous_mechanism_ev,3.479673333989922,3822.8831222833023,True,0,13,1,1,971235.1257713101,325.6924946009405,ef6b378ae251a089dec650218904e6ef62ec4974afc67ba9db3dbdf91afb8c85
cn-prd-75c-01-V2-LOCATIONS,1,amv_hgs_alns,4.4954483329784125,3593.385330358217,True,0,13,1,1,826906.136078792,278.64537697416205,60d4a0e17075efc4af2d9d3eddb350d80189bbe554790b6d5200e698a7d5c0af
cn-cy-150c-01-V2-LOCATIONS,1,homogeneous_cv_only,3.9751100409775972,7582.779542223795,True,0,26,1,1,1871700.620778282,638.7305121812877,4b01f5dfed4e95bec70ef703f723df9426ddb13b47b81710e9e5f7db2f775c92
cn-cy-150c-01-V2-LOCATIONS,1,homogeneous_naive_ev,4.3610654170042835,8415.881190547478,True,0,26,2,2,2391429.119105991,797.9552494140898,38b40e8a0f761027fcb7803953ad6841fac1d67890d5be991dfa5de3cb3607b6
cn-cy-150c-01-V2-LOCATIONS,1,homogeneous_mechanism_ev,6.8580855000182055,8415.881190547478,True,0,26,2,2,2391429.119105991,797.9552494140898,38b40e8a0f761027fcb7803953ad6841fac1d67890d5be991dfa5de3cb3607b6
cn-cy-150c-01-V2-LOCATIONS,1,amv_hgs_alns,6.668724958028179,7582.779542223795,True,0,26,1,1,1871700.620778282,638.7305121812877,4b01f5dfed4e95bec70ef703f723df9426ddb13b47b81710e9e5f7db2f775c92
