instance,bks_2013,new_best,improvement,improvement_scaled,certificate,cost_match,served_once,vehicle_caps_ok,capacity_viol,tw_viol,dur_viol
PR12A,8148.107,8148.084,0.023,23,PASS,True,True,True,0,0,0
PR13B,7201.765,7200.355,1.41,1410,PASS,True,True,True,0,0,0
PR14A,10925.67,10913.754,11.916,11916,PASS,True,True,True,0,0,0
PR14B,8656.335,8654.168,2.167,2167,PASS,True,True,True,0,0,0
PR15A,12714.063,12710.294,3.769,3769,PASS,True,True,True,0,0,0
PR15B,10223.105,10221.906,1.199,1199,PASS,True,True,True,0,0,0
PR16A,13992.681,13984.537,8.144,8144,PASS,True,True,True,0,0,0
PR16B,11225.795,11225.109,0.686,686,PASS,True,True,True,0,0,0
PR18A,8183.231,8182.711,0.52,520,PASS,True,True,True,0,0,0
PR19A,10521.112,10499.569,21.543,21543,PASS,True,True,True,0,0,0
PR19B,8061.518,8060.194,1.324,1324,PASS,True,True,True,0,0,0
PR20A,11686.369,11685.173,1.196,1196,PASS,True,True,True,0,0,0
PR20B,10013.395,10012.921,0.474,474,PASS,True,True,True,0,0,0
PR22B,6403.374,6403.042,0.332,332,PASS,True,True,True,0,0,0
PR23A,9726.158,9719.108,7.05,7050,PASS,True,True,True,0,0,0
PR23B,8317.649,8317.637,0.012,12,PASS,True,True,True,0,0,0
PR24A,11638.608,11634.073,4.535,4535,PASS,True,True,True,0,0,0
PR24B,10486.45,10482.875,3.575,3575,PASS,True,True,True,0,0,0
