instance_id,k_seeds,best_of_k,sp_cost,gain_vs_best_of_k,columns,milp_seconds,bks,best_of_k_error_pct,sp_error_pct,new_bks
PR17B,2,4776.851,4776.851,0.0,277,0.04,4771.155,0.11938409043512341,0.11938409043512341,False
PR17B,4,4772.545,4772.545,0.0,767,0.28,4771.155,0.02913340690043244,0.02913340690043244,False
PR17B,6,4772.545,4771.155,1.3900000000003274,1129,0.7,4771.155,0.02913340690043244,0.0,False
PR17B,8,4772.385,4771.155,1.230000000000473,1483,1.64,4771.155,0.02577992121405557,0.0,False
PR17B,10,4772.385,4771.155,1.230000000000473,1679,1.95,4771.155,0.02577992121405557,0.0,False
PR21B,2,4838.072,4838.072,0.0,425,0.04,4822.337,0.32629407691747114,0.32629407691747114,False
PR21B,4,4829.522,4826.451,3.0709999999999127,655,0.11,4822.337,0.14899414951712187,0.08531133348829784,False
PR21B,6,4829.522,4826.451,3.0709999999999127,908,0.21,4822.337,0.14899414951712187,0.08531133348829784,False
PR21B,8,4829.522,4826.451,3.0709999999999127,1359,0.74,4822.337,0.14899414951712187,0.08531133348829784,False
PR21B,10,4822.337,4822.337,0.0,1564,0.84,4822.337,0.0,0.0,False
PR11B,2,4817.577,4817.453,0.12399999999979627,327,0.03,4814.803,0.05761398752971497,0.05503859659472144,False
PR11B,4,4817.577,4815.348,2.229000000000269,742,0.16,4814.803,0.05761398752971497,0.011319258544951326,False
PR11B,6,4817.577,4815.348,2.229000000000269,895,0.36,4814.803,0.05761398752971497,0.011319258544951326,False
PR11B,8,4817.577,4815.348,2.229000000000269,1021,0.52,4814.803,0.05761398752971497,0.011319258544951326,False
PR11B,10,4817.577,4815.348,2.229000000000269,1151,0.72,4814.803,0.05761398752971497,0.011319258544951326,False
PR21A,2,6247.48,6244.371,3.108999999999469,423,0.04,6230.046,0.27983742014102764,0.229934096794788,False
PR21A,4,6234.884,6234.394,0.4899999999997817,557,0.05,6230.046,0.07765592742011436,0.0697908169538388,False
PR21A,6,6234.884,6234.394,0.4899999999997817,880,0.18,6230.046,0.07765592742011436,0.0697908169538388,False
PR21A,8,6234.884,6234.394,0.4899999999997817,954,0.21,6230.046,0.07765592742011436,0.0697908169538388,False
PR21A,10,6234.884,6234.394,0.4899999999997817,1187,0.34,6230.046,0.07765592742011436,0.0697908169538388,False
PR12B,2,6035.416,6035.416,0.0,579,0.15,6004.834,0.5092896822793158,0.5092896822793158,False
PR12B,4,6018.256,6018.256,0.0,907,0.38,6004.834,0.2235199174531799,0.2235199174531799,False
PR12B,6,6018.256,6018.256,0.0,1200,1.17,6004.834,0.2235199174531799,0.2235199174531799,False
PR12B,8,6018.256,6018.256,0.0,1419,2.63,6004.834,0.2235199174531799,0.2235199174531799,False
PR12B,10,6018.256,6018.256,0.0,1856,5.01,6004.834,0.2235199174531799,0.2235199174531799,False
