instance_id,seed,arm,n_clients,mother_cost,final_cost,final_source,improvement_percent,final_pool_size,sp_wins,hgs_wins,epochs_run,cpu_seconds
PR16A,1,base,960,14657.261,14427.883,hgs_epoch3,1.5649445008859473,609,4,4,4,532.5
PR16B,1,base,960,11703.861,11587.368,hgs_epoch3,0.9953382050590005,757,3,4,4,511.4
PR20A,1,base,880,12122.289,11910.286,hgs_epoch3,1.7488693760724612,517,4,4,4,443.9
PR24A,1,base,960,12098.684,11949.072,hgs_epoch3,1.236597302648777,481,4,4,4,544.9
PR17B,1,base,360,4830.878,4806.936,hgs_epoch3,0.4956034907112125,89,4,3,4,109.4
PR21B,1,base,420,4904.148,4886.968,sp_epoch2,0.3503156919407875,110,3,2,4,136.5
PR16A,1,safecap,960,14657.261,14427.883,hgs_epoch3,1.5649445008859473,609,4,4,4,521.9
PR16B,1,safecap,960,11703.861,11545.097,hgs_epoch3,1.3565096167837352,750,4,4,4,504.4
PR20A,1,safecap,880,12122.289,11910.286,hgs_epoch3,1.7488693760724612,517,4,4,4,489.7
PR24A,1,safecap,960,12098.684,11949.072,hgs_epoch3,1.236597302648777,481,4,4,4,582.5
PR17B,1,safecap,360,4830.878,4806.936,hgs_epoch3,0.4956034907112125,89,4,3,4,94.6
PR21B,1,safecap,420,4904.148,4886.968,sp_epoch2,0.3503156919407875,110,3,2,4,124.9
PR16A,1,richpool,960,14657.261,14385.457,hgs_epoch3,1.8543983081150024,4604,2,4,4,533.0
PR16B,1,richpool,960,11703.861,11562.377,hgs_epoch3,1.2088660314745738,5972,1,4,4,522.4
PR20A,1,richpool,880,12122.289,11950.912,hgs_epoch3,1.4137346502793358,3420,4,4,4,474.9
PR24A,1,richpool,960,12098.684,11915.991,hgs_epoch3,1.5100237348128054,2879,3,4,4,516.2
PR17B,1,richpool,360,4830.878,4808.176,sp_epoch3,0.46993527884577746,758,4,0,4,103.0
PR21B,1,richpool,420,4904.148,4893.05,sp_epoch3,0.226298227541256,890,3,2,4,102.3
