instance_id,seed,arm,n_clients,iterations_budget,iterations_run,final_cost,final_source,cpu_seconds
PR16A,2,hybrid,960,6200,6200,14346.363,hgs3,507.5
PR16B,2,hybrid,960,6200,6200,11441.911,hgs3,428.5
PR20A,2,hybrid,880,6200,6200,12032.224,hgs3,408.9
PR24A,2,hybrid,960,6200,6200,11905.295,hgs3,505.9
PR17B,2,hybrid,360,6200,6200,4805.25,sp1,93.1
PR21B,2,hybrid,420,6200,6200,4856.012,hgs3,136.7
PR16A,2,mother_equal,960,6200,6200,14405.632,mother,474.3
PR16B,2,mother_equal,960,6200,6200,11413.658,mother,398.3
PR20A,2,mother_equal,880,6200,6200,12091.727,mother,373.4
PR24A,2,mother_equal,960,6200,6200,11985.417,mother,477.8
PR17B,2,mother_equal,360,6200,6200,4808.047,mother,75.9
PR21B,2,mother_equal,420,6200,6200,4854.834,mother,111.7
PR16A,3,hybrid,960,6200,6200,14395.834,hgs3,444.0
PR16B,3,hybrid,960,6200,6200,11574.194,hgs3,397.9
PR20A,3,hybrid,880,6200,6200,11944.01,hgs3,357.9
PR24A,3,hybrid,960,6200,6200,12002.967,hgs3,480.4
PR17B,3,hybrid,360,6200,6200,4816.986,sp3,89.9
PR21B,3,hybrid,420,6200,6200,4829.508,sp3,104.8
PR16A,3,mother_equal,960,6200,6200,14473.778,mother,442.4
PR16B,3,mother_equal,960,6200,6200,11554.226,mother,404.5
PR20A,3,mother_equal,880,6200,6200,11985.797,mother,350.0
PR24A,3,mother_equal,960,6200,6200,11954.24,mother,453.0
PR17B,3,mother_equal,360,6200,6200,4836.773,mother,88.5
PR21B,3,mother_equal,420,6200,6200,4834.264,mother,101.6
PR16A,4,hybrid,960,6200,6200,14308.96,hgs3,406.7
PR16B,4,hybrid,960,6200,6200,11490.002,hgs3,401.3
PR20A,4,hybrid,880,6200,6200,11957.429,hgs3,350.6
PR24A,4,hybrid,960,6200,6200,11902.494,hgs3,457.9
PR17B,4,hybrid,360,6200,6200,4814.546,sp1,78.6
PR21B,4,hybrid,420,6200,6200,4846.732,hgs3,111.6
PR16A,4,mother_equal,960,6200,6200,14290.994,mother,391.5
PR16B,4,mother_equal,960,6200,6200,11538.046,mother,401.8
PR20A,4,mother_equal,880,6200,6200,11967.771,mother,346.3
PR24A,4,mother_equal,960,6200,6200,11914.76,mother,457.1
PR17B,4,mother_equal,360,6200,6200,4815.302,mother,76.6
PR21B,4,mother_equal,420,6200,6200,4839.742,mother,106.6
PR16A,5,hybrid,960,6200,6200,14427.963,hgs3,465.4
PR16B,5,hybrid,960,6200,6200,11494.029,hgs3,407.4
PR20A,5,hybrid,880,6200,6200,12018.144,hgs3,377.0
PR24A,5,hybrid,960,6200,6200,11965.989,sp3,464.1
PR17B,5,hybrid,360,6200,6200,4806.826,hgs3,82.1
PR21B,5,hybrid,420,6200,6200,4878.414,hgs3,113.9
PR16A,5,mother_equal,960,6200,6200,14443.134,mother,434.2
PR16B,5,mother_equal,960,6200,6200,11512.559,mother,373.1
PR20A,5,mother_equal,880,6200,6200,11996.298,mother,297.5
PR24A,5,mother_equal,960,6200,6200,12024.593,mother,356.7
PR17B,5,mother_equal,360,6200,6200,4809.504,mother,79.0
PR21B,5,mother_equal,420,6200,6200,4866.968,mother,96.7
