instance_id,k_seeds,best_of_k,sp_cost,gain_vs_best_of_k,columns,milp_seconds,bks,best_of_k_error_pct,sp_error_pct,new_bks
PR17B,2,4777.635,4776.851,0.7840000000005602,443,0.07,4771.155,0.13581617029839677,0.11938409043512341,False
PR17B,4,4777.635,4776.851,0.7840000000005602,1077,0.5,4771.155,0.13581617029839677,0.11938409043512341,False
PR17B,6,4777.635,4776.851,0.7840000000005602,1528,1.53,4771.155,0.13581617029839677,0.11938409043512341,False
PR17B,8,4776.027,4771.155,4.872000000000298,1868,2.23,4771.155,0.1021136391502749,0.0,False
PR17B,10,4776.027,4771.155,4.872000000000298,2064,2.93,4771.155,0.1021136391502749,0.0,False
PR21B,2,4854.834,4843.587,11.246999999999389,448,0.06,4822.337,0.6738848819565988,0.44065771429910433,False
PR21B,4,4829.522,4826.451,3.0709999999999127,830,0.19,4822.337,0.14899414951712187,0.08531133348829784,False
PR21B,6,4829.522,4826.451,3.0709999999999127,1274,0.43,4822.337,0.14899414951712187,0.08531133348829784,False
PR21B,8,4829.522,4826.451,3.0709999999999127,1575,0.83,4822.337,0.14899414951712187,0.08531133348829784,False
PR21B,10,4829.522,4826.451,3.0709999999999127,1745,1.35,4822.337,0.14899414951712187,0.08531133348829784,False
PR11B,2,4837.779,4836.573,1.206000000000131,447,0.07,4814.803,0.47719501711701534,0.45214726334598604,False
PR11B,4,4837.779,4832.33,5.449000000000524,1101,0.84,4814.803,0.47719501711701534,0.3640232009492402,False
PR11B,6,4834.547,4832.33,2.2169999999996435,1537,2.94,4814.803,0.41006869855318456,0.3640232009492402,False
PR11B,8,4820.019,4819.579,0.4400000000005093,1977,2.54,4814.803,0.10833257352378382,0.09919408956087798,False
PR11B,10,4820.019,4819.579,0.4400000000005093,2099,3.29,4814.803,0.10833257352378382,0.09919408956087798,False
PR21A,2,6247.48,6244.371,3.108999999999469,301,0.02,6230.046,0.27983742014102764,0.229934096794788,False
PR21A,4,6238.078,6234.394,3.6840000000001965,656,0.07,6230.046,0.12892360666358085,0.0697908169538388,False
PR21A,6,6238.078,6234.394,3.6840000000001965,927,0.16,6230.046,0.12892360666358085,0.0697908169538388,False
PR21A,8,6234.989,6234.394,0.5949999999993452,1152,0.26,6230.046,0.07934130823431002,0.0697908169538388,False
PR21A,10,6234.989,6234.394,0.5949999999993452,1314,0.38,6230.046,0.07934130823431002,0.0697908169538388,False
PR12B,2,6046.738,6046.738,0.0,420,0.04,6004.834,0.6978377753656546,0.6978377753656546,False
PR12B,4,6036.057,6031.045,5.011999999999716,957,0.39,6004.834,0.5199644153360435,0.43649832784720183,False
PR12B,6,6036.057,6031.045,5.011999999999716,1705,5.42,6004.834,0.5199644153360435,0.43649832784720183,False
PR12B,8,6030.547,6029.006,1.5409999999992579,1946,7.82,6004.834,0.42820500949734397,0.4025423517119787,False
PR12B,10,6030.547,6029.006,1.5409999999992579,2212,14.91,6004.834,0.42820500949734397,0.4025423517119787,False
