instance_id,k_seeds,best_of_k,sp_cost,gain_vs_best_of_k,bks,best_of_k_error_pct,sp_error_pct,new_bks,columns,nonzeros,density_pct,milp_seconds,status,message,mip_gap,hit_time_limit
PR16A,10,14155.593,14227.757,-72.16399999999885,13992.681,1.1642658043873098,1.679992561825708,False,4458,55042,1.2861,300.05,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.01373554524441242,True
PR16B,10,11319.442,11392.441,-72.99900000000162,11225.795,0.8342126326019584,1.4844917442372734,False,5080,68324,1.401,300.03,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.011215945730866088,True
PR20A,10,11846.953,11840.185,6.768000000000029,11686.369,1.3741137217214254,1.316200096026395,False,4676,58867,1.4306,300.18,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.01256340166982064,True
PR24A,10,11749.273,11736.691,12.581999999998516,11638.608,0.950843949723189,0.8427382381123286,False,4603,56919,1.2881,300.06,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.006148410995806865,True
