instance_id,seed,arm,runs,iters_per_run,iters_total,best_single_run_cost,final_cost,sp_cost,sp_improved,pool_columns,milp_seconds,bks,error_vs_bks_pct,cpu_seconds
PR17B,1,single,1,16000,16000,4809.226,4809.226,,False,198,0.0,4771.155,0.7979409597885609,197.5
PR21B,1,single,1,16000,11043,4856.437,4856.437,,False,173,0.0,4822.337,0.7071260262399631,169.4
PR11B,1,single,1,16000,11413,4838.505,4838.505,,False,182,0.0,4814.803,0.4922735156557855,123.8
PR21A,1,single,1,16000,16000,6238.769,6238.769,,False,131,0.0,6230.046,0.14001501754561613,226.0
PR17B,1,pool4,4,4000,16000,4814.085,4803.566,4803.566,True,1022,0.66,4771.155,0.6793114036328742,202.8
PR21B,1,pool4,4,4000,16000,4864.703,4856.244,4856.244,True,1035,0.6,4822.337,0.7031238173524422,274.9
PR11B,1,pool4,4,4000,16000,4838.952,4838.505,4838.505,True,954,1.28,4814.803,0.4922735156557855,190.3
PR21A,1,pool4,4,4000,16000,6259.756,6249.407,6249.407,True,1303,0.73,6230.046,0.3107681708931182,272.0
PR17B,1,pool8,8,2000,16000,4826.955,4788.152,4788.152,True,3002,14.19,4771.155,0.35624497632125346,227.0
PR21B,1,pool8,8,2000,16000,4888.03,4853.235,4853.235,True,3426,16.91,4822.337,0.6407266850076887,309.5
PR11B,1,pool8,8,2000,16000,4859.939,4838.653,4838.653,True,3449,51.29,4814.803,0.49534736935239854,262.7
PR21A,1,pool8,8,2000,16000,6350.695,6239.124,6239.124,True,4071,8.96,6230.046,0.14571320982219904,308.2
PR17B,2,single,1,16000,14845,4815.586,4815.586,,False,390,0.0,4771.155,0.931242015822175,181.0
PR21B,2,single,1,16000,16000,4863.4,4863.4,,False,245,0.0,4822.337,0.8515165986947654,210.3
PR11B,2,single,1,16000,12102,4836.023,4836.023,,False,215,0.0,4814.803,0.4407241583923632,123.3
PR21A,2,single,1,16000,14633,6257.392,6257.392,,False,176,0.0,6230.046,0.43893736900176256,199.8
PR17B,2,pool4,4,4000,16000,4806.194,4789.3,4789.3,True,1331,1.53,4771.155,0.38030623612103226,196.0
PR21B,2,pool4,4,4000,16000,4859.371,4846.893,4846.893,True,1273,1.36,4822.337,0.5092136862272293,260.8
PR11B,2,pool4,4,4000,16000,4852.501,4846.352,4846.352,True,1411,3.1,4814.803,0.6552500694213237,188.0
PR21A,2,pool4,4,4000,16000,6280.948,6265.488,6265.488,True,1344,2.19,6230.046,0.5688882553997194,273.2
PR17B,2,pool8,8,2000,16000,4842.371,4793.201,4793.201,True,2774,24.36,4771.155,0.46206840901207946,235.2
PR21B,2,pool8,8,2000,16000,4879.015,4843.696,4843.696,True,3699,22.24,4822.337,0.4429180291630275,310.5
PR11B,2,pool8,8,2000,16000,4882.533,4842.493,4842.493,True,3086,21.12,4814.803,0.5751014112103966,224.9
PR21A,2,pool8,8,2000,16000,6306.191,6259.251,6259.251,True,4253,15.63,6230.046,0.4687766350360804,315.9
PR17B,3,single,1,16000,16000,4801.523,4801.523,,False,272,0.0,4771.155,0.6364915832749176,189.0
PR21B,3,single,1,16000,16000,4888.59,4888.59,,False,382,0.0,4822.337,1.3738774374333378,247.5
PR11B,3,single,1,16000,16000,4818.86,4818.86,,False,119,0.0,4814.803,0.08426097599423671,164.1
PR21A,3,single,1,16000,16000,6302.677,6302.677,,False,288,0.0,6230.046,1.1658180372985913,239.6
PR17B,3,pool4,4,4000,16000,4819.795,4788.279,4788.279,True,1168,1.66,4771.155,0.358906805584826,194.5
PR21B,3,pool4,4,4000,16000,4861.388,4838.265,4838.265,True,1047,0.54,4822.337,0.3302962858049921,268.9
PR11B,3,pool4,4,4000,16000,4848.378,4825.079,4825.079,True,1038,0.55,4814.803,0.21342513909706878,193.5
PR21A,3,pool4,4,4000,16000,6316.828,6264.375,6264.375,True,1500,1.87,6230.046,0.5510232187691667,265.0
PR17B,3,pool8,8,2000,16000,4827.111,4791.671,4791.671,True,2742,8.18,4771.155,0.4300007021360767,212.6
PR21B,3,pool8,8,2000,16000,4922.414,4851.068,4851.068,True,3829,13.2,4822.337,0.5957899665659983,267.4
PR11B,3,pool8,8,2000,16000,4875.434,4837.2,4837.2,True,3864,43.54,4814.803,0.4651696029931014,237.7
PR21A,3,pool8,8,2000,16000,6384.315,6286.317,6286.317,True,4730,60.03,6230.046,0.9032196551999734,295.4
