algorithm,candidate,closure_accepted_flips,closure_attempts,instance,joint_cost,joint_ev_routes,joint_routes,repack_cost,repack_ev_routes,repack_feasible,repack_routes,run_id,scale,seed
ALNS_T3,trial1:current_order,5,42,L-main-threeshift-20c-01,1209.390415895477,6,7,1363.407464834008,1,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed1,small,1
ALNS_T3,trial1:two_opt_order,5,42,L-main-threeshift-20c-01,1392.5925081521264,6,7,1578.9731245634696,1,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed1,small,1
ALNS_T3,trial1:double_bridge_order,5,48,L-main-threeshift-20c-01,1546.2829347574852,6,8,1659.9870965764435,1,True,8,small__L-main-threeshift-20c-01__ALNS_T3__seed1,small,1
ALNS_T3,trial1:depot_group_shuffle_order,6,56,L-main-threeshift-20c-01,1362.2737056514259,7,8,1559.3081776587737,1,True,8,small__L-main-threeshift-20c-01__ALNS_T3__seed1,small,1
ALNS_T3,trial2:current_order,5,42,L-main-threeshift-20c-01,1209.390415895477,6,7,1363.407464834008,1,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed1,small,1
ALNS_T3,trial2:two_opt_order,4,35,L-main-threeshift-20c-01,1391.2145927608267,5,7,1534.8339612296413,1,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed1,small,1
ALNS_T3,trial2:double_bridge_order,5,48,L-main-threeshift-20c-01,1546.2829347574852,6,8,1659.9870965764435,1,True,8,small__L-main-threeshift-20c-01__ALNS_T3__seed1,small,1
ALNS_T3,trial2:depot_group_shuffle_order,5,48,L-main-threeshift-20c-01,1386.9013633065697,6,8,1547.094358470214,1,True,8,small__L-main-threeshift-20c-01__ALNS_T3__seed1,small,1
ALNS_T3,trial3:current_order,5,42,L-main-threeshift-20c-01,1209.390415895477,6,7,1363.407464834008,1,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed1,small,1
ALNS_T3,trial3:two_opt_order,6,56,L-main-threeshift-20c-01,1353.0521615946564,7,8,1537.1219661834825,1,True,8,small__L-main-threeshift-20c-01__ALNS_T3__seed1,small,1
ALNS_T3,trial3:double_bridge_order,5,48,L-main-threeshift-20c-01,1546.2829347574852,6,8,1659.9870965764435,1,True,8,small__L-main-threeshift-20c-01__ALNS_T3__seed1,small,1
ALNS_T3,trial3:depot_group_shuffle_order,6,56,L-main-threeshift-20c-01,1362.2737056514259,7,8,1559.3081776587737,1,True,8,small__L-main-threeshift-20c-01__ALNS_T3__seed1,small,1
ALNS_T3,trial4:current_order,5,42,L-main-threeshift-20c-01,1209.390415895477,6,7,1363.407464834008,1,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed1,small,1
ALNS_T3,trial4:two_opt_order,6,56,L-main-threeshift-20c-01,1483.496792863474,7,8,1667.7315950600457,1,True,8,small__L-main-threeshift-20c-01__ALNS_T3__seed1,small,1
ALNS_T3,trial4:double_bridge_order,5,48,L-main-threeshift-20c-01,1546.2829347574852,6,8,1659.9870965764435,1,True,8,small__L-main-threeshift-20c-01__ALNS_T3__seed1,small,1
ALNS_T3,trial4:depot_group_shuffle_order,5,48,L-main-threeshift-20c-01,1386.9013633065697,6,8,1547.094358470214,1,True,8,small__L-main-threeshift-20c-01__ALNS_T3__seed1,small,1
LNS,trial1:current_order,5,42,L-main-threeshift-20c-01,1250.9388130929538,6,7,1414.2901894897077,1,True,7,small__L-main-threeshift-20c-01__LNS__seed1,small,1
LNS,trial1:two_opt_order,4,35,L-main-threeshift-20c-01,1458.679755519443,5,7,1604.8662563009134,1,True,7,small__L-main-threeshift-20c-01__LNS__seed1,small,1
LNS,trial1:double_bridge_order,5,42,L-main-threeshift-20c-01,1352.5144184658866,6,7,1559.2240975629854,1,True,7,small__L-main-threeshift-20c-01__LNS__seed1,small,1
LNS,trial1:depot_group_shuffle_order,5,48,L-main-threeshift-20c-01,1494.0679040724133,6,8,1666.1113692447818,1,True,8,small__L-main-threeshift-20c-01__LNS__seed1,small,1
LNS,trial2:current_order,5,42,L-main-threeshift-20c-01,1250.9388130929538,6,7,1414.2901894897077,1,True,7,small__L-main-threeshift-20c-01__LNS__seed1,small,1
LNS,trial2:two_opt_order,5,42,L-main-threeshift-20c-01,1284.6888781763555,6,7,1460.8264518403753,1,True,7,small__L-main-threeshift-20c-01__LNS__seed1,small,1
LNS,trial2:double_bridge_order,5,42,L-main-threeshift-20c-01,1352.5144184658866,6,7,1559.2240975629854,1,True,7,small__L-main-threeshift-20c-01__LNS__seed1,small,1
LNS,trial2:depot_group_shuffle_order,7,72,L-main-threeshift-20c-01,1523.771292955609,8,9,1722.998412644757,1,True,9,small__L-main-threeshift-20c-01__LNS__seed1,small,1
LNS,trial3:current_order,5,42,L-main-threeshift-20c-01,1250.9388130929538,6,7,1414.2901894897077,1,True,7,small__L-main-threeshift-20c-01__LNS__seed1,small,1
LNS,trial3:two_opt_order,4,35,L-main-threeshift-20c-01,1445.0572216359399,5,7,1581.418045839313,1,True,7,small__L-main-threeshift-20c-01__LNS__seed1,small,1
LNS,trial3:double_bridge_order,5,42,L-main-threeshift-20c-01,1352.5144184658866,6,7,1559.2240975629854,1,True,7,small__L-main-threeshift-20c-01__LNS__seed1,small,1
LNS,trial3:depot_group_shuffle_order,5,48,L-main-threeshift-20c-01,1494.0679040724133,6,8,1666.1113692447818,1,True,8,small__L-main-threeshift-20c-01__LNS__seed1,small,1
LNS,trial4:current_order,5,42,L-main-threeshift-20c-01,1250.9388130929538,6,7,1414.2901894897077,1,True,7,small__L-main-threeshift-20c-01__LNS__seed1,small,1
LNS,trial4:two_opt_order,4,40,L-main-threeshift-20c-01,1642.8499938393952,5,8,1725.2751969157962,1,True,8,small__L-main-threeshift-20c-01__LNS__seed1,small,1
LNS,trial4:double_bridge_order,5,42,L-main-threeshift-20c-01,1352.5144184658866,6,7,1559.2240975629854,1,True,7,small__L-main-threeshift-20c-01__LNS__seed1,small,1
LNS,trial4:depot_group_shuffle_order,7,72,L-main-threeshift-20c-01,1523.771292955609,8,9,1722.998412644757,1,True,9,small__L-main-threeshift-20c-01__LNS__seed1,small,1
SA,trial1:current_order,3,24,L-main-threeshift-20c-01,1601.6794008253967,4,6,1741.8824644946903,1,True,6,small__L-main-threeshift-20c-01__SA__seed1,small,1
SA,trial1:two_opt_order,2,21,L-main-threeshift-20c-01,2103.2767915882173,3,7,2165.590532205284,1,True,7,small__L-main-threeshift-20c-01__SA__seed1,small,1
SA,trial1:double_bridge_order,3,24,L-main-threeshift-20c-01,1751.198670793297,4,6,1914.9291012023873,1,True,6,small__L-main-threeshift-20c-01__SA__seed1,small,1
SA,trial1:depot_group_shuffle_order,5,42,L-main-threeshift-20c-01,1575.3945582355466,6,7,1760.331455684055,1,True,7,small__L-main-threeshift-20c-01__SA__seed1,small,1
SA,trial2:current_order,3,24,L-main-threeshift-20c-01,1601.6794008253967,4,6,1741.8824644946903,1,True,6,small__L-main-threeshift-20c-01__SA__seed1,small,1
SA,trial2:two_opt_order,5,42,L-main-threeshift-20c-01,1674.280391165363,6,7,1898.6550517218789,1,True,7,small__L-main-threeshift-20c-01__SA__seed1,small,1
SA,trial2:double_bridge_order,3,24,L-main-threeshift-20c-01,1751.198670793297,4,6,1914.9291012023873,1,True,6,small__L-main-threeshift-20c-01__SA__seed1,small,1
SA,trial2:depot_group_shuffle_order,2,18,L-main-threeshift-20c-01,1615.0805629239826,3,6,1688.608471736239,1,True,6,small__L-main-threeshift-20c-01__SA__seed1,small,1
SA,trial3:current_order,3,24,L-main-threeshift-20c-01,1601.6794008253967,4,6,1741.8824644946903,1,True,6,small__L-main-threeshift-20c-01__SA__seed1,small,1
SA,trial3:two_opt_order,3,24,L-main-threeshift-20c-01,1626.340975760886,4,6,1766.5440394301797,1,True,6,small__L-main-threeshift-20c-01__SA__seed1,small,1
SA,trial3:double_bridge_order,3,24,L-main-threeshift-20c-01,1751.198670793297,4,6,1914.9291012023873,1,True,6,small__L-main-threeshift-20c-01__SA__seed1,small,1
SA,trial3:depot_group_shuffle_order,5,42,L-main-threeshift-20c-01,1575.3945582355466,6,7,1760.331455684055,1,True,7,small__L-main-threeshift-20c-01__SA__seed1,small,1
SA,trial4:current_order,3,24,L-main-threeshift-20c-01,1601.6794008253967,4,6,1741.8824644946903,1,True,6,small__L-main-threeshift-20c-01__SA__seed1,small,1
SA,trial4:two_opt_order,5,48,L-main-threeshift-20c-01,1892.282233955628,6,8,2083.5703442746244,1,True,8,small__L-main-threeshift-20c-01__SA__seed1,small,1
SA,trial4:double_bridge_order,3,24,L-main-threeshift-20c-01,1751.198670793297,4,6,1914.9291012023873,1,True,6,small__L-main-threeshift-20c-01__SA__seed1,small,1
SA,trial4:depot_group_shuffle_order,2,18,L-main-threeshift-20c-01,1615.0805629239826,3,6,1688.608471736239,1,True,6,small__L-main-threeshift-20c-01__SA__seed1,small,1
ALNS_T3,trial1:current_order,14,255,L-main-threeshift-50c-01,2626.217613878981,14,17,2949.4347354169854,0,True,17,medium__L-main-threeshift-50c-01__ALNS_T3__seed1,medium,1
